learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
250.0,0.423949397,8.329147329722222E-8,250.0,0.5,0.0,0.748,0.0,0.0,0.33689839572192515,0.0,0.0,-0.03278688524590167,250.0,759624.0
500.0,0.504727944,1.1564827666292589E-7,500.0,0.5,0.0,0.748,0.0,0.5,0.33689839572192515,0.0,0.0,-0.01612903225806453,500.0,1594832.0
750.0,0.570391286,1.5351332138062353E-7,750.0,0.5,0.0,0.696,0.0,0.5,0.4367816091954023,0.0,0.0,-0.13999999999999996,750.0,2229040.0
1000.0,0.647226642,2.1351671513718036E-7,1000.0,0.5,0.0,0.732,0.0,0.5,0.366120218579235,0.0,0.0,-0.003745318352059928,1000.0,2811544.0
1250.0,0.746972685,3.0127511576759737E-7,1250.0,1.0,1.0,1.0,?,0.5,0.0,?,?,1.0,1250.0,3400912.0
1500.0,1.160847078,3.5189077088341534E-7,1500.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,1500.0,472736.0
1750.0,1.622960493,4.001866827623215E-7,1750.0,1.0,1.0,0.812,0.0,1.0,0.0,?,?,-0.23220973782771492,1750.0,403984.0
2000.0,1.972871398,5.481492038778257E-7,2000.0,1.0,1.0,0.876,0.0,1.0,0.0,?,?,0.07116104868913825,2000.0,1099840.0
2250.0,2.438928306,1.2399871660687484E-6,2250.0,0.5140441176470588,0.10914905338977351,0.548,0.03484796720191323,1.0,0.47058823529411764,0.51234753829798,0.4375,-1.930835734870316,2250.0,5738096.0
2500.0,2.905439942,1.749643091400841E-6,2500.0,0.542752045642219,0.11980494158402188,0.552,0.09285297738612087,0.5140441176470588,0.44508670520231214,0.5537676943085569,0.5584415584415584,-1.6415094339622642,2500.0,4222960.0
2750.0,3.217496305,1.9126734590301166E-6,2750.0,0.5437464549064095,0.10764762387930243,0.504,0.06185691804866251,0.542752045642219,0.524390243902439,0.5261860977028646,0.6395348837209303,-1.674509803921569,2750.0,2019472.0
3000.0,3.475923497,2.338594130699295E-6,3000.0,0.6193228736581338,0.12824112219552997,0.532,0.09459543118925287,0.5437464549064095,0.44508670520231214,0.553428687423826,0.6233766233766234,-1.3918228279386713,3000.0,6370784.0
3250.0,3.912260083,3.450787589027824E-6,3250.0,1.0,1.0,0.672,0.0,0.6193228736581338,0.0,?,?,-0.816013628620102,3250.0,9711856.0
3500.0,4.324694094,4.893315307823912E-6,3500.0,1.0,1.0,0.768,0.0,1.0,0.0,?,?,-0.383304940374787,3500.0,1.3519856E7
3750.0,4.735680549,5.821136388911216E-6,3750.0,1.0,1.0,0.772,0.0,1.0,0.0,?,?,-0.456558773424191,3750.0,8726480.0
4000.0,5.016724965,6.7324731979622536E-6,4000.0,1.0,1.0,0.864,0.0,1.0,0.0,?,?,0.07325383304940399,4000.0,1.253448E7
4250.0,5.494080325,7.657747689739938E-6,4250.0,0.5016416718431094,0.09536690858217339,0.572,0.042933810375670824,1.0,0.3089005235602094,0.5195614443146409,0.4406779661016949,-1.8157894736842104,4250.0,7492576.0
4500.0,5.817373495,8.655322507651723E-6,4500.0,0.46426218708827405,0.08297834836911383,0.472,-0.08466999737049703,0.5016416718431094,0.358695652173913,0.44381268229929727,0.3939393939393939,-2.3370786516853927,4500.0,1.1927552E7
4750.0,6.253537975,9.999848147233403E-6,4750.0,0.44507231108131406,0.13652748400164513,0.484,-0.02726635662865524,0.46426218708827405,0.26903553299492383,0.47944034033308375,0.4716981132075472,-2.2039215686274516,4750.0,1.191568E7
5000.0,6.668678391,1.1754959417046253E-5,5000.0,0.4927278603749192,0.3673246640250663,0.472,-0.04456824512534817,0.44507231108131406,0.37362637362637363,0.47155685704344596,0.47058823529411764,-2.1692677070828337,5000.0,1.6342256E7
5250.0,7.11146768,1.3120284325490125E-5,5250.0,1.0,1.0,0.428,0.0,0.4927278603749192,0.0,?,?,-2.6050420168067236,5250.0,1.191904E7
5500.0,7.601477347,1.5114582952323422E-5,5500.0,1.0,1.0,0.448,0.0,1.0,0.0,?,?,-2.6446578631452566,5500.0,1.5732144E7
5750.0,8.053142379,1.6649313975106378E-5,5750.0,1.0,1.0,0.732,0.0,1.0,0.0,?,?,-0.849939975990397,5750.0,1.313464E7
6000.0,8.424199007,1.8275682294261075E-5,6000.0,1.0,1.0,0.828,0.0,1.0,0.0,?,?,-0.23889555822328934,6000.0,1.5612176E7
6250.0,9.016811944,2.1208834349884725E-5,6250.0,0.575706621827208,0.3246501388967218,0.568,0.09717113622684406,1.0,0.3812154696132597,0.5577398541394617,0.5362318840579711,-1.993348115299335,6250.0,1.913224E7
6500.0,9.713181466,2.3834955960464962E-5,6500.0,0.5631677677187832,0.46093032170155435,0.524,0.07211028632025455,0.575706621827208,0.366120218579235,0.5448635373796594,0.5970149253731343,-2.19298245614035,6500.0,1.4577312E7
6750.0,10.297415654,2.671043721245811E-5,6750.0,0.5070297349709114,0.28958654287486196,0.484,0.011282114170090039,0.5631677677187832,0.37362637362637363,0.5048248142508321,0.5588235294117647,-2.3587270973963346,6750.0,1.9025056E7
7000.0,10.959257242,2.9989325568582866E-5,7000.0,0.5511033681765389,0.2196526432165786,0.508,0.04235440672687637,0.5070297349709114,0.4880952380952381,0.5224351095305052,0.573170731707317,-2.07774798927614,7000.0,1.9150272E7
7250.0,11.437516881,3.1793778840138784E-5,7250.0,1.0,1.0,0.596,0.0,0.5511033681765389,0.0,?,?,-1.6175156389633596,7250.0,1.4584256E7
7500.0,11.825241833,3.363860897201406E-5,7500.0,1.0,1.0,0.632,0.0,1.0,0.0,?,?,-1.4664879356568363,7500.0,1.8392256E7
7750.0,12.276712168,3.558031223242015E-5,7750.0,1.0,1.0,0.9,0.0,1.0,0.0,?,?,0.30741733690795386,7750.0,1.6624784E7
8000.0,12.701236033,3.782433512365345E-5,8000.0,1.0,1.0,0.888,0.0,1.0,0.0,?,?,0.1992850759606791,8000.0,1.4591312E7
