learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
250.0,0.124922293,1.1094722399092797E-8,250.0,0.4221203632968339,0.03319331673527773,0.736,0.00710073414370002,0.0,0.33689839572192515,0.1757760147682146,0.031746031746031744,-0.08196721311475418,250.0,343304.0,15.0,251.4,3.919183588453085,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.206774337,1.8364247190623234E-8,500.0,0.4318818436465495,0.0025439111703713935,0.748,0.0,0.4221203632968339,0.33689839572192515,0.0,0.0,-0.01612903225806453,500.0,343304.0,15.0,506.13333333333327,7.035194969151051,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
750.0,0.274769945,2.4403140465801373E-8,750.0,0.492664851784634,0.0025495184481702654,0.696,0.0,0.4318818436465495,0.4367816091954023,0.0,0.0,-0.13999999999999996,750.0,343304.0,15.0,753.8666666666666,6.87429072820411,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.327598035,2.909496111165111E-8,1000.0,0.42786069651741293,9.230365237515858E-4,0.732,0.0,0.492664851784634,0.366120218579235,0.0,0.0,-0.003745318352059928,1000.0,343304.0,15.0,998.6666666666667,8.83481568873784,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1250.0,0.366974909,3.259213904108645E-8,1250.0,1.0,1.0,1.0,?,0.42786069651741293,0.0,?,?,1.0,1250.0,343304.0,15.0,1249.6666666666665,8.393118874676102,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,0.409522535,3.637092093720825E-8,1500.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,1500.0,343304.0,15.0,1495.3999999999999,9.833276835995884,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1750.0,0.438932886,3.898294215591003E-8,1750.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,1750.0,343304.0,15.0,1743.4666666666667,11.092196599268581,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.477761208,4.2431401541878777E-8,2000.0,1.0,1.0,1.0,?,1.0,0.0,?,?,1.0,2000.0,343304.0,15.0,1990.5333333333333,12.091660513273357,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2250.0,0.506400724,4.4974962599186434E-8,2250.0,0.5097794117647059,0.003846134317912961,0.68,0.0,1.0,0.47058823529411764,0.0,0.0,-1.074927953890489,2250.0,343304.0,15.0,2238.4,14.288123606354894,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2500.0,0.530384939,4.71050724538395E-8,2500.0,0.47609038360483447,0.0026872743389136228,0.692,0.0,0.5097794117647059,0.44508670520231214,0.0,0.0,-0.8160377358490571,2500.0,343304.0,15.0,2484.3333333333335,15.055980196670667,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2750.0,0.554259194,4.922541643207686E-8,2750.0,0.47319909245604086,0.002262540800800003,0.656,0.0,0.47609038360483447,0.524390243902439,0.0,0.0,-0.8549019607843138,2750.0,343304.0,15.0,2737.866666666667,14.465349951050229,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
