learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.615745909,4.6580851726468655E-7,1000.0,0.5,0.0,0.824,0.0,0.0,0.21359223300970873,0.0,0.0,-0.04142011834319529,1000.0,2822456.0
2000.0,2.122633544,1.117540530281274E-6,2000.0,0.6051924208750955,0.22809072710203643,0.818,0.21085721718770342,0.5,0.15074798619102417,0.5350692212188146,0.32061068702290074,-0.21333333333333349,2000.0,1671824.0
3000.0,3.270563567,2.7195409708745244E-6,3000.0,0.7739565621892144,0.2606884300349275,0.72,0.2426865154924702,0.6051924208750955,0.17096018735362997,0.677548917325837,0.6232876712328768,-0.8834080717488798,3000.0,5394480.0
4000.0,4.754985758,6.008567871624401E-6,4000.0,0.7761471313603323,0.2705553832702276,0.721,0.28395441946412064,0.7739565621892144,0.16822429906542055,0.7243807109042992,0.7291666666666666,-0.8915254237288142,4000.0,1.1643296E7
5000.0,5.945055454,9.043401396738725E-6,5000.0,0.7619353508438016,0.24998228399879427,0.709,0.26085101194830507,0.7761471313603323,0.17370892018779344,0.7035650692178549,0.6959459459459459,-0.9715447154471554,5000.0,9857456.0
6000.0,7.019253255,1.1565560895454477E-5,6000.0,0.7292140151515152,0.24298059444878065,0.739,0.22808470365550684,0.7619353508438016,0.13636363636363635,0.6785261433966471,0.6083333333333333,-0.825174825174825,6000.0,9075920.0
7000.0,8.094475054,1.3987690359471378E-5,7000.0,0.7021384391294252,0.2132088164797955,0.66,0.22895500725689416,0.7292140151515152,0.34048257372654156,0.6308572201018974,0.5787401574803149,-1.1402877697841731,7000.0,8707664.0
8000.0,9.520585888,1.678564704270349E-5,8000.0,0.7228668482830525,0.22389443694930167,0.647,0.12917772668515204,0.7021384391294252,0.10987791342952276,0.6467616667635546,0.6464646464646465,-1.331957060280759,8000.0,7583856.0
9000.0,10.516437662,1.997796586227467E-5,9000.0,0.7487625392882014,0.22435609322052363,0.68,0.27537216432747763,0.7228668482830525,0.2484394506866417,0.6904959611944153,0.7085427135678392,-1.042553191489362,9000.0,7587216.0
9090.0,10.767345155,2.056615280743265E-5,9090.0,0.7537217562155218,0.22948945460849945,0.687,0.27907426686689835,0.7487625392882014,0.24688279301745636,0.6907262104487945,0.696969696969697,-1.0022308233638273,9090.0,9061584.0
