learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
250.0,0.165263968,1.467758719040288E-8,250.0,0.6183074265975821,0.2419791666619719,0.736,0.2500681756203979,0.0,0.29533678756476683,0.5908123022064669,0.42105263157894735,-0.32000000000000034,250.0,343304.0,15.0,251.4,3.919183588453085,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
500.0,0.250588828,2.2255543155728117E-8,500.0,0.6698781291172595,0.0562003079474066,0.736,0.0,0.6183074265975821,0.358695652173913,0.0,0.0,-0.13793103448275876,500.0,343304.0,15.0,506.13333333333327,7.035194969151051,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
750.0,0.333149113,2.9587968948336526E-8,750.0,0.6783333333333333,0.05383017417778874,0.88,0.0,0.6698781291172595,0.13636363636363635,0.0,0.0,0.3835616438356164,750.0,343304.0,15.0,753.8666666666666,6.87429072820411,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,0.371650255,3.300737050013203E-8,1000.0,0.5623443784715572,0.006296702217286135,0.908,0.0,0.6783333333333333,0.1013215859030837,0.0,0.0,0.4556213017751482,1000.0,343304.0,15.0,998.6666666666667,8.83481568873784,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1250.0,0.398820797,3.542046758379581E-8,1250.0,0.5807593307593307,0.0030961041457415184,0.888,0.0,0.5623443784715572,0.12612612612612611,0.0,0.0,0.28934010152284256,1250.0,343304.0,15.0,1249.6666666666665,8.393118874676102,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,0.421455075,3.743068549673384E-8,1500.0,0.4049197230814553,0.0013382335015007032,0.876,0.0,0.5807593307593307,0.1415525114155251,0.0,0.0,0.1842105263157896,1500.0,343304.0,15.0,1495.3999999999999,9.833276835995884,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1750.0,0.444438395,3.947190287343951E-8,1750.0,0.46487090367428,0.0013373633675533014,0.848,0.0,0.4049197230814553,0.1792452830188679,0.0,0.0,0.0,1750.0,343304.0,15.0,1743.4666666666667,11.092196599268581,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.471024774,4.183311869423837E-8,2000.0,0.42197712418300654,9.376955528250935E-4,0.864,0.0,0.46487090367428,0.1574074074074074,0.0,0.0,0.09333333333333341,2000.0,343304.0,15.0,1990.5333333333333,12.091660513273357,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2250.0,0.496981011,4.4138369719690335E-8,2250.0,0.5509904622157007,0.0015198074048922705,0.812,0.0,0.42197712418300654,0.2315270935960591,0.0,0.0,-0.21902017291066217,2250.0,343304.0,15.0,2238.4,14.288123606354894,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2500.0,0.519132337,4.610569522132683E-8,2500.0,0.32475524475524475,0.0010123897241868102,0.78,0.0,0.5509904622157007,0.28205128205128205,0.0,0.0,-0.3681592039800989,2500.0,343304.0,15.0,2484.3333333333335,15.055980196670667,16248.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
