learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.146253999,6.147595577128231E-10,1000.0,0.5944119593998235,0.11960741921757935,0.813,0.12711453004219736,0.0,0.21359223300970873,0.3613467747402499,0.13636363636363635,-0.10650887573964504,1000.0,16248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.184016438,7.734890314812462E-10,2000.0,0.4655126977573591,0.004579464916416448,0.869,0.0,0.5944119593998235,0.15074798619102417,0.0,0.0,0.12666666666666676,2000.0,16248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.21618774,9.087168920785189E-10,3000.0,0.5033043534054089,0.003976888541692786,0.854,0.0,0.4655126977573591,0.17096018735362997,0.0,0.0,0.01793721973094123,3000.0,16248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.276234325,1.4173652818323011E-9,4000.0,0.5597944249740394,0.06067093310232846,0.849,0.014720467714151713,0.5033043534054089,0.16822429906542055,0.14349199723687742,0.020833333333333332,-0.023728813559322437,4000.0,32744.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.307803736,1.6847864860627388E-9,5000.0,0.5134738611851288,0.06368662069305113,0.851,0.025685289809583154,0.5597944249740394,0.17370892018779344,0.14203909561154965,0.02027027027027027,-0.009485094850948972,5000.0,32744.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.338086541,1.941308984394289E-9,6000.0,0.5321212121212121,0.04317163859003839,0.88,0.0,0.5134738611851288,0.13636363636363635,0.0,0.0,0.16083916083916097,6000.0,32744.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.36867972,2.2004606286684673E-9,7000.0,0.6447562854911233,0.06346489957589317,0.746,0.0,0.5321212121212121,0.34048257372654156,0.0,0.0,-0.598920863309353,7000.0,32744.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.410541047,2.9066342662957807E-9,8000.0,0.5260484983015504,0.07877292353980551,0.897,0.007821831772820432,0.6447562854911233,0.10987791342952276,0.10022452624451714,0.010101010101010102,0.3195706028075973,8000.0,65208.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
9000.0,0.437613696,3.3633324264983336E-9,9000.0,0.6298533867841078,0.09472442301314747,0.801,0.0,0.5260484983015504,0.2484394506866417,0.0,0.0,-0.27021276595744687,9000.0,65208.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
9090.0,0.441819651,3.4342841797011594E-9,9090.0,0.6274276430136779,0.0933123680478028,0.802,0.0,0.6298533867841078,0.24688279301745636,0.0,0.0,-0.2665869106263188,9090.0,65208.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
