learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.215383839,7.844477889277042E-9,1000.0,0.7756791027164108,0.34352244296396184,0.714,0.42803889335525175,0.0,1.0040080160320641,0.7138221334255141,0.6966067864271457,0.41152263374485587,1000.0,140784.0,15.0,0.41014818813319803,0.5898518118668019,769.2666666666665,8.107883680577668,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.308247235,1.1226648343789081E-8,2000.0,0.767651405024208,0.3404708486188218,0.711,0.4212128494752863,0.7756791027164108,1.0703933747412009,0.71044737610057,0.723404255319149,0.40350877192982454,2000.0,140784.0,15.0,0.5161906571232299,0.48380934287677013,1549.2666666666667,11.725213640724636,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.374183218,1.3628097603643935E-8,3000.0,0.7608040079773546,0.3303335725130162,0.691,0.3815547193979664,0.767651405024208,1.1551724137931034,0.6915774724582449,0.6828358208955224,0.35310537334263775,3000.0,140784.0,15.0,0.41913618972282823,0.5808638102771718,2320.866666666667,14.608173402541842,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.42678537,1.5543916451558472E-8,4000.0,0.7928827444956478,0.3552072029699713,0.723,0.4458492710017124,0.7608040079773546,0.9841269841269841,0.7227180837445737,0.7076612903225806,0.4270941054808687,4000.0,140784.0,15.0,0.3658050171955675,0.6341949828044324,3090.8666666666663,14.780252806223318,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.534843253,2.0799838229032854E-8,5000.0,0.7691521264994547,0.31544512615016174,0.705,0.41343492507873875,0.7928827444956478,1.1008403361344539,0.7048408534189871,0.6374045801526718,0.3869492934330838,5000.0,188016.0,15.0,0.6638667498459782,0.3361332501540218,3864.6666666666665,15.914553586984933,6067.200000000001,195.2,3.1333333333333333,0.1333333333333333,2.066666666666667,0.06666666666666665,2.066666666666667,0.06666666666666665,1.0666666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.617715863,2.5514919370901253E-8,6000.0,0.782292266820306,0.3278903154392855,0.73,0.4582316681648902,0.7691521264994547,0.968503937007874,0.7217571329331555,0.6300813008130082,0.44539541252995546,6000.0,219928.0,15.0,0.6501903165483082,0.3498096834516919,4654.933333333333,19.803190379490605,8177.066666666667,309.0358503885865,4.6,0.21380899352993948,2.8,0.10690449676496974,2.8,0.10690449676496974,1.7999999999999996,0.10690449676496977,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.686489403,2.974793585769832E-8,7000.0,0.8017114464482885,0.3603441532445825,0.759,0.5192806363846713,0.782292266820306,1.0242914979757085,0.7517561970364386,0.6462450592885376,0.5068693364513301,7000.0,237920.0,15.0,0.5535370289134368,0.4464629710865633,5435.266666666667,18.880946976519954,9366.933333333336,316.0526699123582,5.4,0.21380899352993948,3.2,0.10690449676496974,3.2,0.10690449676496974,2.2,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.744426329,3.3318154679996274E-8,8000.0,0.7772804364869838,0.32570676941135757,0.732,0.46350212997661827,0.8017114464482885,0.9920318725099602,0.7224322463273691,0.6164658634538153,0.45124136165856155,8000.0,238200.0,15.0,0.47131068015995664,0.5286893198400433,6254.133333333333,20.468295266365278,9385.600000000002,313.01636652783134,5.4,0.21380899352993948,3.2,0.10690449676496974,3.2,0.10690449676496974,2.2,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.800625288,3.6781275612842295E-8,9000.0,0.7855202787300343,0.34613814811033483,0.745,0.4892522653164233,0.7772804364869838,0.9880715705765407,0.7344517813301888,0.6237424547283702,0.4773400136643134,9000.0,238200.0,15.0,0.475750723047162,0.524249276952838,7059.133333333334,21.633278303547286,9385.600000000002,313.01636652783134,5.4,0.21380899352993948,3.2,0.10690449676496974,3.2,0.10690449676496974,2.2,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.85294377,4.000527181157843E-8,10000.0,0.7851187381876358,0.3459729316141536,0.763,0.5134469308150277,0.7855202787300343,0.8416206261510129,0.7409320198156372,0.6236323851203501,0.5111386138613861,10000.0,238200.0,15.0,0.5710822552533905,0.4289177447466096,7832.400000000001,24.463734091799754,9385.600000000002,313.01636652783134,5.4,0.21380899352993948,3.2,0.10690449676496974,3.2,0.10690449676496974,2.2,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
