learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.161404957,5.873506596790005E-9,1000.0,0.9862186838302692,0.8884802643887882,0.963,0.9258612121892181,0.0,1.053388090349076,0.9620778042040609,0.98635477582846,0.9238683127572016,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.245842633,8.946183274270345E-9,2000.0,0.9954797107014849,0.9163424414875831,0.978,0.9560126683515148,0.9862186838302692,0.9841269841269841,0.9779310846625167,1.0,0.9545923632610939,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.308301162,1.121904148709029E-8,3000.0,0.9961758623310439,0.9220448809923145,0.979,0.957988909071995,0.9954797107014849,1.012072434607646,0.978698361405277,0.9980119284294234,0.9569965870307167,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.434994827,1.7873303678747682E-8,4000.0,0.99494335839599,0.8952754777249098,0.978,0.9559427255432061,0.9961758623310439,0.9047619047619048,0.9784853519393634,0.9894736842105263,0.954568921011874,4000.0,203024.0,15.0,3983.5333333333333,15.59727285889813,7066.133333333332,362.2629125066183,3.9333333333333336,0.2666666666666666,2.466666666666667,0.13333333333333328,2.466666666666667,0.13333333333333328,1.4666666666666668,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.511633631,2.2324435244144666E-8,5000.0,0.998604,0.9175324991479639,0.98,0.96,0.99494335839599,1.0,0.9799673463947663,0.988,0.9592668024439918,5000.0,224504.0,15.0,4983.866666666667,16.370666759748385,8485.866666666667,174.14864659569164,5.133333333333334,0.13333333333333336,3.066666666666667,0.06666666666666668,3.066666666666667,0.06666666666666668,2.066666666666667,0.06666666666666668,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.577612753,2.638600129889945E-8,6000.0,0.992717640515527,0.9266835774875595,0.985,0.97,0.998604,0.9646365422396856,0.9851184845138395,0.9938900203665988,0.9694397283531409,6000.0,237952.0,15.0,5980.666666666666,20.516350428880724,9375.466666666667,469.4929165921024,5.533333333333334,0.3634054100635984,3.266666666666667,0.1817027050317992,3.266666666666667,0.1817027050317992,2.266666666666667,0.1817027050317992,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.639655397,3.025583535455167E-8,7000.0,0.9978913167866389,0.9286883661357872,0.985,0.9700043193780096,0.992717640515527,0.9646365422396856,0.985146916292552,0.9979633401221996,0.9694501018329938,7000.0,241104.0,15.0,6977.400000000001,20.572473518433963,9584.0,499.52663306660355,5.666666666666668,0.3737412737209254,3.333333333333334,0.1868706368604627,3.333333333333334,0.1868706368604627,2.333333333333334,0.1868706368604627,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.702269186,3.4204445971231905E-8,8000.0,0.9959558587994106,0.928474068958884,0.982,0.9639261206951837,0.9978913167866389,1.0661157024793388,0.9813287513698472,0.998062015503876,0.9632840387557369,8000.0,243768.0,15.0,7989.533333333332,23.421168013382918,9760.0,565.6207714916923,5.800000000000002,0.4276179870598791,3.400000000000001,0.21380899352993954,3.400000000000001,0.21380899352993954,2.400000000000001,0.21380899352993954,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.771731971,3.877660737034968E-8,9000.0,0.9989759836157378,0.9379704554019143,0.985,0.9700021598444911,0.9959558587994106,0.9920318725099602,0.9849830064850708,0.9959839357429718,0.9694708276797829,9000.0,254432.0,15.0,8997.666666666668,24.060175882400852,10464.533333333333,546.8844908654901,6.333333333333334,0.4216370213557839,3.666666666666667,0.21081851067789195,3.666666666666667,0.21081851067789195,2.666666666666667,0.21081851067789195,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.864855157,4.6278748340703954E-8,10000.0,0.9988078807880788,0.9072316977513514,0.974,0.9479698224970482,0.9989759836157378,1.02020202020202,0.9734550639223917,0.998019801980198,0.947089947089947,10000.0,311408.0,15.0,10008.4,25.97284296007217,14229.333333333334,222.75253548162382,9.133333333333333,0.13333333333333333,5.066666666666666,0.06666666666666667,5.066666666666666,0.06666666666666667,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.937497807,5.244486052998858E-8,11000.0,0.9969745356752668,0.9255676203931249,0.98,0.9600123162066083,0.9988078807880788,0.9569471624266145,0.9802290808482756,0.9979550102249489,0.959312002959127,11000.0,328112.0,15.0,11014.466666666669,24.648745098293183,15333.333333333334,454.4070198429373,9.933333333333332,0.33046383948376135,5.466666666666666,0.16523191974188067,5.466666666666666,0.16523191974188067,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.019945586,6.022237626012621E-8,12000.0,0.9978689227244141,0.9368805549029092,0.985,0.9699863137590741,0.9969745356752668,0.9267822736030829,0.9853944017861535,0.997920997920998,0.9694293478260869,12000.0,364640.0,15.0,12011.333333333334,19.574440736805958,17746.13333333333,556.7445329059236,11.8,0.3804758924845368,6.4,0.1902379462422684,6.4,0.1902379462422684,4.266666666666667,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.088931857,6.695832878875235E-8,13000.0,0.9969430860388894,0.9262964717183263,0.98,0.959926424916146,0.9978689227244141,0.8975332068311196,0.9804422750634518,0.9894291754756871,0.9591259235969187,13000.0,377432.0,15.0,13006.666666666666,18.024234127224805,18592.533333333336,630.2420235544186,12.333333333333334,0.4646213682914464,6.666666666666667,0.2323106841457232,6.666666666666667,0.2323106841457232,4.4,0.1902379462422684,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.16677616,7.467181044644365E-8,14000.0,0.9956473732217439,0.9176082817519525,0.974,0.9479675317398056,0.9969430860388894,1.0242914979757085,0.9735442884334241,0.9940711462450593,0.9468147282291057,14000.0,383024.0,15.0,13999.133333333333,20.74743051599094,18963.199999999997,630.2915062549572,12.600000000000001,0.4859943170351646,6.800000000000001,0.2429971585175823,6.800000000000001,0.2429971585175823,4.533333333333334,0.23637473611411153,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.222737784,8.033927278879202E-8,15000.0,0.9985599769596314,0.9344299642053903,0.981,0.9619954394527342,0.9956473732217439,1.0080321285140563,0.9808605371806404,0.9940239043824701,0.9611557857434918,15000.0,391472.0,15.0,14986.666666666666,23.599569541406524,19522.13333333333,677.1901460950637,12.866666666666667,0.49633577983982413,6.933333333333334,0.24816788991991207,6.933333333333334,0.24816788991991207,4.666666666666668,0.23231068414572328,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.288917797,8.748467987730064E-8,16000.0,0.9969119505912094,0.9113956197768507,0.972,0.9440089585666293,0.9985599769596314,0.9920318725099602,0.971841093801752,0.9939759036144579,0.9426816786079836,16000.0,417352.0,15.0,15983.066666666668,18.348859226683135,21230.4,695.7837430860662,14.733333333333334,0.38379888913542637,7.866666666666666,0.1918994445677131,7.866666666666666,0.1918994445677131,5.4,0.21380899352993948,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.364623399,9.6881764361699E-8,17000.0,0.9960399841599367,0.9150944790720655,0.974,0.9479952155598315,0.9969119505912094,1.0040080160320641,0.9737062146331251,0.9960079840319361,0.9467341528079055,17000.0,479808.0,15.0,16985.866666666665,18.976643957059927,25356.800000000007,431.40615268147104,17.666666666666668,0.25197631533948484,9.333333333333334,0.12598815766974242,9.333333333333334,0.12598815766974242,6.066666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.425897456,1.0481329213661452E-7,18000.0,0.9969008595804734,0.9361064865658076,0.987,0.9739073187963647,0.9960399841599367,1.1008403361344539,0.9862500066566551,1.0,0.973330294050604,18000.0,500360.0,15.0,17975.0,23.70613744119764,26715.733333333334,333.333516190426,18.333333333333336,0.2519763153394847,9.666666666666668,0.12598815766974236,9.666666666666668,0.12598815766974236,6.133333333333333,0.0908513525158996,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.481432773,1.1206645659232718E-7,19000.0,0.9936590869085148,0.9265979236090691,0.979,0.9580110850735406,0.9969008595804734,0.9762845849802372,0.9790577264801992,0.9959514170040485,0.9569439948203302,19000.0,504848.0,15.0,18973.933333333334,23.394436999844242,27014.933333333334,335.99352979409,18.333333333333336,0.2519763153394847,9.666666666666668,0.12598815766974236,9.666666666666668,0.12598815766974236,6.133333333333333,0.0908513525158996,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.539300007,1.1964465935531589E-7,20000.0,0.99850483623347,0.9448486333266471,0.987,0.9739712642757604,0.9936590869085148,0.9120458891013384,0.9874244857483824,0.9979035639412998,0.9733169129720853,20000.0,506216.0,15.0,19965.133333333335,23.0181846677106,27104.0,432.48015643990607,18.86666666666667,0.49633577983982435,9.933333333333335,0.24816788991991218,9.933333333333335,0.24816788991991218,6.4,0.1902379462422684,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.601001417,1.2793887329585022E-7,21000.0,0.9993493395796734,0.941650171725343,0.988,0.9755237908752692,0.99850483623347,1.2935779816513762,0.9861425171952498,1.0,0.9753472901584817,21000.0,519616.0,15.0,20965.4,23.9522938557539,27991.466666666667,717.1900582708462,19.0,0.5163977794943223,10.0,0.25819888974716115,10.0,0.25819888974716115,6.466666666666668,0.21528865819918697,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.661154527,1.361160859986643E-7,22000.0,0.9994479977919911,0.9490603659255893,0.985,0.9700009599692809,0.9993493395796734,0.9960079840319361,0.9849770965456622,0.9939879759519038,0.9692250303086822,22000.0,525472.0,15.0,21961.266666666663,23.39789707006977,28378.13333333333,717.4572950069779,19.400000000000002,0.5237229365663817,10.200000000000001,0.26186146828319085,10.200000000000001,0.26186146828319085,6.6000000000000005,0.23502786055720126,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.731539668,1.4638243468154016E-7,23000.0,0.9955856256434291,0.9291630164185889,0.979,0.957891190837123,0.9994479977919911,1.079002079002079,0.9782708868775529,0.9942196531791907,0.9568942436412315,23000.0,563816.0,15.0,22979.600000000002,26.0360190066433,30910.933333333334,628.1880781957755,21.53333333333333,0.4125030062420518,11.266666666666666,0.2062515031210259,11.266666666666666,0.2062515031210259,7.6000000000000005,0.1902379462422684,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.78991038,1.5515585129135393E-7,24000.0,0.9984796107803597,0.9424781347784946,0.984,0.9679815573770492,0.9955856256434291,1.032520325203252,0.9837823762944529,0.9940944881889764,0.9671626475115443,24000.0,581000.0,15.0,23965.666666666668,24.246289194071373,32050.133333333335,447.6450748258859,21.8,0.32659863237109044,11.4,0.16329931618554522,11.4,0.16329931618554522,7.733333333333333,0.18170270503179914,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.848472537,1.6399658484691548E-7,25000.0,0.9996030075187969,0.9557176506271924,0.991,0.9819494584837545,0.9984796107803597,1.105263157894737,0.9908210311602563,0.9942857142857143,0.9815012743566555,25000.0,583544.0,15.0,24959.933333333338,27.878728307860413,32217.600000000002,450.95771948366166,22.066666666666666,0.33046383948376135,11.533333333333333,0.16523191974188067,11.533333333333333,0.16523191974188067,7.866666666666666,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,1.909202217,1.7330304123478633E-7,26000.0,0.9981397321214255,0.9452517189762502,0.985,0.9699863137590741,0.9996030075187969,1.0242914979757085,0.9847535948187857,0.9980237154150198,0.9691870111400805,26000.0,592360.0,15.0,25947.13333333333,26.447768231826963,32801.066666666666,507.7945541322286,22.333333333333332,0.37374127372092536,11.666666666666666,0.18687063686046268,11.666666666666666,0.18687063686046268,7.9333333333333345,0.15327120894696272,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,1.970238961,1.8274396814491188E-7,27000.0,0.998143636152686,0.9499667713168989,0.983,0.9659809493316257,0.9981397321214255,1.028397565922921,0.9827254381872002,0.9960552268244576,0.9651136277266854,27000.0,597896.0,15.0,26955.533333333333,26.31636584164136,33166.933333333334,394.3307708325548,22.6,0.2894987457822984,11.8,0.1447493728911492,11.8,0.1447493728911492,8.0,0.0975900072948533,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,2.033242689,1.9267638468360738E-7,28000.0,0.9995479710701485,0.9629601567794002,0.993,0.9859979837096542,0.998143636152686,1.0161290322580645,0.9929466754858606,0.998015873015873,0.985644180766132,28000.0,609384.0,15.0,27953.86666666666,22.891226571947545,33926.399999999994,563.1450189613261,23.133333333333333,0.4125030062420518,12.066666666666666,0.2062515031210259,12.066666666666666,0.2062515031210259,8.2,0.1447493728911492,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,2.095483015,2.0262460763739217E-7,29000.0,0.9963018698770492,0.9454378251108119,0.984,0.9679600140975938,0.9995479710701485,1.0491803278688525,0.9835492893911749,0.998046875,0.9671852899575671,29000.0,617840.0,15.0,28955.799999999996,23.814801319867314,34485.333333333336,682.1316355762782,23.533333333333335,0.4963357798398241,12.266666666666667,0.24816788991991204,12.266666666666667,0.24816788991991204,8.4,0.19023794624226834,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.163238424,2.138811884000939E-7,30000.0,0.9974719898879596,0.9497379286404601,0.987,0.9739987519400931,0.9963018698770492,1.0040080160320641,0.9869163571527143,0.998003992015968,0.9733424470266575,30000.0,642192.0,15.0,29946.13333333333,27.832982604006123,36094.93333333333,627.2821455762389,24.866666666666667,0.4963357798398242,12.933333333333334,0.2481678899199121,12.933333333333334,0.2481678899199121,9.0,0.23904572186687878,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,2.226042953,2.2443106481740667E-7,31000.0,0.9992519251925193,0.9506761386063448,0.987,0.9740020798336133,0.9974719898879596,0.9801980198019802,0.9870488470904843,0.9959595959595959,0.9733465608465608,31000.0,649320.0,15.0,30952.866666666665,28.440224141281664,36566.40000000001,785.2779477599605,25.26666666666667,0.5114560602703829,13.133333333333335,0.25572803013519146,13.133333333333335,0.25572803013519146,9.133333333333335,0.25572803013519146,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,2.290276291,2.3553468485908585E-7,32000.0,0.9981051786431152,0.9514816680535568,0.987,0.9739468515772175,0.9992519251925193,0.8867924528301887,0.9876597076489491,1.0,0.9733162283515073,32000.0,668200.0,15.0,31953.333333333332,30.501938528038487,37815.46666666666,613.323295984121,25.8,0.42761798705987897,13.4,0.21380899352993948,13.4,0.21380899352993948,9.333333333333334,0.2323106841457232,0.0,0.0,0.0,0.0,1.0,0.0
