learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.225336839,1.7161989533238942E-10,1000.0,0.6220428299136674,0.06235337737702608,0.989,-0.003283473184962122,0.0,0.009081735620585268,0.0,0.0,-0.375,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.270474439,2.0599736428923077E-10,2000.0,0.9645454545454546,0.12482199950831316,0.99,0.0,0.6220428299136674,0.010101010101010102,0.0,0.0,-0.1111111111111111,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.302344407,2.3027000695466997E-10,3000.0,0.6626767676767676,0.04746422036670393,0.989,-0.001821493624764007,0.9645454545454546,0.010101010101010102,0.0,0.0,-0.17857142857143324,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.352714529,3.0678678577972783E-10,4000.0,0.48505050505050507,0.002833383634553063,0.99,0.0,0.6626767676767676,0.010101010101010102,0.0,0.0,-0.05263157894737457,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.372112076,3.362534170804752E-10,5000.0,0.7417085427135678,0.07962305991158022,0.994,-0.0016694490818139588,0.48505050505050507,0.005025125628140704,0.0,0.0,0.3023255813953524,5000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.404934143,4.0615208812264933E-10,6000.0,0.6497474747474747,0.009578922447031783,0.99,0.0,0.7417085427135678,0.010101010101010102,0.0,0.0,-0.13207547169811085,6000.0,8232.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.424608041,4.494752015442484E-10,7000.0,0.5833333333333334,0.006975570563475886,0.994,0.0,0.6497474747474747,0.006036217303822937,0.0,0.0,0.2881355932203403,7000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.449208206,5.204474248136911E-10,8000.0,0.7620724346076458,0.01142404247842353,0.994,0.0,0.5833333333333334,0.006036217303822937,0.0,0.0,0.2615384615384653,8000.0,11152.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.464874387,5.65644832868129E-10,9000.0,0.8621471774193549,0.04426391207474201,0.992,0.0,0.7620724346076458,0.008064516129032258,0.0,0.0,0.013698630136980302,9000.0,11152.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.480182056,6.098079229125546E-10,10000.0,0.9757575757575757,0.14011195147204195,0.99,0.16387959866220456,0.8621471774193549,0.010101010101010102,0.3160680146724592,0.1,-0.20481927710843856,10000.0,11152.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.500820881,6.834899701840347E-10,11000.0,0.9176262626262627,0.09627815978105135,0.99,0.0,0.9757575757575757,0.010101010101010102,0.0,0.0,-0.18279569892472694,11000.0,13800.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
12000.0,0.515078179,7.354222646852334E-10,12000.0,0.9241680305510093,0.08787084532804541,0.987,0.0,0.9176262626262627,0.013171225937183385,0.0,0.0,-0.47169811320754407,12000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.529238079,7.880547811422082E-10,13000.0,0.8172883064516129,0.10958859417887651,0.992,0.0,0.9241680305510093,0.008064516129032258,0.0,0.0,0.08771929824561137,13000.0,14368.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
14000.0,0.548284055,8.718961458735995E-10,14000.0,0.9048099562731248,0.1258997963045813,0.99,-0.0018032458425239059,0.8172883064516129,0.009081735620585268,0.0,0.0,-0.13821138211382217,14000.0,17016.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
15000.0,0.561730818,9.310894873510631E-10,15000.0,0.97022602144306,0.13251378042915307,0.986,0.0,0.9048099562731248,0.014198782961460446,0.0,0.0,-0.5328467153284696,15000.0,17016.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
16000.0,0.57532011,9.909102488081487E-10,16000.0,0.917299257759784,0.13867819068882478,0.988,0.0,0.97022602144306,0.012145748987854251,0.0,0.0,-0.28859060402685427,16000.0,17016.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
17000.0,0.588904033,1.0507073756514322E-9,17000.0,0.9693911873528422,0.1742042188734004,0.991,0.0,0.917299257759784,0.009081735620585268,0.0,0.0,0.0316455696202484,17000.0,17016.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
