learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.181261844,6.596096280242006E-9,1000.0,0.5941414141414142,0.04340404774359993,0.989,-0.001821493624764007,0.0,0.010101010101010102,0.0,0.0,-0.2222222222222222,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.281581341,1.0246710476782173E-8,2000.0,0.9859013091641491,0.07947987104731599,0.993,0.0,0.5941414141414142,0.007049345417925478,0.0,0.0,0.125,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.349665955,1.2724301232987394E-8,3000.0,0.9891534148359225,0.1951738903680616,0.988,-0.0018367006177964944,0.9859013091641491,0.011122345803842264,0.0,0.0,-0.3333333333333333,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.447666007,1.7297722521989296E-8,4000.0,0.6423891129032258,0.04118147455664298,0.992,0.0,0.9891534148359225,0.008064516129032258,0.0,0.0,0.08571428571428862,4000.0,180392.0,15.0,3983.5333333333333,15.59727285889813,5568.533333333334,18.922867664149653,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.500055025,1.9750178807011496E-8,5000.0,0.9010214357646382,0.0789915035207789,0.993,0.0,0.6423891129032258,0.007049345417925478,0.0,0.0,0.16666666666666227,5000.0,180952.0,15.0,4983.866666666667,16.370666759748385,5605.866666666667,19.035272188796974,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.557428519,2.259377657491093E-8,6000.0,0.9795941249018948,0.023595206339247585,0.991,0.0,0.9010214357646382,0.009081735620585268,0.0,0.0,-0.05882352941177162,6000.0,191584.0,15.0,5980.666666666666,20.516350428880724,6307.733333333334,311.45531616630655,3.6666666666666665,0.25197631533948484,2.333333333333334,0.1259881576697424,2.333333333333334,0.1259881576697424,1.3333333333333333,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.62063824,2.61472185106948E-8,7000.0,0.7591658257652203,0.01526142908386972,0.991,0.0,0.9795941249018948,0.009081735620585268,0.0,0.0,-0.050000000000001946,7000.0,217304.0,15.0,6977.400000000001,20.572473518433963,8008.533333333333,258.10263493178473,4.733333333333332,0.18170270503179922,2.866666666666666,0.09085135251589961,2.866666666666666,0.09085135251589961,1.8666666666666665,0.0908513525158996,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.699253837,3.145834198461846E-8,8000.0,0.837874201143626,0.012675357276304386,0.991,0.0,0.7591658257652203,0.009081735620585268,0.0,0.0,-0.043478260869566895,8000.0,261144.0,15.0,7989.533333333332,23.421168013382918,10905.599999999999,180.7602147545063,6.866666666666667,0.1333333333333333,3.9333333333333336,0.06666666666666665,3.9333333333333336,0.06666666666666665,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.756839059,3.536120621325448E-8,9000.0,0.983243706647962,0.07098957750580408,0.987,0.0,0.837874201143626,0.013171225937183385,0.0,0.0,-0.42682926829269063,9000.0,261984.0,15.0,8997.666666666668,24.060175882400852,10961.6,180.4294559417297,6.866666666666667,0.1333333333333333,3.9333333333333336,0.06666666666666665,3.9333333333333336,0.06666666666666665,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.820357992,3.9744317097595586E-8,10000.0,0.9896673387096774,0.10469928731344083,0.992,0.0,0.983243706647962,0.008064516129032258,0.0,0.0,0.1111111111111111,10000.0,266736.0,15.0,10008.4,25.97284296007217,11274.666666666664,306.5106021108392,7.2666666666666675,0.2666666666666666,4.133333333333333,0.13333333333333333,4.133333333333333,0.13333333333333333,2.2,0.10690449676496976,0.0,0.0,0.0,0.0,1.0,0.0
