learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.063707528,5.043489801588654E-7,1000.0,0.5,0.0,0.881,0.0,0.0,0.13507377979568672,0.0,0.0,-0.00847457627118645,1000.0,1832976.0
2000.0,3.292929441,1.8079061513978616E-6,2000.0,0.6349147954960518,0.29022782408135317,0.842,0.20573479585373416,0.5,0.09051254089422028,0.5835711110794333,0.3855421686746988,-0.5721393034825868,2000.0,2260368.0
3000.0,5.392445274,5.364114927853904E-6,3000.0,0.8161632775119617,0.3940492097307191,0.775,0.25352336969503925,0.6349147954960518,0.09649122807017543,0.7366738743359823,0.6931818181818182,-1.3356401384083032,3000.0,5727888.0
4000.0,7.827760454,1.0756593340436298E-5,4000.0,0.7905204311454311,0.3696129080712436,0.794,0.30566790702691043,0.8161632775119617,0.12612612612612611,0.7229684624403735,0.6428571428571429,-1.0548628428927687,4000.0,8559248.0
5000.0,10.26442717,1.6733959125765393E-5,5000.0,0.8118290200639721,0.3537999028135058,0.802,0.30215345575018504,0.7905204311454311,0.10497237569060773,0.7464562006924421,0.6842105263157895,-0.9959677419354843,5000.0,9482352.0
6000.0,12.592197924,2.3630837178545464E-5,6000.0,0.8432522721690002,0.39735611935144305,0.814,0.35472679965307874,0.8118290200639721,0.12994350282485875,0.7467213195424376,0.6695652173913044,-0.8265139116202952,6000.0,1.145288E7
7000.0,15.104737282,3.667967303327461E-5,7000.0,0.8685237042495701,0.3992307995271958,0.787,0.3371919342793132,0.8432522721690002,0.12994350282485875,0.765697913038132,0.7391304347826086,-1.0537190082644616,7000.0,1.9000784E7
8000.0,17.812900604,6.188597370585543E-5,8000.0,0.8029525980330083,0.37255072182232707,0.814,0.3524578749477788,0.8685237042495701,0.1185682326621924,0.7647705556478153,0.7075471698113207,-0.7884615384615393,8000.0,2.176976E7
9000.0,20.086342195,8.274472711106638E-5,9000.0,0.8664746120377944,0.41247750899883073,0.836,0.36090782264412685,0.8029525980330083,0.10253583241455347,0.7707947528255437,0.6989247311827957,-0.5956756756756765,9000.0,3.5465568E7
10000.0,22.872921748,9.755656235014724E-5,10000.0,0.7785331830350852,0.351205955372757,0.824,0.32215923095883636,0.8664746120377944,0.10375275938189846,0.7392633242304477,0.648936170212766,-0.7271835132482832,10000.0,1.870584E7
11000.0,25.406338699,1.2092147842467479E-4,11000.0,0.7305546016483516,0.3095814905101786,0.81,0.3052711636342363,0.7785331830350852,0.11607142857142858,0.7157951085070625,0.6153846153846154,-0.8610863757791619,11000.0,3.5650032E7
12000.0,28.230568236,1.3554868335918948E-4,12000.0,0.8188408035502837,0.394332311080015,0.835,0.3960910621477197,0.7305546016483516,0.122334455667789,0.7752251690623589,0.7064220183486238,-0.6071428571428572,12000.0,2.0019984E7
13000.0,30.756748533,1.5958736942053766E-4,13000.0,0.805965548719043,0.34004619392157787,0.822,0.3193064574107637,0.8188408035502837,0.10253583241455347,0.7418432135639744,0.6559139784946236,-0.7464150943396236,13000.0,3.6783136E7
14000.0,33.837397817,2.0240628340599206E-4,14000.0,0.7724072802197802,0.34060369199915164,0.841,0.3771349775925285,0.805965548719043,0.11607142857142858,0.751058090625822,0.6538461538461539,-0.5577326801959412,14000.0,3.765656E7
15000.0,37.312219408,2.4081361035167725E-4,15000.0,0.7968906780787969,0.3701294883711305,0.845,0.3912018853102904,0.7724072802197802,0.1001100110011001,0.7992126107342393,0.7472527472527473,-0.5296052631578942,15000.0,4.2725184E7
16000.0,40.130908612,2.844084202811316E-4,16000.0,0.7646510402415915,0.31590431383010903,0.811,0.3264529372353923,0.7968906780787969,0.12485939257592801,0.7250129336709867,0.6306306306306306,-0.8540772532188833,16000.0,4.2026272E7
17000.0,43.355214688,3.3097499145599103E-4,17000.0,0.8236495043451679,0.43209312331366817,0.792,0.30529578367979493,0.7646510402415915,0.11358574610244988,0.7475815119091285,0.696078431372549,-1.0403923831506061,17000.0,5.5826496E7
18000.0,46.759753647,3.948653053014897E-4,18000.0,0.8534798534798534,0.6075321303502061,0.771,0.2889523691237658,0.8236495043451679,0.0989010989010989,0.7839040084764809,0.8,-1.261108063631376,18000.0,4.734256E7
19000.0,50.334885338,4.5429296837752137E-4,19000.0,0.768232237215599,0.35449287602882296,0.849,0.3823726706042113,0.8534798534798534,0.11358574610244988,0.7458928694917493,0.6372549019607843,-0.49038961038961004,19000.0,6.4253824E7
20000.0,53.977891793,4.98913993441007E-4,20000.0,0.7881894405869252,0.369893476084071,0.85,0.39239767976927303,0.768232237215599,0.11358574610244988,0.7567980914603613,0.6568627450980392,-0.48001973359644745,20000.0,4.7345856E7
21000.0,57.121739442,5.512155371470105E-4,21000.0,0.8254322958233573,0.3813866588489376,0.838,0.3967154507876215,0.7881894405869252,0.11731843575418995,0.7803451463846197,0.7142857142857143,-0.5956848030018758,21000.0,6.4306576E7
22000.0,60.561829548,5.933541504647044E-4,22000.0,0.8437456770417664,0.3592198657923979,0.847,0.4039270687237026,0.8254322958233573,0.11731843575418995,0.7705679335033708,0.6857142857142857,-0.5046937863209655,22000.0,4.7349216E7
23000.0,63.520080044,6.425076425493305E-4,23000.0,0.7879888888888888,0.33405376938967857,0.83,0.33385579937304055,0.8437456770417664,0.1111111111111111,0.7273696905059124,0.62,-0.6730851519041513,23000.0,6.4227616E7
24000.0,67.194024338,6.887240181520166E-4,24000.0,0.7567438148443735,0.3464605715088348,0.832,0.35147654892877783,0.7879888888888888,0.11731843575418995,0.7334663353717764,0.6285714285714286,-0.6511056511056513,24000.0,4.862568E7
25000.0,70.262330458,7.407324561125621E-4,25000.0,0.7528827409993503,0.3165146735680118,0.841,0.3625414949404238,0.7567438148443735,0.11234705228031146,0.740048126718364,0.6336633663366337,-0.5631144317734956,25000.0,6.5520544E7
26000.0,73.83828272,7.963807545575473E-4,26000.0,0.8563845693779905,0.4007537547300518,0.842,0.39852600803995586,0.7528827409993503,0.09649122807017543,0.8258812532668408,0.8068181818181818,-0.5613835043709618,26000.0,6.0153728E7
27000.0,77.210812567,8.636325218098417E-4,27000.0,0.7930967302009936,0.3654837755837196,0.86,0.4213680512502585,0.8563845693779905,0.11482720178372352,0.7685957049903733,0.6699029126213593,-0.3825896122896854,27000.0,4.7359632E7
28000.0,80.646531242,9.205824185128491E-4,28000.0,0.8103907203907204,0.35496057523185254,0.859,0.37416777629826875,0.7930967302009936,0.0989010989010989,0.7471067515211586,0.6333333333333333,-0.3980169971671388,28000.0,6.4073392E7
29000.0,83.933288965,9.608545346928378E-4,29000.0,0.7663216796481369,0.33651442237869095,0.843,0.34894753429429226,0.8103907203907204,0.10253583241455347,0.7405236265982262,0.6344086021505376,-0.5608501885498801,29000.0,4.7362992E7
30000.0,87.054294668,0.0010125240491287621,30000.0,0.7878624236579878,0.35924110379874474,0.863,0.37574045384124694,0.7663216796481369,0.09289617486338798,0.7559046470439864,0.6470588235294118,-0.3690872751499006,30000.0,6.3994432E7
31000.0,90.687091041,0.0010570392792390501,31000.0,0.7946931306306306,0.34964837393338566,0.852,0.41911580005023885,0.7878624236579878,0.12612612612612611,0.7608344416619477,0.6607142857142857,-0.47334617854849104,31000.0,4.7366352E7
32000.0,93.485789167,0.001103422975227015,32000.0,0.7919559935371675,0.35099481541969135,0.857,0.35633135881600947,0.7946931306306306,0.09769484083424808,0.7313082297050417,0.6067415730337079,-0.42866063065875787,32000.0,6.4063648E7
33000.0,97.06517734,0.0011474978753734269,33000.0,0.7856215968652994,0.3489228125659619,0.858,0.38280190549045523,0.7919559935371675,0.09409190371991247,0.7744209121814558,0.686046511627907,-0.4247491638795986,33000.0,4.759752E7
34000.0,100.22495455,0.0012004874001671022,34000.0,0.8157211599341522,0.37244261167524395,0.855,0.4093108898629601,0.7856215968652994,0.1185682326621924,0.756509047509786,0.6509433962264151,-0.45213549337260694,34000.0,6.4824016E7
35000.0,103.900147175,0.001256079881451856,35000.0,0.847657102930259,0.3584597367213115,0.843,0.3741329548897356,0.8157211599341522,0.11358574610244988,0.7482456883363771,0.6470588235294118,-0.5713468687446382,35000.0,5.8470704E7
36000.0,107.338367202,0.0013233830719802397,36000.0,0.8430564025128011,0.3812089527173086,0.87,0.4884185837852301,0.847657102930259,0.13250283125707815,0.795157445252001,0.7094017094017094,-0.2949640287769788,36000.0,4.737688E7
37000.0,110.785599887,0.0013804951569131214,37000.0,0.811358285807808,0.39057711318918376,0.852,0.38284475209540897,0.8430564025128011,0.09529025191675794,0.7852616266480932,0.7126436781609196,-0.47960010807889764,37000.0,6.4041248E7
38000.0,114.319651492,0.0014372419017988922,38000.0,0.8493616334808259,0.3945994957086848,0.847,0.39659252247988636,0.811358285807808,0.10619469026548672,0.7864923670086263,0.71875,-0.5312088490913888,38000.0,4.8456336E7
39000.0,117.632998601,0.00149332152107661,39000.0,0.7946912306908039,0.43288365054466016,0.77,0.25496420588902197,0.8493616334808259,0.10253583241455347,0.7318923701046559,0.6881720430107527,-1.3059125964010276,39000.0,6.5424512E7
40000.0,121.265033931,0.0015468499830719644,40000.0,0.8027512557129282,0.5507141840655774,0.692,0.22748158998334547,0.7946912306908039,0.10864745011086474,0.7522384653285497,0.8367346938775511,-2.0892678034102308,40000.0,5.6968736E7
41000.0,124.292819752,0.0016048779625053348,41000.0,0.8121,0.3796894636296706,0.763,0.25565326633165836,0.8027512557129282,0.1111111111111111,0.7246455072041165,0.68,-1.376956947162427,41000.0,6.5316352E7
