learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.173695227,6.326140224821866E-9,1000.0,0.9319273037664046,0.6593921426002733,0.929,0.648647043686534,0.0,0.10253583241455347,0.887088529385813,0.8387096774193549,0.22826086956521766,1000.0,140784.0,15.0,0.9090026070751164,0.0909973929248835,1366.6666666666667,8.734532814756815,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.264934061,9.649142634284994E-9,2000.0,0.9761854092562754,0.7575547931964399,0.926,0.6967685360476649,0.9319273037664046,0.12485939257592801,0.9307653527687272,0.9369369369369369,0.2709359605911337,2000.0,140784.0,15.0,0.814923040688496,0.18507695931150386,2765.7333333333327,12.54077793085855,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.387635461,1.594338670761635E-8,3000.0,0.9727827856935155,0.6957920758606534,0.939,0.7072936660268712,0.9761854092562754,0.10497237569060773,0.9285244229176947,0.9157894736842105,0.38590604026845615,3000.0,198288.0,15.0,0.8833824408478319,0.1166175591521681,4134.666666666667,16.718016135058136,6744.0,377.51669783316487,3.8000000000000003,0.26186146828319085,2.4000000000000004,0.13093073414159542,2.4000000000000004,0.13093073414159542,1.4000000000000001,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.490640085,2.247455047933178E-8,4000.0,0.9637471088737951,0.7155897106905837,0.941,0.7394821434879365,0.9727827856935155,0.11982082866741321,0.9381674904312899,0.9345794392523364,0.41728395061728313,4000.0,245096.0,15.0,0.9842276345456699,0.015772365454330053,5494.066666666667,17.537298121341994,9838.4,380.57376232660675,6.066666666666666,0.2666666666666666,3.533333333333333,0.1333333333333333,3.533333333333333,0.1333333333333333,2.533333333333333,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.574631052,2.8279195089300888E-8,5000.0,0.96766234333377,0.7624204688528663,0.95,0.7708692304872234,0.9637471088737951,0.11358574610244988,0.9590563454556148,0.9705882352941176,0.506903353057199,5000.0,267144.0,15.0,0.9039241957004539,0.09607580429954612,6879.066666666667,18.956709244930273,11299.2,465.34111604898425,6.7333333333333325,0.33046383948376135,3.8666666666666663,0.16523191974188067,3.8666666666666663,0.16523191974188067,2.8666666666666663,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.650857006,3.381554277835828E-8,6000.0,0.9747484733934283,0.7949417447746128,0.942,0.7310955538040703,0.96766234333377,0.10497237569060773,0.9583170767845458,0.9789473684210527,0.4219269102990031,6000.0,280752.0,15.0,0.8417591481891546,0.15824085181084518,8264.266666666666,23.76441250246475,12198.4,679.0196630857922,7.4,0.48599431703516477,4.2,0.24299715851758238,4.2,0.24299715851758238,3.2,0.24299715851758238,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.72522535,3.936688228089156E-8,7000.0,0.9661448098170226,0.7564548747217735,0.933,0.7108928663893541,0.9747484733934283,0.11358574610244988,0.9494287276820672,0.9705882352941176,0.33380681818181845,7000.0,288544.0,15.0,0.8485846630565377,0.1514153369434623,9663.733333333334,26.165856827019095,12713.06666666667,535.734897719871,7.8,0.3804758924845368,4.4,0.1902379462422684,4.4,0.1902379462422684,3.4,0.1902379462422684,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.831708557,4.901394036886179E-8,8000.0,0.973716990533134,0.7479790769377627,0.933,0.7195807942141567,0.9661448098170226,0.1210762331838565,0.9460185013077047,0.9629629629629629,0.33990147783251307,8000.0,350200.0,15.0,0.8611324324891814,0.1388675675108185,11070.666666666668,29.274508115369326,16784.0,453.09887494474157,11.266666666666666,0.18170270503179914,6.133333333333333,0.09085135251589957,6.133333333333333,0.09085135251589957,3.8,0.14474937289114917,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.920123795,5.785264948383802E-8,9000.0,0.9652802027316898,0.7669399977662524,0.932,0.7245870831341992,0.973716990533134,0.1273957158962796,0.9460457410310961,0.9646017699115044,0.33837837837837864,9000.0,386424.0,15.0,0.906878369275786,0.09312163072421391,12486.933333333334,28.933662495384574,19180.8,507.5682004373777,12.6,0.34914862437758776,6.8,0.17457431218879388,6.8,0.17457431218879388,4.3999999999999995,0.16329931618554522,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.994950765,6.549851220482753E-8,10000.0,0.9807955960691149,0.7939397189827826,0.927,0.7062137797810691,0.9652802027316898,0.11982082866741321,0.9582552267049103,1.0,0.29263565891472887,10000.0,394976.0,15.0,0.9764603059382005,0.023539694061799538,13875.6,30.64276501262648,19745.600000000002,622.5512853228581,13.133333333333333,0.4125030062420518,7.066666666666666,0.2062515031210259,7.066666666666666,0.2062515031210259,4.533333333333332,0.19189944456771316,0.0,0.0,0.0,0.0,1.0,0.0
