learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.208327837,1.586655858821339E-10,1000.0,0.9613119929941003,0.7162190049776422,0.964,0.7982243744955606,0.0,0.10619469026548672,0.9078268628058207,0.84375,0.621052631578947,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.238559749,1.8169066068198944E-10,2000.0,0.9965201465201465,0.7957528209027638,0.982,0.8933143669985775,0.9613119929941003,0.0989010989010989,0.959700808078039,0.9333333333333333,0.8054054054054053,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.260863609,1.9867761290735667E-10,3000.0,0.9948017213642214,0.7541204361910426,0.981,0.9063079411416622,0.9965201465201465,0.12612612612612611,0.9616813823096926,0.9375,0.8080808080808078,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.295783169,2.517235882414712E-10,4000.0,0.9688281258758507,0.7560248043386274,0.979,0.8806763943815628,0.9948017213642214,0.10987791342952276,0.9327431337043295,0.8787878787878788,0.7878787878787876,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.329183277,3.277611483136813E-10,5000.0,0.9641555555555555,0.7424946469552137,0.971,0.8396017699115043,0.9688281258758507,0.1111111111111111,0.9196013629104007,0.86,0.7076612903225803,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.353583857,3.833106862836414E-10,6000.0,0.9816649642492339,0.7889587453102971,0.982,0.9073311367380559,0.9641555555555555,0.12359550561797752,0.9491676908816942,0.9090909090909091,0.8217821782178216,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.37772468,4.5300765591570074E-10,7000.0,0.9974937662205485,0.8657830581270373,0.987,0.9226061486438215,0.9816649642492339,0.09409190371991247,0.992862933768625,1.0,0.8684971098265895,7000.0,11160.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.393335184,4.992075073160231E-10,8000.0,0.9825210707891174,0.8158019294298956,0.98,0.8944925089681366,0.9974937662205485,0.11358574610244988,0.9625504354355872,0.9411764705882353,0.7984886649874052,8000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.408798648,5.449721885162095E-10,9000.0,0.9908190052089776,0.8154770619637317,0.988,0.9211843367005135,0.9825210707891174,0.08577633007600434,0.9818862770639993,0.9746835443037974,0.8762886597938143,9000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.423421385,5.88248707741085E-10,10000.0,0.9970126960418223,0.8045425997512408,0.99,0.9472423580555643,0.9908190052089776,0.11482720178372352,0.9858179769605688,0.9805825242718447,0.8975409836065573,10000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.43795997,6.312761760772102E-10,11000.0,0.9958076771911437,0.7935543215582161,0.982,0.9042390194075586,0.9970126960418223,0.11358574610244988,0.9636386782200403,0.9411764705882353,0.8163265306122447,11000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12000.0,0.451583473,6.715954261252448E-10,12000.0,0.9958724696546601,0.8162352802079372,0.977,0.8930192751358189,0.9958076771911437,0.13765642775881684,0.9506777129189785,0.9173553719008265,0.769808173477898,12000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13000.0,0.465350109,7.123382834655542E-10,13000.0,0.9983612662942272,0.8131117603993301,0.991,0.9523153544558651,0.9958724696546601,0.11731843575418995,0.9780240243905987,0.9619047619047619,0.9102760736196318,13000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14000.0,0.478549706,7.514029683690103E-10,14000.0,0.993897113411066,0.7932690726854202,0.984,0.9134124166594509,0.9983612662942272,0.11358574610244988,0.9602281396967669,0.9313725490196079,0.840682788051209,14000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
15000.0,0.491646888,7.901645523744323E-10,15000.0,0.9989240682309989,0.8353930253935775,0.993,0.9583065303885832,0.993897113411066,0.1001100110011001,0.9862263022131242,0.978021978021978,0.9298597194388777,15000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
16000.0,0.511257539,8.615964676708809E-10,16000.0,0.976571338069596,0.8071571179246175,0.979,0.8858869302497445,0.9989240682309989,0.10864745011086474,0.9608142089238,0.9387755102040817,0.7893416927899686,16000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
17000.0,0.52962477,9.410434837701419E-10,17000.0,0.9818209134615384,0.763245357497826,0.976,0.8764720415053939,0.976571338069596,0.11607142857142858,0.9565543040914217,0.9326923076923077,0.75985874043555,17000.0,16720.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
18000.0,0.543351087,1.0004163379408418E-9,18000.0,0.9950884996756556,0.7702889739509338,0.985,0.9254754665235795,0.9818209134615384,0.122334455667789,0.9794793157703392,0.9724770642201835,0.8506637168141592,18000.0,16720.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
19000.0,0.5606093,1.0868531631450685E-9,19000.0,0.9885475348268483,0.7733711078610752,0.981,0.8993452141298128,0.9950884996756556,0.11358574610244988,0.9630947105344585,0.9411764705882353,0.8109947643979056,19000.0,19360.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
20000.0,0.573791723,1.1528766148558094E-9,20000.0,0.9960453620238442,0.7982510245101214,0.991,0.9479046075480435,0.9885475348268483,0.10497237569060773,0.9760135760976666,0.9578947368421052,0.9102244389027431,20000.0,19360.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
21000.0,0.587801531,1.2230439795326027E-9,21000.0,0.9949997816498537,0.7994164895232391,0.983,0.9114343468022588,0.9960453620238442,0.11358574610244988,0.977474587984722,0.9705882352941176,0.830564784053156,21000.0,19360.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
22000.0,0.601346083,1.2908811347290044E-9,22000.0,0.9952701020662186,0.7937728419310677,0.981,0.9026160406757421,0.9949997816498537,0.11482720178372352,0.9765019622624365,0.970873786407767,0.8108597285067872,22000.0,19360.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
23000.0,0.614566695,1.357095853978147E-9,23000.0,0.997794557416268,0.8083008061156284,0.992,0.9521256223669091,0.9952701020662186,0.09649122807017543,0.9956043743251827,1.0,0.9199303742384682,23000.0,19360.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
24000.0,0.630335557,1.446843003268457E-9,24000.0,0.9793600550082394,0.750667736982962,0.979,0.8817940289098031,0.997794557416268,0.10253583241455347,0.964128831506199,0.946236559139785,0.7892095357590964,24000.0,22000.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
25000.0,0.643460724,1.521543785240501E-9,25000.0,0.9957160402849423,0.8195760886293759,0.984,0.9219854697937491,0.9793600550082394,0.12994350282485875,0.9641472687223771,0.9391304347826087,0.8403830806065441,25000.0,22000.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
26000.0,0.659139086,1.6214837105468742E-9,26000.0,0.9803785103785104,0.7728465661655067,0.976,0.8630762209036967,0.9957160402849423,0.0989010989010989,0.9616263696079027,0.9444444444444444,0.7596302003081661,26000.0,24640.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
27000.0,0.672224784,1.7048969957294562E-9,27000.0,0.9947169555183493,0.8514593892376916,0.986,0.9229142806801163,0.9803785103785104,0.10864745011086474,0.9739351662875664,0.9591836734693877,0.8596881959910911,27000.0,24640.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
