learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.192690368,7.01197886745135E-9,1000.0,0.9748115969855518,0.7964715020735019,0.942,0.8840241229824195,0.0,0.9920318725099602,0.9417017515301865,0.9698795180722891,0.8825910931174088,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.278732283,1.0143033605460078E-8,2000.0,0.98158,0.8205773499048709,0.957,0.9139999999999999,0.9748115969855518,1.0,0.9563597649420431,0.992,0.9136546184738955,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.342771685,1.2473419592933108E-8,3000.0,0.9903604425869882,0.8475837578153037,0.963,0.9260621078294232,0.98158,0.9455252918287937,0.9633771986981764,0.9917695473251029,0.9251012145748987,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.452994739,1.8003690647327653E-8,4000.0,0.9772749103483607,0.7958130768983049,0.955,0.910125105852653,0.9903604425869882,0.953125,0.9551237943860781,0.9959016393442623,0.9077396207073295,4000.0,193944.0,15.0,3983.5333333333333,15.59727285889813,6464.0,332.60873624811995,3.6666666666666674,0.25197631533948484,2.3333333333333335,0.1259881576697424,2.3333333333333335,0.1259881576697424,1.3333333333333337,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.532998982,2.26794263007616E-8,5000.0,0.9874076803537385,0.8276280422261661,0.962,0.9241092826330084,0.9772749103483607,0.9305019305019305,0.962621902223779,1.0,0.9219071105630907,5000.0,225912.0,15.0,4983.866666666667,16.370666759748385,8576.0,239.8475706419749,5.2666666666666675,0.1817027050317992,3.1333333333333337,0.0908513525158996,3.1333333333333337,0.0908513525158996,2.1333333333333337,0.0908513525158996,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.595936945,2.650767272156974E-8,6000.0,0.9917384496477929,0.8725997771846703,0.974,0.9480318045356242,0.9874076803537385,0.9342359767891683,0.9745305867972958,1.0,0.9465020576131686,6000.0,235120.0,15.0,5980.666666666666,20.516350428880724,9184.533333333335,498.8712389142844,5.800000000000001,0.3804758924845368,3.4000000000000004,0.1902379462422684,3.4000000000000004,0.1902379462422684,2.4000000000000004,0.1902379462422684,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.657226852,3.037051219906037E-8,7000.0,0.9832143214321433,0.8448751898238213,0.959,0.9180589975217842,0.9917384496477929,0.9801980198019802,0.9585467548263459,1.0,0.9158604514805042,7000.0,243624.0,15.0,6977.400000000001,20.572473518433963,9747.199999999999,629.7836000223749,6.066666666666666,0.472749472228223,3.533333333333333,0.2363747361141115,3.533333333333333,0.2363747361141115,2.533333333333333,0.2363747361141115,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.718198371,3.4297325594052675E-8,8000.0,0.9893758300132802,0.8639498705904172,0.971,0.9419856124318831,0.9832143214321433,1.0080321285140563,0.970446839488435,1.0,0.9406497825530826,8000.0,248952.0,15.0,7989.533333333332,23.421168013382918,10099.199999999999,666.2853614309283,6.333333333333333,0.5039526306789697,3.6666666666666665,0.25197631533948484,3.6666666666666665,0.25197631533948484,2.6666666666666665,0.25197631533948484,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.804151596,4.05634757015047E-8,9000.0,0.9914796966820089,0.8429285445081693,0.96,0.9201274765474302,0.9893758300132802,0.9267822736030829,0.9606917867119905,1.0,0.9179767600820232,9000.0,281800.0,15.0,8997.666666666668,24.060175882400852,12268.266666666668,352.8965782217715,8.333333333333334,0.25197631533948484,4.666666666666667,0.12598815766974242,4.666666666666667,0.12598815766974242,3.6666666666666665,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.882424822,4.675442777661607E-8,10000.0,0.9848750320020482,0.8730576788777971,0.965,0.9299562927266614,0.9914796966820089,1.0161290322580645,0.9640723436915758,1.0,0.9286151335916785,10000.0,305736.0,15.0,10008.4,25.97284296007217,13850.666666666666,189.78831984399446,9.266666666666667,0.18170270503179917,5.133333333333334,0.09085135251589958,5.133333333333334,0.09085135251589958,4.133333333333334,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.948204575,5.2043395026841516E-8,11000.0,0.9922984905041388,0.8879323792804484,0.971,0.9420357060051008,0.9848750320020482,0.9723865877712031,0.9709792937826405,1.0,0.9408930887530109,11000.0,310800.0,15.0,11014.466666666669,24.648745098293183,14185.6,302.10053198988487,9.4,0.21380899352993948,5.2,0.10690449676496974,5.2,0.10690449676496974,4.2,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.009626387,5.707260139416697E-8,12000.0,0.9927115745802148,0.8879821423280223,0.971,0.9418180067250359,0.9922984905041388,1.0703933747412009,0.9695146167709413,1.0,0.9408565601631542,12000.0,316504.0,15.0,12011.333333333334,19.574440736805958,14562.666666666666,527.6152518343779,9.666666666666668,0.3737412737209254,5.333333333333334,0.1868706368604627,5.333333333333334,0.1868706368604627,4.333333333333334,0.1868706368604627,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.072590319,6.241428998024306E-8,13000.0,0.9948423289145684,0.887558025354953,0.967,0.9339048229450408,0.9927115745802148,1.0366598778004072,0.9659142243768795,0.9980353634577603,0.9327058823529412,13000.0,327936.0,15.0,13006.666666666666,18.024234127224805,15318.400000000001,764.7100963296949,10.200000000000003,0.5451081150953975,5.600000000000001,0.27255405754769874,5.600000000000001,0.27255405754769874,4.533333333333335,0.23637473611411156,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.13428654,6.77356395360248E-8,14000.0,0.9895539525747047,0.8889941753138901,0.97,0.9399377755354547,0.9948423289145684,1.028397565922921,0.9690965240997991,1.0,0.938766584050153,14000.0,333400.0,15.0,13999.133333333333,20.74743051599094,15678.4,746.7448394452387,10.733333333333334,0.5474326805028538,5.866666666666667,0.2737163402514269,5.866666666666667,0.2737163402514269,4.800000000000001,0.24299715851758227,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.206569518,7.438643473567234E-8,15000.0,0.9916430509496533,0.8945395557087811,0.97,0.9399579705794056,0.9895539525747047,0.8691588785046729,0.9715581473308017,1.0,0.9385245901639344,15000.0,355664.0,15.0,14986.666666666666,23.599569541406524,17149.333333333332,628.127820375884,11.933333333333334,0.472749472228223,6.466666666666667,0.2363747361141115,6.466666666666667,0.2363747361141115,5.2666666666666675,0.18170270503179917,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.267290203,8.057532634617553E-8,16000.0,0.9896558344933519,0.8925566158440557,0.968,0.9360153563144845,0.9916430509496533,0.9920318725099602,0.9676026974330328,1.0,0.93451010488616,16000.0,393984.0,15.0,15983.066666666668,18.348859226683135,19683.199999999993,298.6351684070781,13.4,0.21380899352993948,7.2,0.10690449676496974,7.2,0.10690449676496974,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.319279729,8.59537109997289E-8,17000.0,0.9943607517930327,0.8975652327021113,0.972,0.9440429749952036,0.9896558344933519,0.953125,0.9722718241315028,1.0,0.942692029857934,17000.0,399888.0,15.0,16985.866666666665,18.976643957059927,20073.600000000002,449.61491247934555,13.666666666666666,0.3187276291558383,7.333333333333333,0.15936381457791915,7.333333333333333,0.15936381457791915,6.133333333333334,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.370634442,9.126908051601507E-8,18000.0,0.9918335975404717,0.9015575066525692,0.972,0.9438679774830401,0.9943607517930327,1.0576131687242798,0.9707661053393449,1.0,0.9427597955706984,18000.0,400088.0,15.0,17975.0,23.70613744119764,20086.933333333334,454.0575951160157,13.666666666666666,0.3187276291558383,7.333333333333333,0.15936381457791915,7.333333333333333,0.15936381457791915,6.133333333333334,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.424242734,9.690058051291232E-8,19000.0,0.989799277398635,0.9115053127823115,0.979,0.9577413772286393,0.9918335975404717,1.127659574468085,0.9774042914455462,1.0,0.9569811320754716,19000.0,406064.0,15.0,18973.933333333334,23.394436999844242,20481.6,773.9075175460474,14.066666666666668,0.5811865258054232,7.533333333333334,0.2905932629027116,7.533333333333334,0.2905932629027116,6.333333333333334,0.2323106841457232,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.476348315,1.024140143761908E-7,20000.0,0.986592,0.8833300265183847,0.961,0.9219999999999999,0.989799277398635,1.0,0.9602083107326244,1.0,0.9201147070872593,20000.0,409016.0,15.0,19965.133333333335,23.0181846677106,20676.8,827.632050749952,14.200000000000001,0.5789974915645967,7.6000000000000005,0.28949874578229834,7.6000000000000005,0.28949874578229834,6.4,0.23502786055720126,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.530955414,1.083470844830407E-7,21000.0,0.99078125,0.9063263592094785,0.974,0.9478079331941545,0.986592,1.0833333333333333,0.9725396307263439,1.0,0.9467265099034051,21000.0,419984.0,15.0,20965.4,23.9522938557539,21401.599999999995,831.3606334540646,14.733333333333333,0.5811865258054232,7.866666666666666,0.2905932629027116,7.866666666666666,0.2905932629027116,6.6000000000000005,0.23502786055720123,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.589620659,1.1511202565076865E-7,22000.0,0.9940594297533581,0.9038582845128809,0.973,0.945750452079566,0.99078125,1.0964360587002095,0.9712858623572642,1.0,0.9446205482006339,22000.0,445744.0,15.0,21961.266666666663,23.39789707006977,23103.999999999996,860.9285795277209,16.066666666666666,0.700113369504347,8.533333333333335,0.35005668475217333,8.533333333333335,0.35005668475217333,7.2,0.2618614682831908,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.650862685,1.2259706072384286E-7,23000.0,0.9888546056291245,0.9103407025060833,0.976,0.9520232207611514,0.9940594297533581,0.9569471624266145,0.9762362777722915,0.9979550102249489,0.9507802050824787,23000.0,472440.0,15.0,22979.600000000002,26.0360190066433,24870.399999999998,1273.6768103184017,16.999999999999996,0.915475416434127,8.999999999999998,0.4577377082170635,8.999999999999998,0.4577377082170635,7.533333333333332,0.25572803013519146,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.706985116,1.2959715137976948E-7,24000.0,0.9931479725918904,0.9095335661660202,0.974,0.9480051994800519,0.9888546056291245,0.9960079840319361,0.9737062146331251,1.0,0.9467304080587331,24000.0,482136.0,15.0,23965.666666666668,24.246289194071373,25512.0,1292.941717833517,17.400000000000002,0.8986762752065103,9.200000000000001,0.44933813760325514,9.200000000000001,0.44933813760325514,7.666666666666666,0.25197631533948484,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.761133945,1.364393853542457E-7,25000.0,0.9913474462365591,0.9090498799012752,0.977,0.9540139797501559,0.9931479725918904,0.9841269841269841,0.9769161066156496,1.0,0.9527565524607674,25000.0,488440.0,15.0,24959.933333333338,27.878728307860413,25929.06666666667,1208.6350564510942,17.666666666666668,0.8432740427115678,9.333333333333334,0.4216370213557839,9.333333333333334,0.4216370213557839,7.799999999999999,0.22253945610567472,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,1.816539022,1.4356018521050614E-7,26000.0,0.9943927702356558,0.9174710407074064,0.98,0.9599384654829818,0.9913474462365591,1.0491803278688525,0.9792938238560595,1.0,0.9588314464412951,26000.0,496800.0,15.0,25947.13333333333,26.447768231826963,26481.066666666666,1145.7483454542325,18.200000000000003,0.7999999999999999,9.600000000000001,0.39999999999999997,9.600000000000001,0.39999999999999997,7.933333333333333,0.18170270503179914,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,1.874125613,1.511781499512018E-7,27000.0,0.9945933831974676,0.920942800019433,0.982,0.9640110845859475,0.9943927702356558,0.9569471624266145,0.9822295816540657,1.0,0.963008068199117,27000.0,511352.0,15.0,26955.533333333333,26.31636584164136,27442.666666666668,1173.574866914748,18.999999999999996,0.8280786712108252,9.999999999999998,0.4140393356054126,9.999999999999998,0.4140393356054126,8.066666666666666,0.2062515031210258,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,1.93253858,1.5917417609486938E-7,28000.0,0.9934438951023217,0.9190215385260292,0.98,0.9599929587607419,0.9945933831974676,1.0080321285140563,0.9797139161151682,1.0,0.9588839941262849,28000.0,529136.0,15.0,27953.86666666666,22.891226571947545,28618.666666666668,1190.1758280133663,19.8,0.8684962373468951,10.4,0.43424811867344754,10.4,0.43424811867344754,8.400000000000002,0.19023794624226834,0.0,0.0,0.0,0.0,1.0,0.0
