learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.031858689,4.892480910083528E-7,1000.0,0.5,0.0,0.504,0.0,0.0,0.9841269841269841,0.0,0.0,-0.03333333333333337,1000.0,1832976.0
2000.0,3.113310019,1.007172910990032E-6,2000.0,0.7583632043014195,0.5257649792974519,0.733,0.4689695224305683,0.5,1.0242914979757085,0.6970150353573229,0.5,0.4494845360824742,2000.0,961840.0
3000.0,5.082908164,3.764409152587218E-6,3000.0,0.9950907432302669,0.8925833952787919,0.963,0.9260686083314683,0.7583632043014195,0.968503937007874,0.9628942591638547,1.0,0.9243353783231083,3000.0,5411264.0
4000.0,7.25926484,4.844408266548809E-6,4000.0,0.9954545272668345,0.8832779882986466,0.961,0.9218649826900884,0.9950907432302669,1.0366598778004072,0.9594635296694628,1.0,0.9204081632653061,4000.0,1918208.0
5000.0,9.189973627,1.1373323435159426E-5,5000.0,0.9929278245651973,0.8263122920362824,0.953,0.9055891238670694,0.9954545272668345,1.0703933747412009,0.9501007901202712,1.0,0.9037674037674037,5000.0,1.1736128E7
6000.0,11.417386189,2.0906756365958627E-5,6000.0,0.996425563467405,0.8385042364088326,0.957,0.9139999999999999,0.9929278245651973,0.8416206261510129,0.9595886165829117,1.0,0.9113706630024045,6000.0,1.1734896E7
7000.0,13.535750879,3.568522105842289E-5,7000.0,0.9956239299828797,0.8079490512418644,0.956,0.912029558068489,0.996425563467405,0.9920318725099602,0.9551704547407032,1.0,0.9102302535703876,7000.0,2.2786672E7
8000.0,15.788460345,5.825902087264237E-5,8000.0,0.9959589654951667,0.8208350276204562,0.956,0.9118533239310211,0.9956239299828797,1.032520325203252,0.9542374472273958,1.0,0.9102269829125222,8000.0,3.4803216E7
9000.0,18.194204788,8.820603539118638E-5,9000.0,0.9953592478698187,0.812715281987018,0.948,0.8962390651937933,0.9959589654951667,0.937984496124031,0.9482746470308855,1.0,0.8937570942111236,9000.0,4.8117872E7
10000.0,21.534794142,1.1662933247575324E-4,10000.0,0.9945786121247039,0.8209600678166524,0.961,0.9220772993190754,0.9953592478698187,0.968503937007874,0.9608477228243261,1.0,0.9203594037165611,10000.0,3.2889232E7
11000.0,24.097466065,1.485320278987891E-4,11000.0,0.9983407877651133,0.8129784615457368,0.954,0.9074461578083249,0.9945786121247039,1.0920502092050208,0.9506659194357232,1.0,0.905755261687465,11000.0,3.2892592E7
12000.0,26.84376062,1.8272302811491134E-4,12000.0,0.9962138191598361,0.8043417190806369,0.957,0.9141277778665345,0.9983407877651133,0.953125,0.9570870519445972,1.0,0.9121253405994549,12000.0,4.8124592E7
13000.0,29.854058167,2.3206299596816645E-4,13000.0,0.9925039700158801,0.8037342058666166,0.958,0.9160137737411064,0.9962138191598361,0.9960079840319361,0.9571664769885428,1.0,0.9139072847682118,13000.0,4.2108688E7
14000.0,33.341546865,2.7941829784895007E-4,14000.0,0.995593867431837,0.7960455580978274,0.951,0.9021635824900764,0.9925039700158801,0.9569471624266145,0.9508467747440151,1.0,0.8995313415348564,14000.0,5.2487776E7
