learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.047902358,4.968550768434256E-7,1000.0,0.5,0.0,0.495,0.0,0.0,1.02020202020202,0.0,0.0,-0.03271983640081803,1000.0,1832976.0
2000.0,3.103071528,1.0186609464152902E-6,2000.0,0.741517265671594,0.4774650345099679,0.709,0.4242275547676332,0.5,1.053388090349076,0.6818873220234242,0.5009746588693957,0.4024640657084188,2000.0,981440.0
3000.0,4.865872909,3.530737027298336E-6,3000.0,0.9764127331194862,0.8107806978044519,0.929,0.8585003427879021,0.741517265671594,0.9342359767891683,0.9288775012371783,0.9979296066252588,0.854109589041096,3000.0,5508480.0
4000.0,6.884990893,4.679725504862592E-6,4000.0,0.9889313221565708,0.7982153431486337,0.954,0.9077002102829991,0.9764127331194862,1.0576131687242798,0.9516522596759299,0.9980544747081712,0.9065040650406503,4000.0,2199664.0
5000.0,8.926396181,1.1629244849777447E-5,5000.0,0.9752232509176203,0.7675681779507274,0.932,0.8634247450260498,0.9889313221565708,1.053388090349076,0.9275611084215761,1.0,0.8615071283095724,5000.0,1.1742736E7
6000.0,10.897419584,1.9983987931367683E-5,6000.0,0.9806557192485846,0.7426178984147219,0.927,0.854690510693186,0.9752232509176203,0.8656716417910447,0.9294072995523236,0.9956896551724138,0.8502564102564104,6000.0,9206272.0
7000.0,12.808918745,3.2068864952639465E-5,7000.0,0.9664491295179638,0.7149291380748861,0.923,0.8463760713772686,0.9806557192485846,0.9646365422396856,0.9212616274693873,1.0,0.842489772063121,7000.0,2.4438272E7
8000.0,15.395997769,4.731579457810957E-5,8000.0,0.9847539015606243,0.7491111592595847,0.943,0.8856936590061364,0.9664491295179638,1.0408163265306123,0.940039078649263,1.0,0.8833162743091094,8000.0,2.278112E7
9000.0,17.919262492,5.474671334887035E-5,9000.0,0.9857077676741803,0.7281816072697531,0.928,0.8564135290363754,0.9847539015606243,0.953125,0.9270248108869579,1.0,0.8522571819425445,9000.0,1.1383664E7
10000.0,19.865600317,6.814820553224925E-5,10000.0,0.9827157234515752,0.7237772427269321,0.932,0.8640717701053845,0.9857077676741803,0.9920318725099602,0.9298074169790875,1.0,0.8607413475322548,10000.0,2.6615664E7
11000.0,22.472012261,8.42107030242353E-5,11000.0,0.98619206133657,0.7259609577211023,0.935,0.8691647477496338,0.9827157234515752,1.079002079002079,0.9299811099505543,1.0,0.8664050822122572,11000.0,1.7030144E7
12000.0,24.72159194,1.029862343073421E-4,12000.0,0.9801611432046214,0.7265611877907003,0.933,0.865764819964578,0.98619206133657,1.0242914979757085,0.9297163382643264,1.0,0.8621162750814613,12000.0,3.2262144E7
13000.0,27.337960369,1.1807565899760513E-4,13000.0,0.9745592635766046,0.7272909141008986,0.93,0.8605405448481686,0.9801611432046214,0.9267822736030829,0.9301210893468571,1.0,0.8553948832035596,13000.0,1.7033504E7
14000.0,29.598829847,1.3694738287515237E-4,14000.0,0.9791912508850319,0.7056758522551321,0.924,0.8478557672673696,0.9745592635766046,1.012072434607646,0.9203708464362715,1.0,0.8432066018272916,14000.0,3.2265504E7
15000.0,32.183305685,1.687044870477587E-4,15000.0,0.9826234832823563,0.7198334293498916,0.918,0.8370927816208872,0.9791912508850319,0.8416206261510129,0.9214049645273337,1.0,0.8302043070127002,15000.0,4.7497504E7
16000.0,35.750977965,1.9166823303885707E-4,16000.0,0.9819816214139344,0.6975996807541734,0.929,0.8584010083443688,0.9826234832823563,0.953125,0.9280776503073436,1.0,0.8530781169167099,16000.0,2.488056E7
17000.0,38.133388411,2.163908587368722E-4,17000.0,0.9674259799624546,0.6758098443883043,0.918,0.8351858179406267,0.9819816214139344,1.053388090349076,0.911933208404747,1.0,0.8304754955612308,17000.0,4.011256E7
18000.0,40.609262625,2.5132883751800817E-4,18000.0,0.9798890652302858,0.6994091275562151,0.921,0.8405831026160515,0.9674259799624546,1.0920502092050208,0.9136345185427285,1.0,0.8363636363636364,18000.0,5.4294896E7
19000.0,43.530146114,3.038657690711963E-4,19000.0,0.9860972750659129,0.7191881165047809,0.937,0.8741902243807365,0.9798890652302858,0.9723865877712031,0.9359122195002005,0.9979716024340771,0.8697497279651797,19000.0,6.9526896E7
20000.0,47.156966105,3.5481170099705783E-4,20000.0,0.9832406706933887,0.6970239732189412,0.934,0.8674555072236749,0.9860972750659129,1.053388090349076,0.9297722226636806,1.0,0.8637911464245177,20000.0,5.4298256E7
