learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.246473241,1.0675423649549484E-8,1000.0,0.9357903161264506,0.5708783305644899,0.867,0.7337124094021543,0.0,1.0408163265306123,0.8663834301850651,0.8862745098039215,0.7252066115702479,1000.0,167424.0,15.0,0.5983669833177588,0.4016330166822412,1100.4,8.440153462834106,4704.0,332.60873624811995,2.333333333333333,0.25197631533948484,1.6666666666666665,0.12598815766974242,1.6666666666666665,0.12598815766974242,0.6666666666666666,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.348266687,1.5364989008357127E-8,2000.0,0.962344,0.6257400454600791,0.902,0.804,0.9357903161264506,1.0,0.9012813101357422,0.938,0.7977296181630548,2000.0,178080.0,15.0,0.43902241687741594,0.560977583122584,2205.7333333333336,12.570360705006381,5408.0,176.0,2.8666666666666667,0.1333333333333333,1.9333333333333333,0.06666666666666665,1.9333333333333333,0.06666666666666665,0.9333333333333332,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.42071673,1.8807980714105068E-8,3000.0,0.9559035903590359,0.6289670882273104,0.893,0.7858286629303444,0.962344,1.02020202020202,0.8919100573236269,0.9287128712871288,0.7817811012916384,3000.0,183696.0,15.0,0.47634652562660046,0.5236534743733995,3306.533333333333,16.090182356143963,5779.2,195.2,3.1333333333333337,0.1333333333333333,2.066666666666667,0.06666666666666668,2.066666666666667,0.06666666666666668,1.0666666666666669,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.507612666,2.3923538795970378E-8,4000.0,0.9595183408091522,0.6236267860531963,0.898,0.7963559697648511,0.9559035903590359,0.9120458891013384,0.8989426762763846,0.9371069182389937,0.7900154400411735,4000.0,227560.0,15.0,0.3279574104602256,0.6720425895397745,4421.466666666666,15.037054760591056,8677.866666666665,262.8969355663141,5.266666666666668,0.18170270503179922,3.133333333333334,0.09085135251589961,3.133333333333334,0.09085135251589961,2.133333333333334,0.09085135251589961,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.580781334,2.865558405060321E-8,5000.0,0.9548874887488749,0.6319247769817002,0.895,0.7902265553202542,0.9595183408091522,0.9801980198019802,0.8937023388058457,0.9535353535353536,0.7845711940910957,5000.0,249992.0,15.0,0.6763501220818423,0.3236498779181577,5562.866666666667,16.212536791210358,10162.133333333333,384.4421792758297,6.2,0.26186146828319085,3.6,0.13093073414159542,3.6,0.13093073414159542,2.6,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.653632802,3.375309596135798E-8,6000.0,0.9604528591838449,0.6532131541008245,0.903,0.8063918628695521,0.9548874887488749,0.9569471624266145,0.9025398915703637,0.9591002044989775,0.8005483207676491,6000.0,270472.0,15.0,0.5279638482072615,0.47203615179273856,6675.133333333334,19.724740728977846,11517.866666666667,274.83393889447854,7.0,0.1951800145897066,3.9999999999999996,0.0975900072948533,3.9999999999999996,0.0975900072948533,2.9333333333333336,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.727564416,3.9197013537387054E-8,7000.0,0.9607265861571016,0.6574679640842406,0.895,0.7901712202842481,0.9604528591838449,0.9880715705765407,0.8926526120684855,0.96579476861167,0.7836326170150133,7000.0,284632.0,15.0,0.5352030578443782,0.46479694215562184,7778.066666666667,20.50330209564785,12453.333333333334,342.50720766370347,7.800000000000001,0.2618614682831908,4.3999999999999995,0.13093073414159542,4.3999999999999995,0.13093073414159542,3.2666666666666675,0.11818736805705574,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.800081119,4.4763967455515846E-8,8000.0,0.9651324295223571,0.6762490400893137,0.905,0.8093257759437371,0.9607265861571016,1.053388090349076,0.90167266632171,0.9610136452241715,0.8040226921093347,8000.0,296744.0,15.0,0.5049753860357211,0.4950246139642788,8897.066666666666,23.73072484327659,13254.933333333332,449.9690514930858,8.2,0.3265986323710903,4.6,0.16329931618554516,4.6,0.16329931618554516,3.4000000000000004,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.892531105,5.3034232358524785E-8,9000.0,0.9636616743471582,0.6775430893315082,0.914,0.8281924244845773,0.9651324295223571,0.9841269841269841,0.9116431264284055,0.9879032258064516,0.8227210261108567,9000.0,345792.0,15.0,0.5951256636310744,0.4048743363689255,10024.733333333334,25.568668823324103,16497.6,453.89670316367915,10.466666666666667,0.3065424178939254,5.733333333333333,0.1532712089469627,5.733333333333333,0.1532712089469627,4.133333333333333,0.09085135251589957,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.969116848,6.010216655839441E-8,10000.0,0.9670188075230092,0.7040863957183293,0.926,0.8515725288831837,0.9636616743471582,1.0408163265306123,0.9225467126247808,0.9882352941176471,0.8475798146240989,10000.0,356736.0,15.0,0.5190410420575748,0.48095895794242505,11162.733333333334,27.05505263376643,17220.8,478.7824558189241,11.0,0.3380617018914066,6.0,0.1690308509457033,6.0,0.1690308509457033,4.333333333333334,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
