learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.19188274,6.98854620779554E-9,1000.0,0.9457545754575457,0.6156240484083771,0.886,0.7719041997639008,0.0,1.02020202020202,0.8856627122352981,0.902970297029703,0.7668711656441718,1000.0,140784.0,15.0,0.6375244396980428,0.36247556030195727,1097.3333333333333,8.841281240196688,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.311574627,1.1347835026569664E-8,2000.0,0.959688749594726,0.6287560762073113,0.902,0.8037448683288275,0.9457545754575457,1.053388090349076,0.9015039609168043,0.9161793372319688,0.7987679671457906,2000.0,140784.0,15.0,0.4422525376641381,0.557747462335862,2195.133333333333,12.21196394901587,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.394378459,1.43636268904681E-8,3000.0,0.9546275494471609,0.6359664878730089,0.897,0.794447282712817,0.959688749594726,0.9342359767891683,0.897393416554496,0.9440993788819876,0.7883561643835617,3000.0,140784.0,15.0,0.3945318418884907,0.6054681581115092,3288.3333333333335,16.865198505648273,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.55086243,2.3523038851933348E-8,4000.0,0.9584394165025379,0.628944306388206,0.906,0.8113237844434453,0.9546275494471609,1.0576131687242798,0.902990180873045,0.9571984435797666,0.8089430894308943,4000.0,226256.0,15.0,0.4099106537474494,0.5900893462525506,4414.733333333333,16.89194416808723,8592.533333333331,166.2484046945776,5.133333333333333,0.1333333333333333,3.0666666666666664,0.06666666666666665,3.0666666666666664,0.06666666666666665,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.63747803,2.922763432915012E-8,5000.0,0.96022911488166,0.6662366663922974,0.91,0.8193518343817618,0.9584394165025379,1.053388090349076,0.906604448356077,0.9668615984405458,0.8167006109979634,5000.0,254584.0,15.0,0.48342303590379676,0.516576964096203,5534.133333333333,17.252706251944158,10462.933333333332,580.8929043715427,6.733333333333333,0.4727494722282231,3.8666666666666667,0.23637473611411153,3.8666666666666667,0.23637473611411153,2.4,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.719396694,3.532698147033652E-8,6000.0,0.9643351132269686,0.6505366458737607,0.899,0.7990705520984196,0.96022911488166,0.8656716417910447,0.9013387495446854,0.9698275862068966,0.7928205128205129,6000.0,287808.0,15.0,0.500338323666597,0.4996616763334029,6620.600000000001,20.82804885359213,12659.199999999999,371.5052931751348,8.2,0.26186146828319085,4.6,0.13093073414159542,4.6,0.13093073414159542,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.783861521,4.012678336004416E-8,7000.0,0.9559057134511582,0.6721828546602483,0.917,0.8344053756404323,0.9643351132269686,0.9646365422396856,0.9152482767687867,0.9938900203665988,0.8302162478082993,7000.0,287808.0,15.0,0.6999644197146851,0.3000355802853148,7730.533333333334,21.820450579492242,12659.199999999999,371.5052931751348,8.2,0.26186146828319085,4.6,0.13093073414159542,4.6,0.13093073414159542,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.862340183,4.642510177227358E-8,8000.0,0.9708003201280512,0.6752125735024042,0.926,0.8515844364219817,0.9559057134511582,1.0408163265306123,0.9227223670349878,0.9862745098039216,0.8485158648925283,8000.0,310224.0,15.0,0.5549789445200313,0.4450210554799689,8840.133333333331,24.265960219962963,14139.733333333334,355.5610920203871,9.533333333333333,0.23637473611411158,5.266666666666667,0.11818736805705579,5.266666666666667,0.11818736805705579,3.6666666666666665,0.1259881576697424,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.940046646,5.307926210356255E-8,9000.0,0.9714795722336066,0.6895396342114668,0.917,0.8345163091155595,0.9708003201280512,0.953125,0.9157308623690051,0.9938524590163934,0.8296853625170999,9000.0,331008.0,15.0,0.6260673074536746,0.3739326925463256,9970.333333333334,24.963338197610064,15513.6,442.01388472050775,10.333333333333332,0.3187276291558383,5.666666666666666,0.15936381457791915,5.666666666666666,0.15936381457791915,4.066666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.021714214,6.054570584836105E-8,10000.0,0.9674794796716747,0.6815704209176778,0.916,0.8320886571890043,0.9714795722336066,0.9920318725099602,0.9137687670158973,0.9839357429718876,0.8279746057751383,10000.0,353400.0,15.0,0.3330478276053257,0.6669521723946743,11108.400000000001,27.815343487602895,16991.999999999996,460.47925344921117,11.799999999999999,0.3804758924845368,6.3999999999999995,0.1902379462422684,6.3999999999999995,0.1902379462422684,4.733333333333333,0.11818736805705574,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.100045823,6.830828454467778E-8,11000.0,0.9738542455305461,0.7231395092813097,0.94,0.8792751681093283,0.9674794796716747,1.079002079002079,0.9355532455503937,1.0,0.8766816143497757,11000.0,383064.0,15.0,0.5289123330746093,0.4710876669253908,12217.666666666666,26.398893675712767,18953.600000000002,426.8355856097955,12.866666666666667,0.3065424178939252,6.933333333333334,0.1532712089469626,6.933333333333334,0.1532712089469626,5.199999999999999,0.10690449676496978,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.167471833,7.502529544536644E-8,12000.0,0.9735521915155783,0.7238118014073858,0.925,0.8497150597532923,0.9738542455305461,1.0242914979757085,0.9211526405514756,0.9980237154150198,0.845652546732979,12000.0,385080.0,15.0,0.3222818731566226,0.6777181268433775,13309.933333333334,20.882087714153162,19088.0,433.0315725869683,12.866666666666667,0.3065424178939252,6.933333333333334,0.1532712089469626,6.933333333333334,0.1532712089469626,5.199999999999999,0.10690449676496978,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.256118055,8.436483255131168E-8,13000.0,0.9680979334158525,0.7206816507696068,0.937,0.8744199397215712,0.9735521915155783,0.9267822736030829,0.9373434358670283,1.0,0.8698553948832036,13000.0,407256.0,15.0,0.705644551116799,0.294355448883201,14407.666666666668,19.095416220520555,20553.600000000002,471.8128442507685,13.933333333333332,0.33046383948376135,7.466666666666666,0.16523191974188067,7.466666666666666,0.16523191974188067,5.733333333333333,0.11818736805705575,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.31820572,9.119072098235287E-8,14000.0,0.9741110679984479,0.7036803259129589,0.925,0.8498630751245136,0.9680979334158525,1.012072434607646,0.9216369018896983,0.9980119284294234,0.8452696728558798,14000.0,424968.0,15.0,0.3047884382356599,0.69521156176434,15513.266666666666,21.33596709932532,21724.8,453.5444662402385,14.733333333333334,0.3304638394837613,7.866666666666667,0.16523191974188065,7.866666666666667,0.16523191974188065,6.133333333333333,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.382599078,9.846160356270768E-8,15000.0,0.9759904251846658,0.7211770970680342,0.923,0.8467381092657761,0.9741110679984479,0.8416206261510129,0.9263099582897524,0.9934354485776805,0.84055770292656,15000.0,436464.0,15.0,0.550414008020441,0.44958599197955895,16623.533333333336,23.683401192892287,22484.266666666666,517.9687016345831,15.399999999999999,0.4,8.2,0.20000000000000004,8.2,0.20000000000000004,6.466666666666666,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.44946781,1.0653884740899004E-7,16000.0,0.980772925204918,0.7280540075111688,0.933,0.8663400309612348,0.9759904251846658,0.953125,0.9323672676707234,0.9979508196721312,0.8613554061045009,16000.0,466920.0,15.0,0.7760389498012836,0.22396105019871615,17741.199999999997,18.82303553273664,24497.066666666662,469.3380086347221,16.866666666666667,0.3634054100635983,8.933333333333334,0.18170270503179914,8.933333333333334,0.18170270503179914,7.133333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.510806716,1.1415099140501269E-7,17000.0,0.9674339853741128,0.7126502621329127,0.927,0.8533747901050078,0.980772925204918,1.053388090349076,0.9224311325705409,0.9961013645224172,0.8490818436093884,17000.0,479704.0,15.0,0.36754390921345076,0.6324560907865493,18861.2,20.6905085209896,25343.466666666667,564.5650484826828,17.266666666666666,0.38379888913542637,9.133333333333333,0.19189944456771318,9.133333333333333,0.19189944456771318,7.266666666666667,0.11818736805705576,0.0,0.0,0.0,0.0,1.0,0.0
