learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.185175265,1.410322419471211E-10,1000.0,0.685906362545018,0.18147531418931984,0.621,0.24233337331574106,0.0,0.9607843137254902,0.6211234319578443,0.6346938775510204,0.1970338983050847,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.232318248,1.769370404879252E-10,2000.0,0.6763976050204918,0.1719419557908119,0.607,0.213962270188969,0.685906362545018,1.0491803278688525,0.6070356262501281,0.60546875,0.19877675840978598,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.267354895,2.0362147308058208E-10,3000.0,0.6800461333301296,0.1797949056216696,0.614,0.22868184524880011,0.6763976050204918,1.0703933747412009,0.6143421629963058,0.597678916827853,0.2090163934426229,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.322716285,2.8772044020394485E-10,4000.0,0.7020208083233294,0.2079488895959749,0.651,0.30180450526147323,0.6800461333301296,1.0408163265306123,0.6509081905991317,0.6549019607843137,0.2866632600919775,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.365879989,3.859854738331503E-10,5000.0,0.677954055388915,0.2093173922945912,0.633,0.2579022291242033,0.7020208083233294,0.8832391713747646,0.6229121504186631,0.5479744136460555,0.24856674856674849,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.399178333,4.617913614130682E-10,6000.0,0.6928653735356252,0.23389321245170633,0.646,0.2889510219822599,0.677954055388915,0.968503937007874,0.6302806493510794,0.5121951219512195,0.2735978112175102,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.42136986,5.123118437826633E-10,7000.0,0.686264,0.23229576156503817,0.665,0.33000000000000007,0.6928653735356252,1.0,0.6452162428209631,0.504,0.314327485380117,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.445167517,5.664887875732448E-10,8000.0,0.6925783260422028,0.24288256599226646,0.678,0.3408123157549952,0.686264,0.8656716417910447,0.6507405269398516,0.5193965517241379,0.33659541591552933,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.470459556,6.240677910546462E-10,9000.0,0.7157162525614754,0.2496233535120293,0.67,0.3435291870902032,0.6925783260422028,1.0491803278688525,0.6626861641081772,0.556640625,0.32160804020100514,9000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.499614134,7.125240048352215E-10,10000.0,0.682680576500754,0.2098504747113549,0.658,0.31712265036280357,0.7157162525614754,1.012072434607646,0.6442227416242535,0.5208747514910537,0.2983176036109973,10000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
11000.0,0.524789023,7.88905675092505E-10,11000.0,0.7111895161290323,0.273436067228039,0.695,0.39203304150919316,0.682680576500754,1.0161290322580645,0.6640995601613147,0.4861111111111111,0.37511640901471405,11000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
12000.0,0.556024213,9.073344502639439E-10,12000.0,0.7487076691633058,0.3152390460491572,0.671,0.34587243518371247,0.7111895161290323,1.032520325203252,0.647316977170263,0.4862204724409449,0.32662459491727797,12000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.58025012,1.0175379407240284E-9,13000.0,0.7172228891556622,0.2752573920570106,0.675,0.3544670877527511,0.7487076691633058,1.0408163265306123,0.6551547077419428,0.5019607843137255,0.3345408725783589,13000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
14000.0,0.594791217,1.083685294650495E-9,14000.0,0.7346160617117983,0.2656272097849593,0.703,0.4018464215512518,0.7172228891556622,0.968503937007874,0.6661062877515608,0.48577235772357724,0.392992700729927,14000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
15000.0,0.609556609,1.1508529650461342E-9,15000.0,0.7142519933907046,0.2599575565522233,0.672,0.33965492943568687,0.7346160617117983,0.9723865877712031,0.6269745186378919,0.43610547667342797,0.32997412501702317,15000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
16000.0,0.623805165,1.2156695519015193E-9,16000.0,0.7204511738906089,0.2682435362716705,0.714,0.4038686009671501,0.7142519933907046,0.8382352941176471,0.6619008574537725,0.4824561403508772,0.4132581100141043,16000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
17000.0,0.638051145,1.2804744205499689E-9,17000.0,0.6942964349718382,0.23089993969674927,0.656,0.3146318138348742,0.7204511738906089,1.0161290322580645,0.6120980137973197,0.4166666666666667,0.29601540869146514,17000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
18000.0,0.6524127,1.3458050391077994E-9,18000.0,0.6882726817042607,0.25319303474004,0.699,0.3826907301066447,0.6942964349718382,0.9047619047619048,0.6442901321889776,0.44842105263157894,0.3832669322709163,18000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
19000.0,0.670197449,1.438890999946743E-9,19000.0,0.6734133653461385,0.23683044236587836,0.666,0.3385614702154626,0.6882726817042607,1.0408163265306123,0.6221469494666773,0.4196078431372549,0.3140942498919154,19000.0,20232.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
20000.0,0.690441219,1.5769822667642597E-9,20000.0,0.750235158967462,0.3073312158678697,0.697,0.3998669011741217,0.6734133653461385,1.053388090349076,0.6749014094909509,0.5087719298245614,0.37775952356504766,20000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
21000.0,0.705479257,1.6795630468200475E-9,21000.0,0.7114816133380801,0.27347388682437124,0.678,0.3542720319575185,0.750235158967462,0.9880715705765407,0.6392360365448548,0.45472837022132795,0.339777387229057,21000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
22000.0,0.720279282,1.780520240128454E-9,22000.0,0.7262826174227218,0.2706597139812684,0.675,0.3676796762519943,0.7114816133380801,1.127659574468085,0.6449133956092169,0.44528301886792454,0.3320878094348436,22000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
23000.0,0.735001005,1.8809433025721873E-9,23000.0,0.7009733907845938,0.24048548182519833,0.683,0.3616387157057015,0.7262826174227218,0.9723865877712031,0.635269312301038,0.4381338742393509,0.34954054777411014,23000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
24000.0,0.7499381,1.982835507982721E-9,24000.0,0.7016249039938556,0.23796694549095143,0.669,0.33541609778820053,0.7009733907845938,0.9841269841269841,0.6217529581042767,0.4254032258064516,0.32056106739651047,24000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
25000.0,0.764516011,2.082277568307602E-9,25000.0,0.6981723027375202,0.2367305838541513,0.66,0.3447425223558433,0.7016249039938556,1.173913043478261,0.6322518098405878,0.42962962962962964,0.30075682790391584,25000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
26000.0,0.778956482,2.1807820926047864E-9,26000.0,0.7080126772417736,0.25275410924300407,0.661,0.34746956782851735,0.6981723027375202,1.1786492374727668,0.6330932209760437,0.4288354898336414,0.3013079667063021,26000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
27000.0,0.79356471,2.2804309579336812E-9,27000.0,0.7318034334729607,0.25304577781313076,0.699,0.39368790840457324,0.7080126772417736,0.9723865877712031,0.6485078490167457,0.44421906693711966,0.3800915331807779,27000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
28000.0,0.810633755,2.4097954773964985E-9,28000.0,0.7400806764968615,0.27319555068360557,0.676,0.36241808843497264,0.7318034334729607,1.079002079002079,0.6474297449581724,0.4624277456647399,0.3325976605605827,28000.0,29296.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
29000.0,0.824638238,2.515933999711027E-9,29000.0,0.7330567164657091,0.26233296402583256,0.693,0.3776707452544859,0.7400806764968615,0.9455252918287937,0.6454196992695163,0.45267489711934156,0.3689396087326339,29000.0,29296.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
