learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.185175829,1.4103267149792775E-10,1000.0,0.9794932617574232,0.7857121374432972,0.956,0.9120179483385389,0.0,0.9880715705765407,0.9559146906624302,0.9758551307847082,0.9094650205761317,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.217469343,1.6562789311011632E-10,2000.0,0.9930092036814726,0.8107086928420313,0.974,0.947937525030036,0.9794932617574232,1.0408163265306123,0.9733729922248702,0.9941176470588236,0.9467213114754098,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.255585119,2.2068936351272794E-10,3000.0,0.9866971486175116,0.7783434059848141,0.952,0.9040460578922117,0.9930092036814726,0.9841269841269841,0.9516753458515618,0.9858870967741935,0.9019073569482288,3000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4000.0,0.27956961,2.553369944915175E-10,4000.0,0.9915273239797553,0.8099859135112664,0.966,0.9318079712470315,0.9866971486175116,1.0661157024793388,0.9646288618184916,0.9941860465116279,0.9306829765545361,4000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.307845784,3.1549610086199307E-10,5000.0,0.9830596632737981,0.8089151446815224,0.963,0.9259122801396853,0.9915273239797553,1.032520325203252,0.9620711765367846,0.9921259842519685,0.9243972210870453,5000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.325675302,3.534293753529588E-10,6000.0,0.9947647985051487,0.8349615278682092,0.976,0.9518658018555733,0.9830596632737981,0.8484288354898336,0.9775672396046443,1.0,0.9505833905284832,6000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.34922567,4.1961826324048966E-10,7000.0,0.9847216718501707,0.7899110962228761,0.947,0.8941760909846016,0.9947647985051487,0.949317738791423,0.9471295628267209,0.9917864476386037,0.8905927455028014,7000.0,10864.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
8000.0,0.365166206,4.6441953132136E-10,8000.0,0.9912660958808154,0.8236400520513263,0.958,0.9157678562117194,0.9847216718501707,1.053388090349076,0.9560470079948429,0.9980506822612085,0.913691240688415,8000.0,10864.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
9000.0,0.380708525,5.08101600739691E-10,9000.0,0.9880092082874588,0.8309644018190778,0.962,0.924086541342869,0.9912660958808154,0.941747572815534,0.9624248726378204,0.9958762886597938,0.9220246238030095,9000.0,10864.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.407490642,6.016647780438264E-10,10000.0,0.9833687572799212,0.8425982735749945,0.955,0.9101215157107589,0.9880092082874588,0.949317738791423,0.9552344380486838,0.9938398357289527,0.9076544223271085,10000.0,13504.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
11000.0,0.423065801,6.572369494620296E-10,11000.0,0.9922135238163955,0.8560635481787886,0.971,0.941764261731489,0.9833687572799212,1.0964360587002095,0.969712206363759,0.9923518164435946,0.9403738317757009,11000.0,13792.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
12000.0,0.436965287,7.068303191744619E-10,12000.0,0.9918219064080405,0.8527822334451085,0.965,0.930060427790389,0.9922135238163955,0.968503937007874,0.9649364550086832,1.0,0.9280698749785922,12000.0,13792.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
13000.0,0.45645489,7.896800397957364E-10,13000.0,0.9881795744646807,0.849090034604847,0.957,0.9140371359572664,0.9918219064080405,0.9880715705765407,0.9564480814689167,0.9959758551307847,0.9116345241858994,13000.0,16432.0,11.0,6.0,6.0,5.0,0.0,0.0,1.0
14000.0,0.47024906,8.483186447330647E-10,14000.0,0.9944973367109681,0.861061891410367,0.97,0.9400448464548518,0.9881795744646807,0.9569471624266145,0.9702162638740724,0.9979550102249489,0.9383712399119588,14000.0,16432.0,11.0,6.0,6.0,5.0,0.0,0.0,1.0
