learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.185275229,1.4110837601953083E-10,1000.0,0.8869610598153352,0.4125184261448734,0.805,0.6094845195658269,0.0,0.8867924528301887,0.8054062610155318,0.8127659574468085,0.5815450643776825,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.23086395,1.758294254541397E-10,2000.0,0.9026642628205128,0.40378797612311934,0.808,0.6156925540432348,0.8869610598153352,1.0833333333333333,0.8080896077184536,0.8057692307692308,0.6085626911314986,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.257667549,1.9624344597260158E-10,3000.0,0.9212841284128412,0.4347561932856101,0.847,0.6941345807844548,0.9026642628205128,0.9801980198019802,0.8468717253350221,0.8727272727272727,0.6881793478260869,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.322603604,3.392365669045184E-10,4000.0,0.8842553310706968,0.4480579764611621,0.819,0.6381910351334494,0.9212841284128412,0.953125,0.8192353632689009,0.8381147540983607,0.6306122448979591,4000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.352733577,4.0558458993832276E-10,5000.0,0.9052171614412279,0.47092331910656093,0.83,0.6580797760221403,0.8842553310706968,1.0746887966804979,0.8249642498639352,0.8938223938223938,0.6539087947882735,5000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.380037676,4.657098674939739E-10,6000.0,0.919180637619894,0.48956925724247147,0.861,0.7228845525083932,0.9052171614412279,0.9455252918287937,0.8602628673408643,0.9300411522633745,0.7155525238744884,6000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.399223667,5.079585801892811E-10,7000.0,0.9145912598869378,0.46848307389610566,0.854,0.7074511784106985,0.919180637619894,1.028397565922921,0.8508712596230341,0.9151873767258383,0.7009947337624342,7000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.427760073,6.097764843205612E-10,8000.0,0.8732313231323132,0.43099084836159673,0.812,0.623163422798613,0.9145912598869378,1.02020202020202,0.8037117613047142,0.9188118811881189,0.6156401737797088,8000.0,13792.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
9000.0,0.444163703,6.683046404851809E-10,9000.0,0.9137804038366079,0.4940477405508706,0.834,0.6692963582755598,0.8732313231323132,0.9455252918287937,0.8324441622199292,0.9156378600823045,0.6613012922239855,9000.0,13792.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
10000.0,0.460267055,7.257614046666358E-10,10000.0,0.9248271889400922,0.49705392705326557,0.848,0.695659138234823,0.9137804038366079,1.0161290322580645,0.8447920898749037,0.9146825396825397,0.6900489396411092,10000.0,13792.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
11000.0,0.475937327,7.816729392939144E-10,11000.0,0.9281348501576026,0.5074511741508014,0.846,0.6917879501096754,0.9248271889400922,1.0080321285140563,0.8414174515264369,0.9302788844621513,0.6864124398370973,11000.0,13792.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
12000.0,0.495783296,8.66037561144266E-10,12000.0,0.9104081632653062,0.48157112605861857,0.846,0.6931292842340186,0.9281348501576026,0.9607843137254902,0.8421850807774462,0.9469387755102041,0.6854468085106382,12000.0,16432.0,11.0,6.0,6.0,5.0,0.0,0.0,1.0
13000.0,0.514220331,9.57004786344866E-10,13000.0,0.9228447655162483,0.5129349217194217,0.856,0.712267016208958,0.9104081632653062,0.9920318725099602,0.8483817042017445,0.9738955823293173,0.705937794533459,13000.0,19072.0,13.0,7.0,7.0,6.0,0.0,0.0,1.0
14000.0,0.528894856,1.031594687431223E-9,14000.0,0.9166730277086991,0.5203236849006088,0.856,0.7069322728623354,0.9228447655162483,1.1413276231263383,0.8419786759552556,0.9568480300187617,0.7047451669595782,14000.0,19648.0,13.0,7.0,7.0,6.0,0.0,0.0,1.0
15000.0,0.543406611,1.1053572364772362E-9,15000.0,0.913855150697256,0.5206763834316014,0.843,0.6803954139795453,0.9166730277086991,1.1367521367521367,0.827582819451454,0.9511278195488722,0.677220394736842,15000.0,19648.0,13.0,7.0,7.0,6.0,0.0,0.0,1.0
16000.0,0.55750654,1.1770264938763448E-9,16000.0,0.9320516513056836,0.5436939953516884,0.86,0.7204472843450479,0.913855150697256,0.9841269841269841,0.8546524133048735,0.9637096774193549,0.7130780069168695,16000.0,19648.0,13.0,7.0,7.0,6.0,0.0,0.0,1.0
17000.0,0.578421554,1.31346343834781E-9,17000.0,0.908854,0.5353902759588289,0.833,0.6659999999999999,0.9320516513056836,1.0,0.8258377564630961,0.942,0.6587330207957686,17000.0,25216.0,17.0,9.0,9.0,8.0,0.0,0.0,1.0
18000.0,0.59315045,1.4095458777704176E-9,18000.0,0.9154894612082772,0.5474052256843166,0.848,0.6977794744544124,0.908854,0.937984496124031,0.8450202344425465,0.9545454545454546,0.6890202318708797,18000.0,25216.0,17.0,9.0,9.0,8.0,0.0,0.0,1.0
