learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.17923848,1.3651069800059002E-10,1000.0,0.5728326612903226,0.011136866312033224,0.992,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.216607244,1.649713056617313E-10,2000.0,0.6128643216080402,0.0026765319628411464,0.995,0.0,0.5728326612903226,0.005025125628140704,0.0,0.0,0.2307692307692242,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.238048015,1.813009164399571E-10,3000.0,0.9065326633165829,0.014712774606991963,0.995,0.0,0.6128643216080402,0.005025125628140704,0.0,0.0,0.16666666666666666,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.269355458,2.2659196658473876E-10,4000.0,0.7062293195223709,0.011193544190152336,0.993,0.0,0.9065326633165829,0.007049345417925478,0.0,0.0,-0.12000000000000498,4000.0,5592.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.290353522,2.5848992821450035E-10,5000.0,0.7341667432668444,0.014433512918912846,0.989,0.0,0.7062293195223709,0.011122345803842264,0.0,0.0,-0.5277777777777825,5000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.318633482,3.2287113193215594E-10,6000.0,0.28613065326633164,5.923196411130113E-7,0.995,0.0,0.7341667432668444,0.005025125628140704,0.0,0.0,0.2682926829268312,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.337348619,3.6547738200467493E-10,7000.0,0.8209794207317073,0.023407328166919962,0.984,0.0,0.28613065326633164,0.016260162601626018,0.0,0.0,-0.964912280701762,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.355470099,4.067321325610909E-10,8000.0,0.7636180904522613,0.06257159109038643,0.995,0.0,0.8209794207317073,0.005025125628140704,0.0,0.0,0.35483870967742165,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.372481684,4.454601335711777E-10,9000.0,0.9610635080645161,0.06977785100380818,0.992,0.0,0.7636180904522613,0.008064516129032258,0.0,0.0,-0.0285714285714302,9000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.395173794,5.109745239280164E-10,10000.0,0.8174874371859296,0.028030034807804798,0.995,0.0,0.9610635080645161,0.005025125628140704,0.0,0.0,0.3333333333333284,10000.0,11160.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.415994506,5.884084483546515E-10,11000.0,0.5909855364951228,0.018702989915071452,0.991,0.0,0.8174874371859296,0.009081735620585268,0.0,0.0,-0.17857142857142547,11000.0,14376.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
12000.0,0.431207423,6.460884921480384E-10,12000.0,0.7405538737526629,0.028758082965303543,0.991,0.0,0.5909855364951228,0.009081735620585268,0.0,0.0,-0.161290322580641,12000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.446401802,7.036982487866448E-10,13000.0,0.8070594723779759,0.019335322481752355,0.989,0.0,0.7405538737526629,0.011122345803842264,0.0,0.0,-0.375,13000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
14000.0,0.465173922,7.863340853382316E-10,14000.0,0.8858616436820271,0.02631510130145302,0.991,0.0,0.8070594723779759,0.009081735620585268,0.0,0.0,-0.11504424778760514,14000.0,17016.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
15000.0,0.479547723,8.496082957130339E-10,15000.0,0.835575737190268,0.027127437499784357,0.991,0.0,0.8858616436820271,0.009081735620585268,0.0,0.0,-0.10655737704918235,15000.0,17016.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
16000.0,0.494368936,9.148520366950995E-10,16000.0,0.890133514369767,0.021903439136329698,0.981,-0.0018983336848726433,0.835575737190268,0.018329938900203666,0.0,0.0,-1.1714285714285646,16000.0,17016.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
17000.0,0.508930971,9.800096812906365E-10,17000.0,0.811974436596031,0.023774743018954617,0.991,0.0,0.890133514369767,0.009081735620585268,0.0,0.0,-0.026845637583898737,17000.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
18000.0,0.523353147,1.0445415285291771E-9,18000.0,0.8185644143090952,0.01719095270365092,0.987,0.0,0.811974436596031,0.013171225937183385,0.0,0.0,-0.4444444444444444,18000.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
19000.0,0.541515098,1.1382110181595717E-9,19000.0,0.7231314784506274,0.025822110194041344,0.987,0.0,0.8185644143090952,0.013171225937183385,0.0,0.0,-0.4114285714285768,19000.0,19936.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
20000.0,0.556254546,1.2153272686215738E-9,20000.0,0.8172253024193549,0.04575849074485073,0.992,0.0,0.7231314784506274,0.008064516129032258,0.0,0.0,0.12568306010928804,20000.0,20224.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
21000.0,0.571066055,1.2928205395883155E-9,21000.0,0.8950271164629102,0.030668854153096163,0.989,0.0,0.8172253024193549,0.011122345803842264,0.0,0.0,-0.19072164948453335,21000.0,20224.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
22000.0,0.591313056,1.4234750573937264E-9,22000.0,0.8748733535967579,0.03400719452638676,0.987,0.0,0.8950271164629102,0.013171225937183385,0.0,0.0,-0.38164251207729394,22000.0,24944.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
23000.0,0.606535889,1.5228111493380533E-9,23000.0,0.7547568710359408,0.04567818618637127,0.989,0.0,0.8748733535967579,0.011122345803842264,0.0,0.0,-0.160550458715591,23000.0,25224.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
24000.0,0.624140659,1.6497140199856625E-9,24000.0,0.8403969054826774,0.056046239084361724,0.991,0.0,0.7547568710359408,0.009081735620585268,0.0,0.0,0.04845814977973615,24000.0,27864.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
25000.0,0.639325693,1.7591743767799601E-9,25000.0,0.9427420515033809,0.04356348567580609,0.993,0.0,0.8403969054826774,0.007049345417925478,0.0,0.0,0.25213675213675424,25000.0,27864.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
26000.0,0.654351134,1.8685727033846906E-9,26000.0,0.7579284750337382,0.0412093420146567,0.988,0.0,0.9427420515033809,0.012145748987854251,0.0,0.0,-0.2682926829268373,26000.0,28144.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
27000.0,0.669709762,1.9803969221976065E-9,27000.0,0.9481275303643725,0.08508047574632578,0.988,0.0,0.7579284750337382,0.012145748987854251,0.0,0.0,-0.2558139534883753,27000.0,28144.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
28000.0,0.68739481,2.1212378646598918E-9,28000.0,0.7812535037560264,0.04680481595775353,0.991,0.0,0.9481275303643725,0.009081735620585268,0.0,0.0,0.05617977528090084,28000.0,30784.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
29000.0,0.702598331,2.2434490667366314E-9,29000.0,0.7651898152403713,0.031865993440314204,0.989,0.0,0.7812535037560264,0.011122345803842264,0.0,0.0,-0.14748201438848554,29000.0,31072.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
30000.0,0.720426216,2.3989317301784946E-9,30000.0,0.7942825627355455,0.037319419294782476,0.989,0.0,0.7651898152403713,0.011122345803842264,0.0,0.0,-0.14186851211072182,30000.0,33712.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
31000.0,0.736090831,2.5355478269275684E-9,31000.0,0.8140703517587939,0.06333455302399814,0.995,0.0,0.7942825627355455,0.005025125628140704,0.0,0.0,0.4727891156462587,31000.0,33712.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
32000.0,0.751570623,2.6717053578048935E-9,32000.0,0.8994852468057726,0.07422405766384843,0.989,0.0,0.8140703517587939,0.011122345803842264,0.0,0.0,-0.1540983606557398,32000.0,34000.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
33000.0,0.766643205,2.8042811410625766E-9,33000.0,0.8245576176089772,0.04617273274124339,0.993,0.0,0.8994852468057726,0.007049345417925478,0.0,0.0,0.25961538461538697,33000.0,34000.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
34000.0,0.781439643,2.934428010210394E-9,34000.0,0.914654594232059,0.04216540108740284,0.994,0.0,0.8245576176089772,0.006036217303822937,0.0,0.0,0.3584905660377336,34000.0,34000.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
35000.0,0.798928208,3.0989317135699086E-9,35000.0,0.8980604835003217,0.03546512046928567,0.989,0.0,0.914654594232059,0.011122345803842264,0.0,0.0,-0.17021276595745233,35000.0,36360.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
36000.0,0.814128278,3.2441425424503775E-9,36000.0,0.7734393266308159,0.039504903721253,0.987,0.0,0.8980604835003217,0.013171225937183385,0.0,0.0,-0.3684210526315869,36000.0,36928.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
37000.0,0.829213494,3.388256136611517E-9,37000.0,0.8341414141414142,0.03925488627342278,0.99,0.0,0.7734393266308159,0.010101010101010102,0.0,0.0,-0.05113636363636795,37000.0,36928.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
38000.0,0.844359107,3.5329467214333503E-9,38000.0,0.8347979797979798,0.03563808810220764,0.99,0.0,0.8341414141414142,0.010101010101010102,0.0,0.0,-0.04972375690607477,38000.0,36928.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
39000.0,0.859617914,3.678718682496497E-9,39000.0,0.8301769152832983,0.0680900786588163,0.987,0.0,0.8347979797979798,0.013171225937183385,0.0,0.0,-0.35200000000000603,39000.0,36928.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
40000.0,0.874690783,3.823837338315529E-9,40000.0,0.7774544534412956,0.035483082388985766,0.988,0.0,0.8301769152832983,0.012145748987854251,0.0,0.0,-0.24031007751938233,40000.0,37216.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
41000.0,0.889816665,3.969466393004274E-9,41000.0,0.8983069850880143,0.04446059909935483,0.991,0.0,0.7774544534412956,0.009081735620585268,0.0,0.0,0.06818181818181818,41000.0,37216.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
42000.0,0.907437965,4.151155664914597E-9,42000.0,0.7297116029510395,0.03483715815716857,0.994,0.0,0.8983069850880143,0.006036217303822937,0.0,0.0,0.3731343283582079,42000.0,39856.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
43000.0,0.922952142,4.311118864191488E-9,43000.0,0.84765625,0.022568714260713375,0.991,-0.0017809439002689242,0.7297116029510395,0.008064516129032258,0.0,0.0,0.056097560975611034,43000.0,39856.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
44000.0,0.938655847,4.474206261363708E-9,44000.0,0.8183196985017005,0.0267598439485346,0.989,0.0,0.84765625,0.011122345803842264,0.0,0.0,-0.14964370546317834,44000.0,40144.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
45000.0,0.953836591,4.631862561332268E-9,45000.0,0.8478787878787879,0.023058621890930966,0.99,0.0,0.8183196985017005,0.010101010101010102,0.0,0.0,-0.04408352668213349,45000.0,40144.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
46000.0,0.968798224,4.78724333188393E-9,46000.0,0.8532034194319331,0.026784000085280757,0.989,0.0,0.8478787878787879,0.011122345803842264,0.0,0.0,-0.14479638009049717,46000.0,40144.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
