learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.180888088,1.3776706404156155E-10,1000.0,0.7741947926711669,0.11346562314306559,0.916,0.0213212163579168,0.0,0.09289617486338798,0.10846522890932808,0.011764705882352941,0.011764705882352957,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.211442969,1.610381168458197E-10,2000.0,0.8291123211346081,0.11826319697487268,0.894,0.0,0.7741947926711669,0.1185682326621924,0.0,0.0,-0.10994764397905707,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.234385522,1.78511507180002E-10,3000.0,0.8459545680800036,0.1369723802000771,0.902,0.0,0.8291123211346081,0.10864745011086474,0.0,0.0,-0.017301038062282975,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.270838008,2.33886135990421E-10,4000.0,0.8587666666666667,0.21182206332412107,0.905,0.13949275362318905,0.8459545680800036,0.1111111111111111,0.29933259094191533,0.09,0.023136246786632137,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.303967627,3.0930790992246736E-10,5000.0,0.7838311209439528,0.18018767246917017,0.905,0.06547572204296842,0.8587666666666667,0.10619469026548672,0.20378516219387388,0.041666666666666664,0.02061855670103095,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.325518019,3.5836880596147646E-10,6000.0,0.8117265230114392,0.16463613319781822,0.896,0.016920313829284047,0.7838311209439528,0.11731843575418995,0.09759000729485333,0.009523809523809525,-0.05762711864406707,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.344889268,4.0246873849795925E-10,7000.0,0.8884732947232947,0.22249163830888993,0.89,0.031280822882908274,0.8117265230114392,0.12612612612612611,0.1336306209562122,0.017857142857142856,-0.09686609686609646,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.363039879,4.437898077070713E-10,8000.0,0.8436268939393939,0.20867484584642587,0.883,0.054927302100160925,0.8884732947232947,0.13636363636363635,0.18247042101517316,0.03333333333333333,-0.13868613138686114,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.387658301,5.184831337216828E-10,9000.0,0.8091323096763793,0.1966998375660061,0.921,0.0634484066767833,0.8436268939393939,0.088139281828074,0.1923453549794081,0.037037037037037035,0.21262458471760878,9000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.409570986,5.849671400710941E-10,10000.0,0.845129699986899,0.19664592069820702,0.899,0.06109396497229783,0.8091323096763793,0.11358574610244988,0.1976984476083033,0.0392156862745098,-0.004975124378108903,10000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
11000.0,0.433263822,6.730336928491792E-10,11000.0,0.7974179322118291,0.2068807975933169,0.907,0.03382646276595671,0.845129699986899,0.10253583241455347,0.1464853420928804,0.021505376344086023,0.06830601092896192,11000.0,14368.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
12000.0,0.448586824,7.299894732526608E-10,12000.0,0.8345454545454546,0.20116654577507873,0.893,0.08562638865151193,0.7974179322118291,0.12359550561797752,0.2331557279217413,0.05454545454545454,-0.0629139072847679,12000.0,14368.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
13000.0,0.463874536,7.879531036110389E-10,13000.0,0.8424026705276705,0.22400802324030622,0.899,0.16207606026415347,0.8345454545454546,0.12612612612612611,0.31339158526400435,0.09821428571428571,0.005303030303030895,13000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
14000.0,0.484005928,8.766141893756059E-10,14000.0,0.8876760962344676,0.24668840961091634,0.92,0.16741252627854258,0.8424026705276705,0.09529025191675794,0.3212812849915325,0.10344827586206896,0.20398009950248822,14000.0,17024.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
15000.0,0.498531396,9.416382773758637E-10,15000.0,0.8449579634587384,0.22593555155984485,0.913,0.12724208498856318,0.8876760962344676,0.10375275938189846,0.27288841145490766,0.07446808510638298,0.13057961359093945,15000.0,17304.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
16000.0,0.513052828,1.006644297991362E-9,16000.0,0.8406777777777777,0.2021469828279307,0.905,0.10037878787878741,0.8449579634587384,0.1111111111111111,0.2448128536930472,0.06,0.050593379138039504,16000.0,17304.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
17000.0,0.532116005,1.1050407288968563E-9,17000.0,0.8061450385609407,0.19787886848357594,0.891,0.07926746857683517,0.8406777777777777,0.122334455667789,0.23382727020146984,0.05504587155963303,-0.08362573099415192,17000.0,19952.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
18000.0,0.550008836,1.2109126592613757E-9,18000.0,0.7519431692660039,0.1329485343983943,0.891,0.03159316251465845,0.8061450385609407,0.12485939257592801,0.13423121104280486,0.018018018018018018,-0.0774299835255357,18000.0,22872.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
19000.0,0.564555766,1.29698688418294E-9,19000.0,0.8690096170411131,0.2403949679154473,0.897,0.14406328945618949,0.7519431692660039,0.12485939257592801,0.2998122958153291,0.09009009009009009,-0.012939958592131996,19000.0,22872.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
20000.0,0.579301959,1.3853083070139917E-9,20000.0,0.8624251047807107,0.26674069349113355,0.902,0.2960478112833484,0.8690096170411131,0.13250283125707815,0.45162668628283387,0.20512820512820512,0.04343582235236763,20000.0,23152.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
21000.0,0.59723494,1.5050016022680533E-9,21000.0,0.8046374627530226,0.25557853536085945,0.918,0.33655884399423963,0.8624251047807107,0.10741971207087486,0.4949309786534406,0.24742268041237114,0.19757688723205982,21000.0,25800.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
