learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15673812,5.703680970519781E-9,1000.0,0.6170999751040296,0.019211981088188577,0.908,0.01933613319973547,0.0,0.10253583241455347,0.10369516947304253,0.010752688172043012,0.010752688172043024,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.230676393,8.394285660069437E-9,2000.0,0.6457555555555555,0.007763145343304696,0.9,0.0,0.6170999751040296,0.1111111111111111,0.0,0.0,-0.03626943005181292,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.286718946,1.0433667292855682E-8,3000.0,0.6843035977812834,0.007136176123533386,0.914,0.0,0.6457555555555555,0.09409190371991247,0.0,0.0,0.07526881720430116,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.39659457,1.6353096390478316E-8,4000.0,0.6488156288156288,0.026273521029939163,0.91,0.0,0.6843035977812834,0.0989010989010989,0.0,0.0,0.024390243902439934,4000.0,208248.0,15.0,3983.5333333333333,15.59727285889813,7412.266666666666,377.06585842171074,4.199999999999999,0.2618614682831909,2.6,0.13093073414159537,2.6,0.13093073414159537,1.5999999999999999,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.473152359,2.09231093194522E-8,5000.0,0.7568252060439561,0.04551019495855946,0.896,0.0,0.6488156288156288,0.11607142857142858,0.0,0.0,-0.09936575052854082,5000.0,230744.0,15.0,4983.866666666667,16.370666759748385,8899.73333333333,328.44742228604747,5.133333333333335,0.23637473611411153,3.0666666666666673,0.11818736805705576,3.0666666666666673,0.11818736805705576,1.9333333333333331,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.53063705,2.4419775557952627E-8,6000.0,0.7681920326864147,0.04436269998931945,0.89,0.0,0.7568252060439561,0.12359550561797752,0.0,0.0,-0.13207547169811357,6000.0,235128.0,15.0,5980.666666666666,20.516350428880724,9190.400000000003,266.01276016655396,5.2666666666666675,0.1817027050317992,3.1333333333333337,0.0908513525158996,3.1333333333333337,0.0908513525158996,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.583901698,2.7659745941845083E-8,7000.0,0.7643718079673136,0.04773736226747133,0.89,0.0,0.7681920326864147,0.12359550561797752,0.0,0.0,-0.11111111111111123,7000.0,235128.0,15.0,6977.400000000001,20.572473518433963,9190.400000000003,266.01276016655396,5.2666666666666675,0.1817027050317992,3.1333333333333337,0.0908513525158996,3.1333333333333337,0.0908513525158996,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.635423247,3.079368748018518E-8,8000.0,0.7271962573746312,0.038066831544821336,0.904,0.0,0.7643718079673136,0.10619469026548672,0.0,0.0,0.026615969581748944,8000.0,235128.0,15.0,7989.533333333332,23.421168013382918,9190.400000000003,266.01276016655396,5.2666666666666675,0.1817027050317992,3.1333333333333337,0.0908513525158996,3.1333333333333337,0.0908513525158996,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.710450145,3.615412891315296E-8,9000.0,0.7876848863974273,0.05098364362544458,0.899,0.0,0.7271962573746312,0.11234705228031146,0.0,0.0,-0.021348314606741088,9000.0,276176.0,15.0,8997.666666666668,24.060175882400852,11904.533333333335,347.30590148505854,7.133333333333335,0.23637473611411153,4.066666666666666,0.11818736805705579,4.066666666666666,0.11818736805705579,2.9333333333333336,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.783696427,4.201569518291081E-8,10000.0,0.8118192918192918,0.06311978688916378,0.91,0.0,0.7876848863974273,0.0989010989010989,0.0,0.0,0.08163265306122458,10000.0,309336.0,15.0,10008.4,25.97284296007217,14096.0,380.880983785649,8.733333333333333,0.26666666666666666,4.866666666666666,0.13333333333333333,4.866666666666666,0.13333333333333333,3.6,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
