learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.212332338,7.726747747622432E-9,1000.0,0.8644080528846154,0.16934014970148978,0.896,0.0,0.0,0.11607142857142858,0.0,0.0,0.0,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.301575242,1.0974286082896095E-8,2000.0,0.9270055460937159,0.21105944823278916,0.903,0.08473296848461966,0.8644080528846154,0.11358574610244988,0.22140372138502382,0.049019607843137254,0.058252427184466084,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.365689303,1.3307388902225843E-8,3000.0,0.9265577627946966,0.226735770965366,0.904,0.03622199020159078,0.9270055460937159,0.10864745011086474,0.14285714285714285,0.02040816326530612,0.05263157894736917,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.471173479,1.8346653732278694E-8,4000.0,0.8924666666666666,0.17251257211553955,0.904,0.08396946564885427,0.9265577627946966,0.1111111111111111,0.2234825372248231,0.05,0.04950495049504956,4000.0,184664.0,15.0,3983.5333333333333,15.59727285889813,5853.333333333334,18.666666666666664,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.55620702,2.303474220127695E-8,5000.0,0.9232705342902712,0.21932669974122426,0.916,0.07991587802313327,0.8924666666666666,0.09649122807017543,0.21320071635561044,0.045454545454545456,0.1463414634146349,5000.0,213112.0,15.0,4983.866666666667,16.370666759748385,7731.733333333334,302.2696284014791,4.6,0.21380899352993948,2.8,0.10690449676496974,2.8,0.10690449676496974,1.7999999999999998,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.619384431,2.671071324251178E-8,6000.0,0.9347912813259348,0.1811661691227967,0.91,0.019800039207999477,0.9232705342902712,0.1001100110011001,0.10482848367219183,0.01098901098901099,0.0737564322469982,6000.0,224912.0,15.0,5980.666666666666,20.516350428880724,8512.533333333335,27.717944448397375,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.678597488,3.016043047805627E-8,7000.0,0.9482564679415073,0.22090104630969273,0.889,0.013824229716762256,0.9347912813259348,0.12485939257592801,0.09486240109024979,0.009009009009009009,-0.119596541786744,7000.0,225200.0,15.0,6977.400000000001,20.572473518433963,8531.733333333334,19.16928760547942,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.737445706,3.355661737068246E-8,8000.0,0.9437874319764084,0.2542213348466502,0.896,0.1413048863054648,0.9482564679415073,0.12485939257592801,0.29964324460605235,0.09009009009009009,-0.03354037267080763,8000.0,223080.0,15.0,7989.533333333332,23.421168013382918,8390.933333333332,143.48875737166128,5.133333333333334,0.1333333333333333,3.066666666666667,0.06666666666666665,3.066666666666667,0.06666666666666665,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.800168819,3.7373223320483745E-8,9000.0,0.9362532175032175,0.24411831909390577,0.894,0.10327558202490524,0.9437874319764084,0.12612612612612611,0.2498591945819027,0.0625,-0.04034896401308569,9000.0,235208.0,15.0,8997.666666666668,24.060175882400852,9194.133333333333,303.68752528853236,5.4,0.21380899352993948,3.2,0.10690449676496974,3.2,0.10690449676496974,2.066666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.897600779,4.505552279386876E-8,10000.0,0.9330777777777778,0.21698221866652717,0.903,0.05273437500000067,0.9362532175032175,0.1111111111111111,0.17320508075688773,0.03,0.046214355948869586,10000.0,304784.0,15.0,10008.4,25.97284296007217,13792.533333333335,254.25292743862576,8.733333333333333,0.18170270503179917,4.866666666666666,0.09085135251589958,4.866666666666666,0.09085135251589958,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.959525013,5.0051150829020055E-8,11000.0,0.939323094240781,0.2816321099980075,0.914,0.2813810852816819,0.9330777777777778,0.11482720178372352,0.4290159949756804,0.18446601941747573,0.1553571428571431,11000.0,311840.0,15.0,11014.466666666669,24.648745098293183,14259.733333333335,46.84884169596899,9.0,0.0,5.0,0.0,5.0,0.0,3.066666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.023761876,5.53781232000846E-8,12000.0,0.9150429685953032,0.25849037333943603,0.89,0.13992619002939832,0.939323094240781,0.12866817155756208,0.3094008436065976,0.09649122807017543,-0.06969205834683943,12000.0,320552.0,15.0,12011.333333333334,19.574440736805958,14837.333333333334,231.1203905341,9.266666666666666,0.18170270503179922,5.133333333333333,0.09085135251589961,5.133333333333333,0.09085135251589961,3.2,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.101907536,6.248651114782939E-8,13000.0,0.9088173263113754,0.21081600743346318,0.911,0.03562760055478459,0.9150429685953032,0.09769484083424808,0.14974169597266987,0.02247191011235955,0.12547241118669683,13000.0,351616.0,15.0,13006.666666666666,18.024234127224805,16890.666666666664,252.57671473316154,10.733333333333333,0.1817027050317992,5.866666666666666,0.0908513525158996,5.866666666666666,0.0908513525158996,3.933333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.167779535,6.851634573737779E-8,14000.0,0.9010482927077502,0.18586710680953075,0.914,0.0,0.9088173263113754,0.09409190371991247,0.0,0.0,0.14549325762952484,14000.0,353840.0,15.0,13999.133333333333,20.74743051599094,17038.400000000005,256.7372716741117,10.866666666666667,0.13333333333333333,5.933333333333334,0.06666666666666667,5.933333333333334,0.06666666666666667,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.228841235,7.419494541597862E-8,15000.0,0.9177001127395716,0.2082879159312251,0.887,0.0,0.9010482927077502,0.1273957158962796,0.0,0.0,-0.11366622864651721,15000.0,359480.0,15.0,14986.666666666666,23.599569541406524,17411.73333333333,67.30000117927308,11.0,0.0,6.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.282017412,7.917300533996065E-8,16000.0,0.9485270647350158,0.27271807580702795,0.899,0.1354220167779486,0.9177001127395716,0.122334455667789,0.28718659008040237,0.08256880733944955,0.009196811771919415,16000.0,361864.0,15.0,15983.066666666668,18.348859226683135,17569.06666666666,163.34571770347517,11.133333333333333,0.13333333333333333,6.066666666666666,0.06666666666666667,6.066666666666666,0.06666666666666667,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.353917047,8.653537570038601E-8,17000.0,0.954708886618999,0.3085823057560566,0.912,0.3245317777095492,0.9485270647350158,0.12359550561797752,0.46657424056754876,0.21818181818181817,0.14072372199885122,17000.0,395816.0,15.0,16985.866666666665,18.976643957059927,19810.13333333333,47.46666666666671,13.0,0.0,7.0,0.0,7.0,0.0,4.066666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.407712426,9.204791665429661E-8,18000.0,0.9528766063419529,0.2988684599968183,0.922,0.2789661483850694,0.954708886618999,0.1001100110011001,0.4312668855652912,0.18681318681318682,0.23362445414847177,18000.0,396104.0,15.0,17975.0,23.70613744119764,19829.333333333336,37.53686019122898,13.0,0.0,7.0,0.0,7.0,0.0,4.066666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.46642857,9.823263977671454E-8,19000.0,0.9356033730735679,0.2694064493501174,0.914,0.17236069675680957,0.9528766063419529,0.10497237569060773,0.3242635425284273,0.10526315789473684,0.15204981837052464,19000.0,407160.0,15.0,18973.933333333334,23.394436999844242,20561.06666666667,259.7708782876734,13.533333333333335,0.23637473611411158,7.2666666666666675,0.11818736805705579,7.2666666666666675,0.11818736805705579,4.333333333333334,0.15936381457791915,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.525083999,1.045628310392652E-7,20000.0,0.9241393372252747,0.275744498701724,0.902,0.17128940603436651,0.9356033730735679,0.11607142857142858,0.3385438679838265,0.11538461538461539,0.03495814869522454,20000.0,417168.0,15.0,19965.133333333335,23.0181846677106,21223.999999999996,328.8379540138273,13.8,0.26186146828319085,7.4,0.13093073414159542,7.4,0.13093073414159542,4.466666666666668,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.58938809,1.1178264425853679E-7,21000.0,0.9201696165191741,0.24759867959534826,0.91,0.14850136239781966,0.9241393372252747,0.10619469026548672,0.3056777432908108,0.09375,0.11142454160789898,21000.0,434000.0,15.0,20965.4,23.9522938557539,22336.533333333333,259.9627421412294,14.6,0.21380899352993943,7.8,0.10690449676496971,7.8,0.10690449676496971,4.866666666666667,0.13333333333333328,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.65162297,1.1894169833123475E-7,22000.0,0.9422429245013757,0.31415696190391224,0.928,0.4097683340711235,0.9201696165191741,0.10741971207087486,0.5363774707956849,0.28865979381443296,0.2877697841726625,22000.0,444656.0,15.0,21961.266666666663,23.39789707006977,23040.533333333336,316.08699626265746,15.133333333333333,0.23637473611411156,8.066666666666666,0.11818736805705575,8.066666666666666,0.11818736805705575,5.133333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
