learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.047918981,4.968629585147276E-7,1000.0,0.5,0.0,0.487,0.0,0.0,1.053388090349076,0.0,0.0,-0.05555555555555561,1000.0,1832976.0
2000.0,3.508743238,1.1024843454485881E-6,2000.0,0.7801319284434204,0.5041240714455258,0.72,0.43782325163031244,0.5,0.9841269841269841,0.6766929188720782,0.4778225806451613,0.4220846233230134,2000.0,951312.0
3000.0,5.375636832,3.776095310863066E-6,3000.0,0.9956758443303959,0.9134161115535233,0.972,0.9439791602476121,0.7801319284434204,1.012072434607646,0.971422653550444,1.0,0.9426621160409556,3000.0,5535808.0
4000.0,7.434995895,4.90424588849898E-6,4000.0,0.9966195488721804,0.8981789860021185,0.971,0.9420231907237104,0.9956758443303959,0.9047619047619048,0.9719886340703294,1.0,0.9401135776974703,4000.0,2117568.0
5000.0,9.417324662,1.1679089499819351E-5,5000.0,0.997296,0.8874664401254359,0.968,0.9359999999999999,0.9966195488721804,1.0,0.9674709297958259,1.0,0.9348268839103869,5000.0,1.1871648E7
6000.0,11.638755093,2.1901937899424526E-5,6000.0,0.9938460061059783,0.8739978358002805,0.969,0.9380490651404088,0.997296,0.9646365422396856,0.9690697947983776,1.0,0.9368421052631578,6000.0,1.1839728E7
7000.0,13.691886137,3.6280990647791106E-5,7000.0,0.9968509797174284,0.8383018828189738,0.958,0.9160996735877777,0.9938460061059783,0.9646365422396856,0.9578545115130654,1.0,0.9144602851323829,7000.0,2.226632E7
8000.0,16.446826927,6.300619091350492E-5,8000.0,0.9962281376129156,0.8645124362102974,0.969,0.9378129413275131,0.9968509797174284,1.0661157024793388,0.9674453024451256,1.0,0.9367669556348801,8000.0,3.3715296E7
9000.0,19.122434222,9.583804382733686E-5,9000.0,0.9975999615993856,0.87310863010886,0.98,0.9600057591706794,0.9962281376129156,0.9920318725099602,0.9798772180991866,1.0,0.9592944369063772,9000.0,4.7432432E7
10000.0,22.611086,1.2490250423112523E-4,10000.0,0.997983798379838,0.8578238240841488,0.968,0.9359526049276464,0.9975999615993856,1.02020202020202,0.967136771792664,1.0,0.9348799348799348,10000.0,3.2203792E7
11000.0,25.146821881,1.5602022657613756E-4,11000.0,0.995853993332773,0.8460429998542872,0.956,0.912127590738248,0.997983798379838,0.9569471624266145,0.9559782031266345,1.0,0.9104864065100794,11000.0,3.3351104E7
12000.0,27.90859574,1.899142137728234E-4,12000.0,0.9943758787689424,0.8483449431768957,0.968,0.9360631695884466,0.995853993332773,0.9267822736030829,0.9686810451560933,1.0,0.9347826086956521,12000.0,4.7439152E7
13000.0,30.911345539,2.3859801199052917E-4,13000.0,0.9953464301904353,0.8617319549876206,0.963,0.9260798337795181,0.9943758787689424,0.8975332068311196,0.9642568492612581,1.0,0.9243829586542995,13000.0,4.8726224E7
14000.0,34.517263475,2.917730971593725E-4,14000.0,0.9946752332335856,0.8370955360148707,0.96,0.9199115823869551,0.9953464301904353,1.0242914979757085,0.9586596581065523,1.0,0.918176504967855,14000.0,5.7002608E7
15000.0,37.835632179,3.5378393346387633E-4,15000.0,0.9977959647354357,0.8547112168482661,0.971,0.9419856124318831,0.9946752332335856,1.0080321285140563,0.970446839488435,1.0,0.9407114624505928,15000.0,4.1773968E7
16000.0,41.189789031,4.0324931028866174E-4,16000.0,0.9936278980463688,0.8407369541332088,0.959,0.9180255760202815,0.9977959647354357,0.9920318725099602,0.9582936362238307,1.0,0.916069600818833,16000.0,5.7005968E7
17000.0,44.557417009,4.6279432597654615E-4,17000.0,0.9957079828319313,0.8466541953424656,0.969,0.9379920629840619,0.9936278980463688,1.0040080160320641,0.9684398543549342,1.0,0.9364907206555796,17000.0,6.722384E7
18000.0,48.329373697,5.432553854543105E-4,18000.0,0.9968206748348194,0.843784045965885,0.961,0.9215253855316956,0.9957079828319313,1.1008403361344539,0.958158247311349,1.0,0.9199908821518121,18000.0,8.245584E7
19000.0,52.561791254,6.280381727678388E-4,19000.0,0.9952233121569506,0.8240063514588,0.956,0.9120801828732196,0.9968206748348194,0.9762845849802372,0.9555330859059091,1.0,0.909787417718787,19000.0,7.7432192E7
20000.0,56.157144592,7.010928860490903E-4,20000.0,0.9975187496743109,0.8450541577929683,0.971,0.942031998336918,0.9952233121569506,0.9120458891013384,0.9718799664650266,1.0,0.9404761904761905,20000.0,6.953104E7
