learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.178297011,1.3579366117715835E-10,1000.0,0.7039061370892512,0.0910092390639039,0.918,0.02187656559391052,0.0,0.09051254089422028,0.10976425998969035,0.012048192771084338,0.012048192771084354,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.224322012,1.7084698796272277E-10,2000.0,0.6966307828915206,0.06557675518523828,0.887,0.0,0.7039061370892512,0.1273957158962796,0.0,0.0,-0.1530612244897961,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.253662058,1.9319280432330238E-10,3000.0,0.7014657079646017,0.06164980162732654,0.904,0.0,0.6966307828915206,0.10619469026548672,0.0,0.0,0.013698630136987067,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.296670616,2.879002505209711E-10,4000.0,0.6639935052077145,0.06535032043950735,0.884,0.009292156326865078,0.7014657079646017,0.12866817155756208,0.0934998825163596,0.008771929824561403,-0.14285714285714238,4000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.323909827,3.499121201452282E-10,5000.0,0.8114863281490892,0.191252897351169,0.914,0.09238660109335689,0.6639935052077145,0.09769484083424808,0.23676240998504963,0.056179775280898875,0.13131313131313146,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.343524662,3.9456659235888064E-10,6000.0,0.8047512991833704,0.16942852586919638,0.9,0.03467449223878329,0.8114863281490892,0.11358574610244988,0.14002800840280097,0.0196078431372549,-0.0050251256281401485,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.361696929,4.359369628876448E-10,7000.0,0.7635267915629503,0.14995207217699766,0.899,0.01747149694540557,0.8047512991833704,0.11358574610244988,0.09901475429766743,0.00980392156862745,-0.011444921316165643,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.386110252,5.082396015711129E-10,8000.0,0.7197475872308834,0.12005304089295579,0.898,0.015367982083558938,0.7635267915629503,0.11358574610244988,0.09895960823140278,0.00980392156862745,-0.018726591760299224,8000.0,11448.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
9000.0,0.401896694,5.561363294327425E-10,9000.0,0.8016347687400319,0.16354243452820594,0.914,0.04069248616812526,0.7197475872308834,0.09649122807017543,0.15075567228888181,0.022727272727272728,0.12935883014623176,9000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.424261232,6.409318706993428E-10,10000.0,0.7708559297679636,0.15452679474628922,0.884,0.1363264090536821,0.8016347687400319,0.1402508551881414,0.29836722288830425,0.08943089430894309,-0.14624505928853795,10000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
11000.0,0.442423639,7.097949579792719E-10,11000.0,0.831993292925961,0.19821808657333034,0.925,0.10769523628230213,0.7708559297679636,0.08577633007600434,0.25144068727955593,0.06329113924050633,0.24381301558203503,11000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
12000.0,0.457704607,7.677330183424056E-10,12000.0,0.7370191014258811,0.1712747976578718,0.89,0.13500251635631655,0.831993292925961,0.13378684807256236,0.2907810094374789,0.0847457627118644,-0.09181141439205935,12000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
13000.0,0.472474737,8.237342273961339E-10,13000.0,0.8094177732379979,0.1723490386225532,0.897,0.10791616144119112,0.7370191014258811,0.12359550561797752,0.2522624895547565,0.06363636363636363,-0.015163002274449845,13000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
14000.0,0.48676096,8.779006945031385E-10,14000.0,0.7572012257405516,0.17126538268181493,0.89,0.05368203716448746,0.8094177732379979,0.12359550561797752,0.19026351276608958,0.03636363636363636,-0.07767669699090239,14000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
15000.0,0.500892986,9.314825209582017E-10,15000.0,0.8071565412215476,0.19114138678908263,0.899,0.06276678668200877,0.7572012257405516,0.11482720178372352,0.19684603865910988,0.038834951456310676,0.011096605744125194,15000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
16000.0,0.519629678,1.0153583939725326E-9,16000.0,0.719896331738437,0.13794674802090115,0.926,0.06791616283756628,0.8071565412215476,0.08225108225108226,0.19857231371233258,0.039473684210526314,0.2636815920398017,16000.0,17304.0,11.0,6.0,6.0,5.0,0.0,0.0,1.0
17000.0,0.533618872,1.078995144808044E-9,17000.0,0.6975517351512682,0.14445678786190963,0.903,0.09669969455412311,0.719896331738437,0.11234705228031146,0.2434620720938765,0.0594059405940594,0.03510825043885323,17000.0,17584.0,11.0,6.0,6.0,5.0,0.0,0.0,1.0
18000.0,0.547626073,1.1427138093672692E-9,18000.0,0.7737530689805939,0.1954211380195695,0.907,0.13100355073817918,0.6975517351512682,0.10987791342952276,0.28395194417339314,0.08080808080808081,0.07411504424778792,18000.0,17584.0,11.0,6.0,6.0,5.0,0.0,0.0,1.0
19000.0,0.565927259,1.2398284868130252E-9,19000.0,0.7002716307814992,0.13779519910372034,0.914,0.09083220568335527,0.7737530689805939,0.09649122807017543,0.23797327560948145,0.056818181818181816,0.13818565400843927,19000.0,20512.0,13.0,7.0,7.0,6.0,0.0,0.0,1.0
20000.0,0.583427468,1.3459487875406112E-9,20000.0,0.8020903313913149,0.18996406835906532,0.912,0.2098694488839407,0.7002716307814992,0.11234705228031146,0.358765761029573,0.12871287128712872,0.11867801702553858,20000.0,23440.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
21000.0,0.597994345,1.4342815250468749E-9,21000.0,0.824902478922864,0.21935214635033373,0.902,0.2720141437252079,0.8020903313913149,0.13250283125707815,0.4231792055492476,0.1794871794871795,0.02649006622516595,21000.0,23440.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
22000.0,0.612406512,1.521676109658761E-9,22000.0,0.7947398513436249,0.19728113677142456,0.907,0.1683954503183344,0.824902478922864,0.10987791342952276,0.3324071483441909,0.1111111111111111,0.07546317216448264,22000.0,23440.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
23000.0,0.629537332,1.6372917441547743E-9,23000.0,0.8075641025641026,0.21577680771762103,0.92,0.2116673236105633,0.7947398513436249,0.0989010989010989,0.36474688900701135,0.13333333333333333,0.20104211897525048,23000.0,26088.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
24000.0,0.643790365,1.7334852394916943E-9,24000.0,0.8561194632226818,0.24656450885109865,0.914,0.25760950259836635,0.8075641025641026,0.10987791342952276,0.4134668442961174,0.1717171717171717,0.14071606994171532,24000.0,26088.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
25000.0,0.658095865,1.8300328337856462E-9,25000.0,0.758840579710145,0.17598825568262427,0.894,0.17245686626590645,0.8561194632226818,0.12994350282485875,0.3354587117450957,0.11304347826086956,-0.05284068335319817,25000.0,26088.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
26000.0,0.67234472,1.9272302647804216E-9,26000.0,0.7682210438760657,0.18184244850880746,0.92,0.10104279036317988,0.758840579710145,0.09170305676855896,0.24384180773403455,0.05952380952380952,0.2003075740099964,26000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
27000.0,0.689568202,2.0564819968202045E-9,27000.0,0.7825087725198713,0.19541179357459745,0.909,0.1744384366948509,0.7682210438760657,0.10987791342952276,0.3327779316701073,0.1111111111111111,0.0900000000000001,27000.0,29008.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
28000.0,0.703728422,2.1627458150809006E-9,28000.0,0.7390665814639178,0.16968857251652064,0.903,0.17969014275082834,0.7825087725198713,0.10987791342952276,0.3601527097316727,0.13131313131313133,0.029653447659878908,28000.0,29008.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
29000.0,0.717805208,2.2683835120374953E-9,29000.0,0.7976446751931113,0.21587359152633495,0.907,0.2601431980906919,0.7390665814639178,0.1185682326621924,0.4219505830571054,0.1792452830188679,0.071600688468159,29000.0,29008.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
30000.0,0.734638143,2.4062008146734695E-9,30000.0,0.8402441878608207,0.24792240212428612,0.897,0.23816568047337286,0.7976446751931113,0.13122171945701358,0.4033378057553843,0.16379310344827586,-0.022840119165838814,30000.0,31648.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
31000.0,0.753756472,2.5903475086142613E-9,31000.0,0.7527723783891547,0.2341496094657243,0.92,0.2461932760440219,0.8402441878608207,0.09649122807017543,0.4112739136602469,0.17045454545454544,0.2023158571888073,31000.0,37232.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
32000.0,0.770416895,2.7634051720487567E-9,32000.0,0.8339386602098466,0.28453794518126235,0.913,0.4347272396496608,0.7527723783891547,0.13378684807256236,0.5722854753381937,0.3305084745762712,0.1372792066935238,32000.0,40152.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
33000.0,0.785189108,2.919019993847856E-9,33000.0,0.8027309948925753,0.26430794188573103,0.921,0.41549024830566217,0.8339386602098466,0.1185682326621924,0.5479036298231105,0.3018867924528302,0.21782178217821807,33000.0,40720.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
34000.0,0.799925179,3.0742540852249486E-9,34000.0,0.7969441964084386,0.27420390173966724,0.905,0.43712376167227596,0.8027309948925753,0.145475372279496,0.5845463211772542,0.3464566929133858,0.06647398843930696,34000.0,40720.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
35000.0,0.814639983,3.229264143790221E-9,35000.0,0.7793668686299375,0.25575166573749786,0.925,0.4108035068975271,0.7969441964084386,0.10375275938189846,0.5614927065080583,0.3191489361702128,0.2613956105796291,35000.0,40720.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
36000.0,0.829159346,3.3822153695734827E-9,36000.0,0.8316391149682265,0.24271378782863465,0.917,0.3755642491724345,0.7793668686299375,0.11234705228031146,0.532555591764865,0.2871287128712871,0.18248974008207966,36000.0,40720.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
37000.0,0.843662638,3.534997298731985E-9,37000.0,0.8015973573464863,0.21643922983087927,0.915,0.2899388512045977,0.8316391149682265,0.10864745011086474,0.4499976117508561,0.20408163265306123,0.16200373034905405,37000.0,40720.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
38000.0,0.858146832,3.6875780439604475E-9,38000.0,0.8026853653764969,0.2510235945724443,0.908,0.3404923368076964,0.8015973573464863,0.122334455667789,0.5036957085971787,0.25688073394495414,0.09476954945624044,38000.0,40720.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
39000.0,0.87251097,3.838894084093884E-9,39000.0,0.790059758662913,0.24963322529954737,0.916,0.40340061648603026,0.8026853653764969,0.11982082866741321,0.5522296278997334,0.308411214953271,0.1746031746031746,39000.0,40720.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
40000.0,0.887069153,3.992254251136133E-9,40000.0,0.7688583193809675,0.2567110668005045,0.919,0.38150942243670083,0.790059758662913,0.10864745011086474,0.5403531600963734,0.29591836734693877,0.20334398819768879,40000.0,40720.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
41000.0,0.901464785,4.143902058297146E-9,41000.0,0.7504009961588789,0.21281698738155502,0.913,0.3164461485276093,0.7688583193809675,0.1185682326621924,0.46476908166288866,0.2169811320754717,0.14521926671459398,41000.0,40720.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
42000.0,0.916072688,4.298874363979944E-9,42000.0,0.7749571844060033,0.2200330668318345,0.914,0.35610428115781495,0.7504009961588789,0.12485939257592801,0.4926418723064024,0.24324324324324326,0.15686274509803938,42000.0,41008.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
43000.0,0.930902901,4.456205111752367E-9,43000.0,0.7564725484131656,0.200407155232435,0.901,0.2386255268096106,0.7749571844060033,0.1273957158962796,0.3982131273138702,0.1592920353982301,0.031839890834660226,43000.0,41008.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
44000.0,0.945509788,4.611166638895454E-9,44000.0,0.7115136430678466,0.18948909347123366,0.91,0.22004991680532507,0.7564725484131656,0.10619469026548672,0.39331210725938015,0.15625,0.11862897841086154,44000.0,41008.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
45000.0,0.96390113,4.832806478343489E-9,45000.0,0.7456625377114674,0.18355868583154195,0.899,0.16880637303311669,0.7115136430678466,0.122334455667789,0.33105513754194626,0.11009174311926606,0.01238591916557991,45000.0,46584.0,31.0,16.0,16.0,9.0,0.0,0.0,1.0
46000.0,0.978972982,5.014442101098182E-9,46000.0,0.802262107515612,0.24019440184789687,0.907,0.3173209619167868,0.7456625377114674,0.11358574610244988,0.5000764167116892,0.2549019607843137,0.09056122448979631,46000.0,46584.0,31.0,16.0,16.0,9.0,0.0,0.0,1.0
47000.0,0.993473463,5.19024231220078E-9,47000.0,0.7925443442861297,0.21715771692842495,0.912,0.2573212929361136,0.802262107515612,0.10497237569060773,0.4326322793710888,0.18947368421052632,0.1381537820379251,47000.0,46864.0,31.0,16.0,16.0,9.0,0.0,0.0,1.0
48000.0,1.010672506,5.4105412389131045E-9,48000.0,0.8019973860382517,0.25087963121638496,0.903,0.3670390478179164,0.7925443442861297,0.1273957158962796,0.5429355950483852,0.3008849557522124,0.05211726384364895,48000.0,49512.0,33.0,17.0,17.0,9.0,0.0,0.0,1.0
49000.0,1.026221951,5.609710811573183E-9,49000.0,0.7952722222222223,0.26037538817328343,0.914,0.371345029239766,0.8019973860382517,0.1111111111111111,0.5428320796219275,0.3,0.15921787709497262,49000.0,49512.0,33.0,17.0,17.0,9.0,0.0,0.0,1.0
50000.0,1.044158699,5.8530454972117305E-9,50000.0,0.7776004256451183,0.24806844308756124,0.913,0.3979238754325265,0.7952722222222223,0.11731843575418995,0.5639332852381753,0.3238095238095238,0.14989251514559335,50000.0,52440.0,35.0,18.0,18.0,9.0,0.0,0.0,1.0
