learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.024704608,4.858560369320711E-7,1000.0,0.5,0.0,0.487,0.0,0.0,1.053388090349076,0.0,0.0,-0.05555555555555561,1000.0,1832976.0
2000.0,3.032381436,9.807699324080185E-7,2000.0,0.766819076420891,0.4939448183111402,0.722,0.4418208686712927,0.5,0.9841269841269841,0.6780924920712361,0.4778225806451613,0.4262125902992776,2000.0,952880.0
3000.0,4.760474689,3.4322195301794302E-6,3000.0,0.9958478505226188,0.9059395050362998,0.973,0.9459805529990796,0.766819076420891,1.012072434607646,0.9724577339224536,1.0,0.9447098976109215,3000.0,5483504.0
4000.0,6.784724262,4.514743344405844E-6,4000.0,0.9967759398496241,0.8925503011658253,0.971,0.9420231907237104,0.9958478505226188,0.9047619047619048,0.9719886340703294,1.0,0.9401135776974703,4000.0,2067168.0
5000.0,8.807669218,1.1790438159798702E-5,5000.0,0.997084,0.8827036381873589,0.968,0.9359999999999999,0.9967759398496241,1.0,0.9674709297958259,1.0,0.9348268839103869,5000.0,1.1681248E7
6000.0,11.131418027,2.0771518261296917E-5,6000.0,0.9936019270243559,0.8678559952802222,0.968,0.9360529481589244,0.997084,0.9646365422396856,0.9680555927467854,1.0,0.9348047538200339,6000.0,1.1663776E7
7000.0,13.202507561,3.5182069118054924E-5,7000.0,0.9970350393527503,0.8346590235407839,0.958,0.9160996735877777,0.9936019270243559,0.9646365422396856,0.9578545115130654,1.0,0.9144602851323829,7000.0,2.553912E7
8000.0,15.932901527,6.354116616086887E-5,8000.0,0.9965604779293997,0.8638517224634417,0.968,0.9358027861590806,0.9970350393527503,1.0661157024793388,0.9663768920667863,1.0,0.9347271800101988,8000.0,3.2436032E7
9000.0,18.693639887,9.46605973219914E-5,9000.0,0.9974839597433559,0.8717921463868299,0.979,0.9580063830297795,0.9965604779293997,0.9920318725099602,0.978860220193512,1.0,0.957259158751696,9000.0,4.3572128E7
10000.0,21.949032603,1.1853070130965822E-4,10000.0,0.9979597959795979,0.8586134462209016,0.968,0.9359526049276464,0.9974839597433559,1.02020202020202,0.967136771792664,1.0,0.9348799348799348,10000.0,2.8343488E7
11000.0,24.442624391,1.4664098624608954E-4,11000.0,0.9958019681525858,0.8452472045369672,0.957,0.9141209177478109,0.9979597959795979,0.9569471624266145,0.9570011870502855,1.0,0.9125208063621231,11000.0,4.3575488E7
12000.0,27.408595428,1.7968788384116886E-4,12000.0,0.9943478382784742,0.8460304707857084,0.968,0.9360631695884466,0.9958019681525858,0.9267822736030829,0.9686810451560933,1.0,0.9347826086956521,12000.0,4.3069136E7
13000.0,30.333918646,2.2380920460843897E-4,13000.0,0.9953785237753289,0.8596904556461501,0.962,0.9240901808651322,0.9943478382784742,0.8975332068311196,0.963272411179941,1.0,0.9223392548341455,13000.0,5.8301136E7
14000.0,33.953080897,2.6387726387949945E-4,14000.0,0.9948152533964891,0.8387535391149543,0.962,0.923919659160073,0.9953785237753289,1.0242914979757085,0.9607689228305228,1.0,0.9222676797194622,14000.0,4.279496E7
15000.0,36.764724454,3.0608457743000543E-4,15000.0,0.9978079649274388,0.8511453275535588,0.968,0.9359825872637356,0.9948152533964891,1.0080321285140563,0.9673380856182342,1.0,0.9345781654627231,15000.0,5.802696E7
16000.0,39.977836875,3.4102136267641397E-4,16000.0,0.9946119137906206,0.8399038990721222,0.96,0.9200243126089669,0.9978079649274388,0.9920318725099602,0.9593324372185075,1.0,0.9181166837256908,16000.0,4.203E7
17000.0,42.649774409,3.8060269810342274E-4,17000.0,0.9958159832639331,0.8452876352154358,0.967,0.933991022779098,0.9946119137906206,1.0040080160320641,0.9663683228826067,1.0,0.9323933477946492,17000.0,5.7262E7
18000.0,45.941931466,4.116281883831059E-4,18000.0,0.9971253768683046,0.8423365403367509,0.96,0.9195054414321591,0.9958159832639331,1.1008403361344539,0.9570613285232152,1.0,0.9179393663095509,18000.0,3.6428432E7
19000.0,48.438291466,4.449910180340444E-4,19000.0,0.9953913363524347,0.8269604127595462,0.957,0.914076300245382,0.9971253768683046,0.9762845849802372,0.95656665363468,1.0,0.9118377036797237,19000.0,5.1660432E7
20000.0,51.53173066,4.676876729953481E-4,20000.0,0.99737444432419,0.8459332480550686,0.969,0.9380455984395485,0.9953913363524347,0.9120458891013384,0.9699106028072167,1.0,0.9363711001642036,20000.0,2.8361072E7
21000.0,53.54626485,4.904067009849778E-4,21000.0,0.9947459171058625,0.8459504506319644,0.965,0.9281797885612975,0.99737444432419,1.2935779816513762,0.9590228207098107,1.0,0.9280962629622382,21000.0,4.3593072E7
22000.0,56.177797995,5.304536044772945E-4,22000.0,0.9967599870399482,0.8644997632125737,0.972,0.9440060473468865,0.9947459171058625,0.9960079840319361,0.9716541444604174,1.0,0.9425533899095402,22000.0,3.6167792E7
23000.0,59.115238282,5.635833136618408E-4,23000.0,0.9947884745572607,0.8428680185097813,0.96,0.9196396642545172,0.9967599870399482,1.079002079002079,0.9575175804338617,1.0,0.9178937974118696,23000.0,4.3596432E7
24000.0,61.983513756,6.07235476000416E-4,24000.0,0.99560287433583,0.8458259799217585,0.96,0.9198769309659637,0.9947884745572607,1.032520325203252,0.9584879691429986,1.0,0.9179066187788609,24000.0,5.53896E7
25000.0,65.223876641,6.650217319260453E-4,25000.0,0.998516290726817,0.8410818881248833,0.976,0.9517636418450407,0.99560287433583,1.105263157894737,0.9744094027720208,1.0,0.9506700649510811,25000.0,6.8933968E7
26000.0,68.652834884,7.352673296660991E-4,26000.0,0.9984357747515642,0.8302027001770367,0.961,0.9219156689224361,0.998516290726817,1.0242914979757085,0.9597148699373931,1.0,0.9198862289642095,26000.0,7.2415376E7
27000.0,72.400959234,8.202539460575822E-4,27000.0,0.9966753483682802,0.8480986265638025,0.964,0.9279132075018321,0.9984357747515642,1.028397565922921,0.9627968049525168,1.0,0.9261229763623926,27000.0,7.8598592E7
28000.0,76.180223215,9.105033515315173E-4,28000.0,0.9994239631336406,0.8600142125916882,0.972,0.9439713133124159,0.9966753483682802,1.0161290322580645,0.9713641887040999,1.0,0.9425767230645279,28000.0,9.2308032E7
29000.0,80.314307059,9.929390249375915E-4,29000.0,0.9895539830942623,0.8224492632129272,0.956,0.9117628184560097,0.9994239631336406,1.0491803278688525,0.9538532725601828,1.0,0.9097595473833097,29000.0,7.7079392E7
30000.0,83.808678859,0.0010763881987141137,30000.0,0.9968799875199501,0.8436859512245041,0.96,0.919986877847967,0.9895539830942623,1.0040080160320641,0.9590827281098944,1.0,0.9179767600820232,30000.0,7.7082752E7
31000.0,87.618059313,0.0011673634126871354,31000.0,0.9973877387738774,0.8428337316809967,0.959,0.9180589975217842,0.9968799875199501,0.9801980198019802,0.9585467548263459,1.0,0.9159391534391533,31000.0,9.2314752E7
32000.0,91.570460029,0.0012603120864700843,32000.0,0.9938699317543155,0.8398804981660442,0.962,0.9240728900255754,0.9973877387738774,0.8867924528301887,0.9634842431469509,1.0,0.9220012828736369,32000.0,9.0904336E7
33000.0,95.427797966,0.0013372397039092686,33000.0,0.9967475316445568,0.8277823611002059,0.961,0.9220617271121271,0.9938699317543155,0.9762845849802372,0.9606898048724004,1.0,0.9199825913951752,33000.0,7.7089808E7
34000.0,98.906128974,0.0014203151799644632,34000.0,0.9961858974358975,0.8466288392998231,0.972,0.9440358170770706,0.9967475316445568,0.9230769230769231,0.9727043981363743,1.0,0.9425224898870977,34000.0,7.7093168E7
35000.0,102.83345723,0.0015141177933327074,35000.0,0.997859143657463,0.8515248863412131,0.972,0.9439147504206393,0.9961858974358975,1.0408163265306123,0.9710083124552245,1.0,0.9426430996137188,35000.0,9.2325168E7
