learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.996045711,4.722676349569484E-7,1000.0,0.5,0.0,0.497,0.0,0.0,1.012072434607646,0.0,0.0,-0.020283975659229226,1000.0,1832976.0
2000.0,3.157564923,1.0248334320156897E-6,2000.0,0.5345782130056324,0.20022471503516043,0.553,0.10297163223040992,0.5,0.9841269841269841,0.5095101710852533,0.3407258064516129,0.07739938080495373,2000.0,988160.0
3000.0,5.064994213,3.747985193697773E-6,3000.0,0.5885306839415971,0.14496350232977054,0.554,0.10758234853911648,0.5345782130056324,1.0366598778004072,0.553652703548381,0.5658153241650294,0.08731241473397014,3000.0,5518560.0
4000.0,7.063647381,4.894188292832668E-6,4000.0,0.6170719313057431,0.12426301381501412,0.59,0.17979330791359424,0.5885306839415971,0.9646365422396856,0.5898785790169927,0.5845213849287169,0.1632653061224489,4000.0,2216800.0
5000.0,9.00516178,1.1090028566763552E-5,5000.0,0.6193797519007603,0.11487260268781355,0.596,0.1910940253083453,0.6170719313057431,1.0408163265306123,0.5949063501309854,0.6215686274509804,0.17584659322725407,5000.0,1.0658352E7
6000.0,10.973488641,2.0733417758262106E-5,6000.0,0.5524193709755522,0.18817218820928946,0.533,0.06591780076646743,0.6193797519007603,1.0449897750511248,0.5329704342852143,0.5342465753424658,0.04661449472609739,6000.0,1.468184E7
7000.0,13.26983818,3.850728308243989E-5,7000.0,0.4794667434863325,0.2956859086119848,0.485,-0.03089068955577619,0.5524193709755522,0.968503937007874,0.4837973949282394,0.4573170731707317,-0.04857475276323455,7000.0,2.5014752E7
8000.0,15.949779655,6.64104236056482E-5,8000.0,0.5577289236627786,0.33189034984162824,0.555,0.10990743037275877,0.4794667434863325,1.0080321285140563,0.5548016986985512,0.5677290836653387,0.08694537060784827,8000.0,2.5014688E7
9000.0,18.412691794,9.205388789467061E-5,9000.0,0.5552755376344086,0.08886085542018712,0.532,0.06391013537299578,0.5577289236627786,1.0161290322580645,0.5319230285435392,0.5376984126984127,0.041201912132938924,9000.0,4.0246688E7
10000.0,21.179327808,1.0996007328861165E-4,10000.0,0.6251065515709603,0.09110822433436705,0.586,0.1713072128299257,0.5552755376344086,1.0449897750511248,0.5853732555682689,0.6027397260273972,0.15024630541871908,10000.0,2.5018048E7
11000.0,23.614904614,1.3532104336074602E-4,11000.0,0.6389110007960287,0.09847074546343126,0.586,0.17204967701937873,0.6251065515709603,0.9880715705765407,0.586007135244147,0.5915492957746479,0.15290178571428556,11000.0,4.0250048E7
