learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.176572809,6.430944412909448E-9,1000.0,0.6274687218496647,0.09747246548880298,0.595,0.18638756076981794,0.0,0.941747572815534,0.5885709593556049,0.5216494845360825,0.15975103734439824,1000.0,140784.0,15.0,0.43957749753073083,0.5604225024692692,1113.0666666666666,9.00394975058786,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.26803188,9.761968056857586E-9,2000.0,0.6503277023908428,0.08578208241851998,0.6,0.20138958212709887,0.6274687218496647,1.1231422505307855,0.6008481223404362,0.5803402646502835,0.17525773195876282,2000.0,140784.0,15.0,0.4749950771328744,0.5250049228671255,2234.2,12.24324886854557,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.345342928,1.2632748831179406E-8,3000.0,0.637987798779878,0.07405895952053065,0.591,0.18170541394902165,0.6503277023908428,1.02020202020202,0.5905818137124346,0.6079207920792079,0.1624573378839589,3000.0,143536.0,15.0,0.5143325573458395,0.4856674426541605,3327.6666666666665,15.577660031708632,3125.8666666666663,181.86666666666665,1.1333333333333335,0.1333333333333333,1.0666666666666669,0.06666666666666665,1.0666666666666669,0.06666666666666665,0.06666666666666668,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.495471219,2.1540079046131835E-8,4000.0,0.6933447010178881,0.1197373758319134,0.65,0.2978457908864396,0.637987798779878,0.949317738791423,0.6462184587648353,0.5934291581108829,0.2846193152784875,4000.0,229344.0,15.0,0.4396291930017431,0.5603708069982568,4428.4,15.978795472810296,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.566900566,2.577808626335528E-8,5000.0,0.6821210650256146,0.13201310021612422,0.629,0.24924317236243537,0.6933447010178881,0.8975332068311196,0.6152395985555118,0.5221987315010571,0.23662551440329216,5000.0,229344.0,15.0,0.33608642550313433,0.6639135744968656,5540.466666666666,17.126939700135082,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.63129439,2.9598665651496912E-8,6000.0,0.6583931599264042,0.1163139698276267,0.612,0.21497218007081428,0.6821210650256146,0.9120458891013384,0.5944642701779347,0.4863731656184486,0.1991744066047472,6000.0,229344.0,15.0,0.524898975447071,0.47510102455292896,6643.0,21.361959960016154,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.696086499,3.3541837329098744E-8,7000.0,0.6513011301130113,0.11352369921922584,0.615,0.23141419787590836,0.6583931599264042,1.02020202020202,0.6088456859557524,0.5227722772277228,0.21244886031560492,7000.0,235248.0,15.0,0.4350757063147624,0.5649242936852376,7736.0,21.678824427801164,9190.400000000003,266.012760166554,5.2666666666666675,0.1817027050317992,3.1333333333333337,0.0908513525158996,3.1333333333333337,0.0908513525158996,2.1333333333333337,0.0908513525158996,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.781054796,3.949755471638921E-8,8000.0,0.680044,0.12087075383849188,0.631,0.262,0.6513011301130113,1.0,0.623499799518813,0.534,0.24655436447166926,8000.0,270944.0,15.0,0.5773201219571944,0.42267987804280577,8849.333333333334,23.762248303652644,11550.4,525.8230446506831,7.0,0.3380617018914066,4.0,0.1690308509457033,4.0,0.1690308509457033,3.0,0.1690308509457033,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.858971841,4.5548583477532694E-8,9000.0,0.6721446212072615,0.12426084146231064,0.618,0.2458462316002274,0.680044,1.1008403361344539,0.6084677615707101,0.48282442748091603,0.21667805878332197,9000.0,300192.0,15.0,0.3894227762405972,0.6105772237594028,9982.533333333335,23.92605009222945,13484.799999999997,383.36518956659137,8.2,0.26186146828319085,4.6,0.13093073414159542,4.6,0.13093073414159542,3.5999999999999996,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.928358742,5.114912104213817E-8,10000.0,0.691938767755071,0.1310834603245305,0.654,0.30843430325755433,0.6721446212072615,1.0040080160320641,0.6351233057654664,0.49700598802395207,0.29199918150194404,10000.0,312000.0,15.0,0.3433782185361336,0.6566217814638664,11098.466666666665,25.736367943449938,14265.599999999999,266.01276016655396,8.733333333333334,0.1817027050317992,4.866666666666667,0.0908513525158996,4.866666666666667,0.0908513525158996,3.866666666666666,0.0908513525158996,0.0,0.0,0.0,0.0,1.0,0.0
