learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.145235141,5.289597667170068E-9,1000.0,0.6219237313582224,0.09128341988635161,0.593,0.1846301787002164,0.0,0.941747572815534,0.5917052506047533,0.5670103092783505,0.15560165975103726,1000.0,140784.0,15.0,0.43957749753073083,0.5604225024692692,770.2666666666667,7.046422034767962,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.22721482,8.275373119364183E-9,2000.0,0.6534180984832978,0.08577753470148819,0.609,0.21818138191939468,0.6219237313582224,1.1231422505307855,0.6094271033441103,0.6011342155009451,0.19381443298969067,2000.0,140784.0,15.0,0.4749950771328744,0.5250049228671255,1518.6000000000001,9.981315878513547,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.288754495,1.0516704790728789E-8,3000.0,0.6351795179517952,0.07451243816163738,0.599,0.19780747379371044,0.6534180984832978,1.02020202020202,0.59878865619305,0.6099009900990099,0.1788395904436859,3000.0,140784.0,15.0,0.5143325573458395,0.4856674426541605,2308.6,12.970589442125997,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.340898193,1.2415826321505011E-8,4000.0,0.6666506558433501,0.07793250464125828,0.603,0.20591741541120265,0.6351795179517952,0.949317738791423,0.6030172582555973,0.6036960985626283,0.1885539090444557,4000.0,140784.0,15.0,0.4396291930017431,0.5603708069982568,3093.0000000000005,12.124748401906082,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.449871234,1.8041251769655697E-8,5000.0,0.6573167356010126,0.10008208213633307,0.601,0.1997529061604987,0.6666506558433501,0.8975332068311196,0.5995332579695075,0.5792811839323467,0.17901234567901228,5000.0,199544.0,15.0,0.33608642550313433,0.6639135744968656,3871.2000000000003,12.142879551800052,6829.333333333334,362.2504614564305,3.666666666666667,0.25197631533948484,2.333333333333334,0.12598815766974245,2.333333333333334,0.12598815766974245,1.3333333333333335,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.535720144,2.3134792666379363E-8,6000.0,0.685867295196636,0.1393635797852314,0.647,0.2890288899988722,0.6573167356010126,0.9120458891013384,0.6400584911000039,0.5744234800838575,0.2714138286893706,6000.0,229344.0,15.0,0.524898975447071,0.47510102455292896,4652.266666666666,16.000138888286074,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.596215262,2.672405614782746E-8,7000.0,0.6579257925792579,0.11457173857689079,0.625,0.25062947124415486,0.685867295196636,1.02020202020202,0.623935036276173,0.5821782178217821,0.23290473407364118,7000.0,229344.0,15.0,0.4350757063147624,0.5649242936852376,5448.666666666666,17.32316551592302,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.652153788,3.004297038778042E-8,8000.0,0.645936,0.10731199294224253,0.589,0.17799999999999994,0.6579257925792579,1.0,0.5851768963313573,0.522,0.16079632465543642,8000.0,229344.0,15.0,0.5773201219571944,0.42267987804280577,6253.2,19.77328645275888,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.702972268,3.30581048395671E-8,9000.0,0.5949708127525819,0.09522613014011039,0.566,0.13828705762754928,0.645936,1.1008403361344539,0.5642566440291179,0.4904580152671756,0.11004784688995209,9000.0,229344.0,15.0,0.3894227762405972,0.6105772237594028,7013.666666666667,22.051814884098278,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.75924493,3.6525767536293717E-8,10000.0,0.6589306357225428,0.11005773959088438,0.616,0.23227945028009805,0.5949708127525819,1.0040080160320641,0.6093910775765771,0.5249500998003992,0.21424186617556784,10000.0,238200.0,15.0,0.3433782185361336,0.6566217814638664,7807.466666666667,24.73880057658927,9385.599999999999,313.01636652783145,5.4,0.21380899352993948,3.2,0.10690449676496974,3.2,0.10690449676496974,2.2,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
