learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.088788624,5.162409945104519E-7,1000.0,0.5,0.0,0.478,0.0,0.0,1.0920502092050208,0.0,0.0,-0.1250000000000001,1000.0,1832976.0
2000.0,2.995944279,1.0035608418494296E-6,2000.0,0.738261248719918,0.4989990339805203,0.715,0.43193596224068376,0.5,1.0161290322580645,0.6837937735393492,0.501984126984127,0.4062499999999999,2000.0,987712.0
3000.0,4.916509481,3.8041184961266483E-6,3000.0,0.98728,0.8317445016413638,0.925,0.8500000000000001,0.738261248719918,1.0,0.9221149602950817,0.998,0.8413258110014106,3000.0,5636608.0
4000.0,7.054992561,5.15239047975065E-6,4000.0,0.985590581786271,0.7909318005024969,0.93,0.8605738779184876,0.98728,0.9193857965451055,0.9303993735175463,1.0,0.8523206751054854,4000.0,2437104.0
5000.0,9.125662322,1.3116893591111638E-5,5000.0,0.9892727483779035,0.7432649963707041,0.93,0.8604137336933331,0.985590581786271,0.949317738791423,0.929272703938193,1.0,0.85256950294861,5000.0,1.3289232E7
6000.0,11.551940147,1.7241995249900146E-5,6000.0,0.9840056968203421,0.7350781410506071,0.938,0.8758032723834552,0.9892727483779035,1.0242914979757085,0.9352999354108615,0.9980237154150198,0.8706986444212721,6000.0,6571920.0
7000.0,13.568825391,2.8618619066832305E-5,7000.0,0.9834629416282642,0.7095100995616468,0.93,0.8601476840456479,0.9840056968203421,0.9841269841269841,0.927960727138337,1.0,0.8543400713436387,7000.0,2.180392E7
8000.0,15.883786146,3.775533538126271E-5,8000.0,0.983519078957903,0.7179121880063365,0.926,0.8524956147344922,0.9834629416282642,0.9455252918287937,0.9252195028233404,1.0,0.8461138549519107,8000.0,1.5256288E7
9000.0,17.969324222,5.0560484525527966E-5,9000.0,0.987495546989765,0.7268291538459042,0.932,0.8634247450260498,0.983519078957903,1.053388090349076,0.9275611084215761,1.0,0.8589536759622034,9000.0,2.0854272E7
10000.0,20.383344507,7.309667801649479E-5,10000.0,0.9859017286403179,0.7235800256869273,0.93,0.8605222048649855,0.987495546989765,0.9305019305019305,0.9299811099505543,1.0,0.856026326614562,10000.0,3.6086272E7
11000.0,23.362850251,8.917374632751175E-5,11000.0,0.9859184808930838,0.7039589603042677,0.925,0.85048204588407,0.9859017286403179,0.949317738791423,0.9240136198079784,1.0,0.8457655636567584,11000.0,2.0857632E7
12000.0,25.576993256,1.0984590121090643E-4,12000.0,0.9855491213011432,0.7057592128638914,0.92,0.8410118008990783,0.9859184808930838,0.8416206261510129,0.9234015106701521,1.0,0.8346538064071651,12000.0,3.6089632E7
