learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.054854157,5.001512204201395E-7,1000.0,0.5,0.0,0.901,0.0,0.0,0.10987791342952276,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.428693642,1.908152433206443E-6,2000.0,0.6696162258898389,0.38327183653500896,0.872,0.3463317978939629,0.5,0.11982082866741321,0.6305961591576377,0.42990654205607476,-0.242718446601942,2000.0,2292736.0
3000.0,5.512439269,5.65214597797143E-6,3000.0,0.9170324449070094,0.6067020729912334,0.881,0.5177109507984115,0.6696162258898389,0.10864745011086474,0.8609224030332391,0.8367346938775511,-0.17434210526315722,3000.0,5608832.0
4000.0,8.021415009,1.1117586387092927E-5,4000.0,0.9318440107802708,0.615560625361158,0.869,0.4934731502103439,0.9170324449070094,0.11482720178372352,0.844811150756724,0.8155339805825242,-0.2874692874692874,4000.0,8420368.0
5000.0,10.198369098,1.6244088454482663E-5,5000.0,0.8946270649090605,0.5816734510033907,0.877,0.4382227743573818,0.9318440107802708,0.08459869848156182,0.8319500171100812,0.782051282051282,-0.2680412371134024,5000.0,9102784.0
6000.0,12.608254663,2.305510596850682E-5,6000.0,0.9102029469001947,0.5863385016266798,0.896,0.5715262728553656,0.8946270649090605,0.122334455667789,0.8556475584989186,0.8073394495412844,-0.05050505050505056,6000.0,1.0924912E7
7000.0,14.956297798,3.667113122817961E-5,7000.0,0.9048518896833504,0.5834984980864139,0.889,0.5580858348594635,0.9102029469001947,0.12359550561797752,0.8570443544742953,0.8181818181818182,-0.1036931818181821,7000.0,2.1041088E7
8000.0,17.631405833,6.31184935588893E-5,8000.0,0.9155520965448326,0.5712341940134746,0.883,0.5566905624346404,0.9048518896833504,0.13378684807256236,0.8520158744919346,0.8135593220338984,-0.13868613138686114,8000.0,2.1040864E7
9000.0,19.916476523,8.546631575595319E-5,9000.0,0.9066638214129056,0.5876957154615257,0.884,0.5107095555049396,0.9155520965448326,0.10253583241455347,0.8582958490013735,0.8279569892473119,-0.1409836065573768,9000.0,3.7804016E7
10000.0,22.863481641,1.0151027075884865E-4,10000.0,0.8768488639742729,0.5292702864090922,0.893,0.5385385040022082,0.9066638214129056,0.11234705228031146,0.8415602526562601,0.7821782178217822,-0.0531496062992122,10000.0,2.1044224E7
11000.0,25.246573745,1.2499135968249174E-4,11000.0,0.9100510725229827,0.5839224244231345,0.895,0.5713235894504778,0.8768488639742729,0.12359550561797752,0.8559949022787886,0.8090909090909091,-0.025754884547069503,11000.0,3.8087264E7
12000.0,28.15150493,1.4721655883988472E-4,12000.0,0.8501409949454642,0.5239049853348996,0.892,0.538007443213415,0.9100510725229827,0.11731843575418995,0.8314130575431558,0.7619047619047619,-0.05280259951259097,12000.0,2.9574144E7
13000.0,30.892967788,1.8019658757874568E-4,13000.0,0.9269517593705014,0.5909629380471677,0.903,0.5951045214719832,0.8501409949454642,0.11482720178372352,0.8855077609831516,0.8640776699029126,0.05472263868066036,13000.0,4.6501936E7
14000.0,34.53255467,2.172003735706789E-4,14000.0,0.9110550331858407,0.5835605768825086,0.907,0.579642017718315,0.9269517593705014,0.10619469026548672,0.8681782115900203,0.8229166666666666,0.08951048951048933,14000.0,2.4523616E7
15000.0,37.502347704,2.491102210191685E-4,15000.0,0.8527341803687095,0.5333737522171527,0.884,0.5372734235384223,0.9110550331858407,0.1210762331838565,0.848387931733186,0.8055555555555556,-0.13133940182054574,15000.0,4.1533728E7
16000.0,40.593418137,2.956753657998072E-4,16000.0,0.8897741708703857,0.5504493501823087,0.903,0.5430993876589734,0.8527341803687095,0.09769484083424808,0.8535650922550736,0.797752808988764,0.046097111247695784,16000.0,2.4526976E7
17000.0,43.682214012,3.286560652824232E-4,17000.0,0.8909691629955947,0.5308635227608907,0.891,0.5155727796345019,0.8897741708703857,0.1013215859030837,0.8454759219350491,0.7934782608695652,-0.07795229784758562,17000.0,4.1273664E7
18000.0,46.766126097,3.749978381004877E-4,18000.0,0.887225755899705,0.5553252125128314,0.893,0.5398878530393203,0.8909691629955947,0.10619469026548672,0.8608072504451151,0.8229166666666666,-0.061157024793388304,18000.0,5.3436608E7
19000.0,50.232625619,4.369988463305826E-4,19000.0,0.8693487813742442,0.514507270622949,0.893,0.5385385040022082,0.887225755899705,0.11234705228031146,0.8415602526562601,0.7821782178217822,-0.06106471816283962,19000.0,6.9136912E7
20000.0,54.238560927,5.116683494558915E-4,20000.0,0.8778355628482168,0.5315607838558114,0.896,0.5821917257892157,0.8693487813742442,0.1402508551881414,0.8320451520668875,0.7560975609756098,-0.02010789602746441,20000.0,6.431576E7
21000.0,57.872834736,5.87897869583435E-4,21000.0,0.9032376616756174,0.5409208856962433,0.912,0.582997678055253,0.8778355628482168,0.10253583241455347,0.8626770466865474,0.8064516129032258,0.1332082551594754,21000.0,8.1078912E7
22000.0,62.122252002,6.75056810984089E-4,22000.0,0.9048926158301158,0.5307736411139043,0.895,0.5708961323438063,0.9032376616756174,0.12612612612612611,0.8492724382603467,0.7946428571428571,-0.029411764705882384,22000.0,7.9283888E7
23000.0,66.333773399,7.451382809181312E-4,23000.0,0.8941101874031281,0.5556618816848379,0.901,0.5530151162160697,0.9048926158301158,0.10375275938189846,0.8580364646149893,0.8085106382978723,0.0260906757912749,23000.0,6.432304E7
24000.0,69.8815801,8.198025961187946E-4,24000.0,0.9143524953922507,0.5603361401998445,0.911,0.6172964791276083,0.8941101874031281,0.122334455667789,0.8679182311913661,0.8165137614678899,0.1270944013077244,24000.0,7.8447344E7
25000.0,73.896754345,9.170895369932659E-4,25000.0,0.9249626679940269,0.5854909622510399,0.906,0.5938893305222414,0.9143524953922507,0.10864745011086474,0.8885149402461844,0.8673469387755102,0.07662082514734803,25000.0,9.3659648E7
26000.0,78.121736076,0.0010010515490291505,26000.0,0.9010911316533705,0.5496973716965273,0.9,0.5805087589771125,0.9249626679940269,0.1185682326621924,0.863939253981488,0.8207547169811321,0.019238023387400962,26000.0,7.6817536E7
27000.0,81.518817651,0.0010833941079415605,27000.0,0.9112,0.5721169997705808,0.899,0.5676369863013698,0.9010911316533705,0.1111111111111111,0.867486791446033,0.83,0.008724100327154252,27000.0,7.6820896E7
28000.0,85.506626145,0.0011803646156855964,28000.0,0.8924824166954918,0.5750784179199742,0.91,0.6369210908504117,0.9112,0.13378684807256236,0.8783199112408793,0.8389830508474576,0.12164517253398392,28000.0,7.9813728E7
29000.0,89.56272775,0.0012786883480399545,29000.0,0.8879333333333334,0.5656616696865404,0.885,0.533279220779221,0.8924824166954918,0.1111111111111111,0.8646386528486915,0.84,-0.12327382957224618,29000.0,9.3702656E7
30000.0,93.61580556,0.001359244725395792,30000.0,0.8917518028846154,0.5779315969820423,0.914,0.61941513842668,0.8879333333333334,0.11607142857142858,0.8741656147309971,0.8269230769230769,0.16042954767328413,30000.0,7.6827616E7
31000.0,97.4879819,0.0014531352915898798,31000.0,0.8566170157967034,0.5137114017241327,0.898,0.5486086525525738,0.8917518028846154,0.11607142857142858,0.8284829078330033,0.75,0.004721435316336206,31000.0,9.3721136E7
32000.0,101.958568911,0.0015813341477757075,32000.0,0.8322869073937608,0.48950609798527944,0.914,0.615333005322718,0.8566170157967034,0.12994350282485875,0.8320820869129056,0.7391304347826086,0.16403402187120367,32000.0,9.3724496E7
