learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.189200606,1.4409800165229375E-10,1000.0,0.8744212379062546,0.3601263285002712,0.932,0.5402982653019838,0.0,0.10987791342952276,0.6759518857999446,0.46464646464646464,0.3131313131313135,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.23739941,1.8080692920419905E-10,2000.0,0.8856945505541544,0.43329068751789485,0.944,0.6718737182567116,0.8744212379062546,0.11982082866741321,0.7787563616674751,0.616822429906542,0.4563106796116499,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.270827062,2.0626592722203997E-10,3000.0,0.8292909181410923,0.4114246522187585,0.94,0.6266613569615208,0.8856945505541544,0.10864745011086474,0.7607325212963302,0.5918367346938775,0.40789473684210503,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.322310502,2.844739369551341E-10,4000.0,0.901689558506781,0.4293950658623833,0.943,0.6510431971789595,0.8292909181410923,0.11482720178372352,0.7631051353997526,0.5922330097087378,0.43980343980343933,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.364265265,3.7694769263888397E-10,5000.0,0.8252683686523166,0.40874058255297063,0.948,0.6061083505029687,0.901689558506781,0.08459869848156182,0.7516875724490439,0.5769230769230769,0.4639175257731953,5000.0,8520.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.391919064,4.399033993296325E-10,6000.0,0.9293753024639875,0.5316991274531722,0.952,0.7288656416281615,0.8252683686523166,0.122334455667789,0.817920355993822,0.6788990825688074,0.5151515151515146,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.414683677,4.917285499701069E-10,7000.0,0.9036874361593463,0.5277693887273526,0.949,0.7157507524244786,0.9293753024639875,0.12359550561797752,0.8132583676945031,0.6727272727272727,0.4928977272727266,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.440391173,5.502533688541087E-10,8000.0,0.9020331296360352,0.5486331774510215,0.951,0.7449351406500508,0.9036874361593463,0.13378684807256236,0.8320005484156219,0.7033898305084746,0.5231143552311431,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.475601511,6.57083012741059E-10,9000.0,0.9033799243636709,0.5846976777302269,0.964,0.7757875462438182,0.9020331296360352,0.10253583241455347,0.8613361238209822,0.7526881720430108,0.645901639344262,9000.0,11728.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.499280675,7.289265905465516E-10,10000.0,0.8759127303164131,0.5359395035026596,0.95,0.709339503086814,0.9033799243636709,0.11234705228031146,0.8236635044236675,0.693069306930693,0.5078740157480311,10000.0,11728.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
