learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.19909608,7.245081941783429E-9,1000.0,0.6726721205993198,0.18878848575163507,0.99,0.16513608281850292,0.0,0.011122345803842264,0.30151134457776363,0.09090909090909091,0.09090909090909091,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.303562178,1.1046590440335373E-8,2000.0,0.9515151515151515,0.22140929156770175,0.991,0.18032786885246582,0.6726721205993198,0.010101010101010102,0.31622776601683794,0.1,0.14285714285713833,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.389023433,1.4156515032133708E-8,3000.0,0.989699018187671,0.29557394505753437,0.986,0.45597264319577,0.9515151515151515,0.019367991845056064,0.5616649962411537,0.3157894736842105,-0.05000000000000292,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.513829225,1.998838491368418E-8,4000.0,0.9322548028311426,0.09266633643615854,0.987,-0.003396109910461,0.989699018187671,0.011122345803842264,0.0,0.0,-0.01960784313725268,4000.0,180624.0,15.0,3983.5333333333333,15.59727285889813,5584.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.565170693,2.2387446336280554E-8,5000.0,0.9930695564516129,0.15707737340027045,0.992,0.0,0.9322548028311426,0.008064516129032258,0.0,0.0,0.322033898305086,5000.0,180624.0,15.0,4983.866666666667,16.370666759748385,5584.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.620282942,2.5123304507866917E-8,6000.0,0.9038987196086894,0.18900120317102706,0.993,0.0,0.9930695564516129,0.007049345417925478,0.0,0.0,0.36363636363636365,6000.0,191888.0,15.0,5980.666666666666,20.516350428880724,6328.533333333334,307.823045436152,3.5333333333333337,0.23637473611411153,2.266666666666667,0.11818736805705574,2.266666666666667,0.11818736805705574,1.2666666666666668,0.11818736805705576,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.671319871,2.7719810712484435E-8,7000.0,0.9924395161290323,0.26325612309206214,0.993,0.22083704363312417,0.9038987196086894,0.008064516129032258,0.3535533905932738,0.125,0.33783783783783683,7000.0,196656.0,15.0,6977.400000000001,20.572473518433963,6643.200000000001,346.7045840069447,3.8000000000000003,0.26186146828319085,2.4,0.1309307341415954,2.4,0.1309307341415954,1.4000000000000001,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.742855497,3.209411199247465E-8,8000.0,0.9459070637318372,0.10918197346491282,0.993,0.0,0.9924395161290323,0.007049345417925478,0.0,0.0,0.30864197530864484,8000.0,236368.0,15.0,7989.533333333332,23.421168013382918,9266.666666666668,341.9764774236835,5.8,0.2618614682831908,3.4,0.1309307341415954,3.4,0.1309307341415954,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.79339637,3.524423595305739E-8,9000.0,0.9257575757575758,0.1340807390294589,0.99,0.0,0.9459070637318372,0.010101010101010102,0.0,0.0,0.010989010989006162,9000.0,240928.0,15.0,8997.666666666668,24.060175882400852,9570.666666666666,357.93070181473297,5.8,0.2618614682831908,3.4,0.1309307341415954,3.4,0.1309307341415954,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.863324015,3.999953292389918E-8,10000.0,0.8722485973241261,0.13043303792793612,0.993,0.0,0.9257575757575758,0.007049345417925478,0.0,0.0,0.2857142857142873,10000.0,262864.0,15.0,10008.4,25.97284296007217,11020.266666666668,316.68652769796944,6.866666666666665,0.23637473611411167,3.9333333333333327,0.11818736805705583,3.9333333333333327,0.11818736805705583,2.066666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.924777686,4.429036885274781E-8,11000.0,0.9882273797510932,0.2662550252295545,0.993,0.36154688070047863,0.8722485973241261,0.009081735620585268,0.4714045207910317,0.2222222222222222,0.28037383177569797,11000.0,269896.0,15.0,11014.466666666669,24.648745098293183,11485.866666666667,169.68132222230915,7.133333333333334,0.1333333333333333,4.066666666666666,0.06666666666666667,4.066666666666666,0.06666666666666667,2.066666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.980461422,4.8194468790011276E-8,12000.0,0.9933367071524967,0.2911811245416137,0.99,0.2832568807339425,0.9882273797510932,0.012145748987854251,0.408248290463863,0.16666666666666666,-0.008403361344536875,12000.0,271016.0,15.0,12011.333333333334,19.574440736805958,11560.533333333335,162.51446431352218,7.133333333333334,0.1333333333333333,4.066666666666666,0.06666666666666667,4.066666666666666,0.06666666666666667,2.066666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.032777146,5.186243055870964E-8,13000.0,0.9932383829664796,0.24282637841822133,0.992,-0.0017530678687651396,0.9933367071524967,0.007049345417925478,0.0,0.0,0.1746031746031717,13000.0,271016.0,15.0,13006.666666666666,18.024234127224805,11560.533333333335,162.51446431352218,7.133333333333334,0.1333333333333333,4.066666666666666,0.06666666666666667,4.066666666666666,0.06666666666666667,2.066666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
