learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.084851796,5.143743769162396E-7,1000.0,0.5,0.0,0.989,0.0,0.0,0.011122345803842264,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.501692585,1.6235873857452428E-6,2000.0,0.760394187886635,0.3764436862449451,0.948,0.09227385399573904,0.5,0.007049345417925478,0.6386352518411896,0.42857142857142855,-4.777777777777778,2000.0,1774064.0
3000.0,5.602300276,5.605667784625482E-6,3000.0,0.6878787878787879,0.3404066003561016,0.912,0.06661009758167227,0.760394187886635,0.010101010101010102,0.6056968605405569,0.4,-8.428571428571454,3000.0,3772832.0
4000.0,7.855853517,8.067365366447105E-6,4000.0,0.6248021867357215,0.3046274613808543,0.837,0.010682204418548091,0.6878787878787879,0.007049345417925478,0.4901563025997692,0.2857142857142857,-17.628571428571355,4000.0,4222496.0
5000.0,10.07680268,1.269777655057701E-5,5000.0,0.790585301223599,0.5576094714865893,0.856,0.08933382239479955,0.6248021867357215,0.013171225937183385,0.7707840291806354,0.6923076923076923,-13.999999999999918,5000.0,348752.0
6000.0,12.094324213,1.981168210489827E-5,6000.0,0.7486692562221263,0.2729898600858859,0.898,0.006254749517741581,0.790585301223599,0.007049345417925478,0.35922998260960487,0.14285714285714285,-10.127272727272738,6000.0,1.2791504E7
7000.0,14.403841136,3.671542656954983E-5,7000.0,0.6313004032258065,0.30364149890527437,0.878,0.017016887972154206,0.7486692562221263,0.008064516129032258,0.46985756249342,0.25,-12.555555555555543,7000.0,2.6886784E7
8000.0,17.301155814,6.79826361868206E-5,8000.0,0.6509854697165876,0.21942606204183412,0.95,0.06265231899816198,0.6313004032258065,0.007049345417925478,0.5222705318281468,0.2857142857142857,-4.714285714285696,8000.0,3.424592E7
9000.0,20.092654171,9.96492360411756E-5,9000.0,0.7869716335912098,0.4457913770352989,0.938,0.10017125772836727,0.6509854697165876,0.009081735620585268,0.6472101980619508,0.4444444444444444,-6.063291139240516,9000.0,4.384968E7
10000.0,23.095810647,1.3076243197700953E-4,10000.0,0.7363728283849619,0.5616084352822514,0.884,0.08935328382346017,0.7869716335912098,0.011122345803842264,0.7511978362400938,0.6363636363636364,-11.888888888888877,10000.0,3.3136432E7
11000.0,25.493503188,1.6109459566957427E-4,11000.0,0.7834095528455285,0.5315056696909415,0.878,0.103152199482475,0.7363728283849619,0.016260162601626018,0.7048125075023196,0.5625,-11.660377358490528,11000.0,4.0910368E7
12000.0,28.175398868,2.0022935963993872E-4,12000.0,0.504914314516129,0.19927590958272168,0.889,0.002874595759972132,0.7834095528455285,0.008064516129032258,0.3345073411605829,0.125,-10.684210526315846,12000.0,5.6405728E7
13000.0,31.404989281,2.5398885509073235E-4,13000.0,0.5375296108291032,0.2556765079454238,0.872,0.01863068312504741,0.504914314516129,0.015228426395939087,0.4200555921632448,0.2,-11.89922480620155,13000.0,6.434424E7
14000.0,34.855306552,3.253418774494581E-4,14000.0,0.5509697582498392,0.25657863752018933,0.893,0.03391238397919833,0.5375296108291032,0.011122345803842264,0.49540586329853725,0.2727272727272727,-9.699999999999989,14000.0,7.9938448E7
15000.0,39.087022586,4.086618138061316E-4,15000.0,0.5567888776768696,0.1867194709309233,0.911,0.005853179035788943,0.5509697582498392,0.009081735620585268,0.3194203742570687,0.1111111111111111,-7.959731543624144,15000.0,7.6108784E7
16000.0,43.112630449,4.799112102998129E-4,16000.0,0.585345405767941,0.30982119776442685,0.944,0.056476614098935465,0.5567888776768696,0.006036217303822937,0.5620457029756569,0.3333333333333333,-4.7806451612903516,16000.0,6.8415056E7
17000.0,46.822873691,5.604253552658323E-4,17000.0,0.7229175658178679,0.5288582477951511,0.925,0.08465143526655014,0.585345405767941,0.007049345417925478,0.7280080247320313,0.5714285714285714,-6.870370370370353,17000.0,8.3882656E7
18000.0,51.018159022,6.494365059757405E-4,18000.0,0.6494472361809045,0.2590525989686518,0.897,0.009615384615385683,0.7229175658178679,0.005025125628140704,0.42438249553034446,0.2,-10.101796407185565,18000.0,8.2013488E7
