learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.207431453,7.548405143326768E-9,1000.0,0.7367405092379814,0.04055934731541702,0.989,0.0,0.0,0.011122345803842264,0.0,0.0,0.0,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.324726813,1.181676891317591E-8,2000.0,0.6347288159976981,0.012508572866941532,0.993,0.0,0.7367405092379814,0.007049345417925478,0.0,0.0,0.2222222222222222,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.397340212,1.4459161600296696E-8,3000.0,0.6278787878787879,0.00651676897061613,0.99,0.0,0.6347288159976981,0.010101010101010102,0.0,0.0,-0.07142857142857567,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.527736843,2.147172350877482E-8,4000.0,0.5717162998129766,0.005597421154440733,0.993,0.0,0.6278787878787879,0.007049345417925478,0.0,0.0,0.20000000000000254,4000.0,207880.0,15.0,3983.5333333333333,15.59727285889813,7384.533333333334,299.18743713545615,4.466666666666666,0.2363747361141115,2.733333333333333,0.11818736805705575,2.733333333333333,0.11818736805705575,1.733333333333333,0.11818736805705576,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.602013429,2.568666122784424E-8,5000.0,0.7997038422570337,0.08367291391652154,0.987,0.0,0.5717162998129766,0.013171225937183385,0.0,0.0,-0.3541666666666604,5000.0,219352.0,15.0,4983.866666666667,16.370666759748385,8145.066666666666,239.03025245207266,4.7333333333333325,0.18170270503179917,2.8666666666666663,0.09085135251589958,2.8666666666666663,0.09085135251589958,1.8666666666666665,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.664695402,2.928009829538771E-8,6000.0,0.5512875845202129,0.013484893075942273,0.993,0.0,0.7997038422570337,0.007049345417925478,0.0,0.0,0.23636363636363483,6000.0,221600.0,15.0,5980.666666666666,20.516350428880724,8294.933333333332,256.46964856473875,4.7333333333333325,0.18170270503179917,2.8666666666666663,0.09085135251589958,2.8666666666666663,0.09085135251589958,1.8666666666666665,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.729375297,3.3072539238900775E-8,7000.0,0.8208165322580645,0.017133058376170622,0.992,0.0,0.5512875845202129,0.008064516129032258,0.0,0.0,0.1111111111111111,7000.0,226648.0,15.0,6977.400000000001,20.572473518433963,8628.266666666668,54.22979910631339,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.797899323,3.7347350660148597E-8,8000.0,0.3954826643648396,0.0011072745563956662,0.993,0.0,0.8208165322580645,0.007049345417925478,0.0,0.0,0.20000000000000254,8000.0,241144.0,15.0,7989.533333333332,23.421168013382918,9586.666666666668,298.6217653322655,5.666666666666667,0.2519763153394847,3.3333333333333335,0.12598815766974236,3.3333333333333335,0.12598815766974236,2.2,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.87442919,4.26940088244093E-8,9000.0,0.8017714990469783,0.05109786938552696,0.991,0.0,0.3954826643648396,0.009081735620585268,0.0,0.0,-0.02531645569620397,9000.0,270056.0,15.0,8997.666666666668,24.060175882400852,11498.133333333333,274.46331816086644,6.999999999999999,0.19518001458970666,3.9999999999999996,0.09759000729485333,3.9999999999999996,0.09759000729485333,2.8666666666666663,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.947820264,4.811468008069322E-8,10000.0,0.8424487544811105,0.04522289996707019,0.989,0.0,0.8017714990469783,0.011122345803842264,0.0,0.0,-0.2222222222222222,10000.0,285504.0,15.0,10008.4,25.97284296007217,12518.400000000001,325.3535044488423,7.8,0.26186146828319085,4.4,0.13093073414159545,4.4,0.13093073414159545,3.2,0.20000000000000004,0.0,0.0,0.0,0.0,1.0,0.0
