learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.060847749,5.029930373041208E-7,1000.0,0.5,0.0,0.907,0.0,0.0,0.10253583241455347,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.429867565,2.100056112609344E-6,2000.0,0.7481139937872736,0.46806270047911336,0.912,0.49787166056124277,0.5,0.11482720178372352,0.7019718276066865,0.5145631067961165,0.10204081632653073,2000.0,2605888.0
3000.0,5.729873523,6.041737625172994E-6,3000.0,0.982633679169992,0.8024129940311788,0.906,0.639335456394122,0.7481139937872736,0.11731843575418995,0.9421014811851696,0.9904761904761905,0.06312292358804063,3000.0,3298272.0
4000.0,7.847274278,1.058958645318992E-5,4000.0,0.9885989832535885,0.7885415852209047,0.907,0.6078332152616134,0.982633679169992,0.09649122807017543,0.9476425042121495,1.0,0.04370179948586096,4000.0,8302432.0
5000.0,10.089894353,1.6020306220526342E-5,5000.0,0.9870695506584009,0.8209014249532126,0.925,0.6836670996912593,0.9885989832535885,0.10864745011086474,0.9575235982688286,1.0,0.2299794661190973,5000.0,9360608.0
6000.0,12.197287042,2.2154507190505152E-5,6000.0,0.9908706276302095,0.7978575012240054,0.917,0.6591711699873525,0.9870695506584009,0.10864745011086474,0.9528810322599555,1.0,0.14871794871794938,6000.0,1.1251616E7
7000.0,14.247292427,3.4894342642139835E-5,7000.0,0.9907734391641162,0.8109361729520794,0.927,0.691910324802485,0.9908706276302095,0.10987791342952276,0.9586338781409954,1.0,0.2529239766081879,7000.0,2.2241392E7
8000.0,17.10614925,6.407041492387812E-5,8000.0,0.9888268156424581,0.8256778617735171,0.921,0.6844543856846144,0.9907734391641162,0.11731843575418995,0.9548465026251177,1.0,0.19898605830164776,8000.0,2.8944512E7
9000.0,19.953730774,9.288117278627409E-5,9000.0,0.9865795470282384,0.7820136721231697,0.925,0.6603445464920386,0.9888268156424581,0.09529025191675794,0.9580465704266381,1.0,0.22945205479452138,9000.0,3.9109376E7
10000.0,23.346519744,1.1726042766419507E-4,10000.0,0.9850663942798774,0.801526638558274,0.929,0.7173341826578552,0.9865795470282384,0.12359550561797752,0.9592834404393331,1.0,0.2799188640973637,10000.0,2.777576E7
11000.0,25.819620563,1.4595624705926298E-4,11000.0,0.9862663468935245,0.7671703302500593,0.907,0.6303127633524669,0.9850663942798774,0.10864745011086474,0.9470458210349114,1.0,0.05627306273062708,11000.0,2.4855168E7
12000.0,28.460462003,1.728857848692091E-4,12000.0,0.9895769068415755,0.8008028794762503,0.918,0.6718556164712475,0.9862663468935245,0.11482720178372352,0.9531968156963884,1.0,0.17101937657961275,12000.0,3.9417488E7
13000.0,31.576759438,2.186501063535201E-4,13000.0,0.9892406451797519,0.8179801290333517,0.926,0.7218735201040345,0.9895769068415755,0.13507377979568672,0.9570812610719736,1.0,0.263399693721287,13000.0,5.2774064E7
14000.0,35.485144966,2.8834304668178603E-4,14000.0,0.9827375020760671,0.797623616590771,0.902,0.636369033483733,0.9892406451797519,0.1210762331838565,0.9434694108173206,1.0,0.029702970297029736,14000.0,6.8927696E7
15000.0,39.233735514,3.537945896417336E-4,15000.0,0.9945703074059584,0.7904332866980632,0.924,0.6703763781303403,0.9827375020760671,0.10253583241455347,0.9571871691244581,1.0,0.24353019243530263,15000.0,5.8826528E7
16000.0,42.608465401,4.197343960338179E-4,16000.0,0.9843008397225265,0.7815724113557785,0.914,0.6259210606442858,0.9945703074059584,0.09529025191675794,0.9517379042231946,1.0,0.136762860727729,16000.0,7.5528528E7
17000.0,46.638876973,4.878961094770349E-4,17000.0,0.9928327802359882,0.7894929109005144,0.916,0.6520874751491057,0.9843008397225265,0.10619469026548672,0.9524072899855918,1.0,0.15502958579881657,17000.0,6.5372256E7
18000.0,50.245193257,5.649571604561651E-4,18000.0,0.9868093368789835,0.77869380570683,0.918,0.6773482749937045,0.9928327802359882,0.1185682326621924,0.9530358885801207,1.0,0.1781737193763921,18000.0,5.8833584E7
19000.0,53.980812116,6.384167149596097E-4,19000.0,0.9853319713993871,0.7973247499879486,0.907,0.6534247596333012,0.9868093368789835,0.12359550561797752,0.9463115860949437,1.0,0.07292759706191038,19000.0,7.601304E7
20000.0,57.854438531,6.97377800431937E-4,20000.0,0.9905946100727981,0.8240928987426998,0.92,0.6740521027713722,0.9853319713993871,0.11234705228031146,0.9544696096877967,1.0,0.2027902341803695,20000.0,5.8836944E7
21000.0,61.383621952,7.666563984495512E-4,21000.0,0.9855362614913177,0.7870169432065974,0.916,0.6785550283177713,0.9905946100727981,0.12359550561797752,0.9516396258711014,1.0,0.16674539442607486,21000.0,5.8840304E7
22000.0,65.10909316,8.39886610741712E-4,22000.0,0.9874882977063505,0.8175306580126649,0.928,0.723485313997788,0.9855362614913177,0.13122171945701358,0.958411204128528,1.0,0.29064039408867065,22000.0,7.5982128E7
23000.0,69.061886105,9.000595744007712E-4,23000.0,0.9879691911642584,0.7934137606985112,0.931,0.7203851390780006,0.9874882977063505,0.1210762331838565,0.9605445017854789,1.0,0.32208457923964146,23000.0,5.8843664E7
24000.0,72.525893374,9.678582162362596E-4,24000.0,0.9902401364306784,0.7846789414626067,0.918,0.6580825939021951,0.9879691911642584,0.10619469026548672,0.9535680549379945,1.0,0.19244973327862142,24000.0,7.5656208E7
25000.0,76.601204268,0.0010401183268974755,25000.0,0.9885863654957049,0.8109684406532373,0.922,0.700959230775129,0.9902401364306784,0.1273957158962796,0.9550199653201447,1.0,0.23529411764705907,25000.0,6.8539392E7
26000.0,80.417290337,0.0011218024888644718,26000.0,0.9883406764649828,0.7752259185029642,0.928,0.6950987117920576,0.9885863654957049,0.10987791342952276,0.9592125886543995,1.0,0.2933182332955835,26000.0,8.1661872E7
27000.0,84.767784028,0.0012324848251954756,27000.0,0.9844497607655502,0.7744197739502765,0.901,0.5910577971646674,0.9883406764649828,0.09649122807017543,0.9441649053110651,1.0,0.023383266350018136,27000.0,8.1665232E7
28000.0,89.250917882,0.0013467747376722278,28000.0,0.9898777777777777,0.7850794985748862,0.92,0.6721311475409838,0.9844497607655502,0.1111111111111111,0.9545214042184236,1.0,0.21043355657384594,28000.0,9.8543632E7
29000.0,93.897357704,0.0014552002142798632,29000.0,0.98699536990325,0.7788618624118752,0.908,0.6351841130612019,0.9898777777777777,0.10987791342952276,0.9475712279108541,1.0,0.09128065395095394,29000.0,9.0201424E7
30000.0,98.191944772,0.0015459387939307685,30000.0,0.9891849826899861,0.7972375860670554,0.925,0.7098780714241505,0.98699536990325,0.1273957158962796,0.9567890683467172,1.0,0.262053132174484,30000.0,8.1671952E7
31000.0,102.071071287,0.001644705127663274,31000.0,0.9884959777820341,0.7981183536175004,0.929,0.6844556637986207,0.9891849826899861,0.1013215859030837,0.960107372849975,1.0,0.29926774912448323,31000.0,8.1675312E7
32000.0,106.427651008,0.0017556502270145778,32000.0,0.9889035103318278,0.7832800400063022,0.935,0.7066945833258129,0.9884959777820341,0.10253583241455347,0.9635015157710205,1.0,0.35683364254792915,32000.0,8.1678672E7
33000.0,110.79805329,0.0018671000490424372,33000.0,0.9842178878622011,0.7817531100492832,0.924,0.686269329524533,0.9889035103318278,0.11234705228031146,0.9567975878035523,1.0,0.24797601199400351,33000.0,9.8573536E7
34000.0,115.618621111,0.0019710751773615305,34000.0,0.9901225740551584,0.8021988926699891,0.923,0.6990541702493553,0.9842178878622011,0.12359550561797752,0.9557631223621341,1.0,0.24005805515239517,34000.0,8.3374576E7
35000.0,119.437660765,0.002051779609411042,35000.0,0.987551510989011,0.7896242560932942,0.913,0.6591870632110064,0.9901225740551584,0.11607142857142858,0.9502114426348937,1.0,0.14201183431952735,35000.0,8.1685616E7
36000.0,123.136120716,0.0021460693389744297,36000.0,0.9894729761544412,0.8003106693709989,0.924,0.6824733653645291,0.987551510989011,0.10987791342952276,0.9568956466508541,1.0,0.25000000000000083,36000.0,8.1688976E7
37000.0,127.089339472,0.0022468910833473178,37000.0,0.9841518078392933,0.7649291851877364,0.905,0.6309361014420686,0.9894729761544412,0.11234705228031146,0.9456886538567386,1.0,0.06241664443851759,37000.0,9.858384E7
38000.0,131.323676679,0.002351797285760078,38000.0,0.9909601634320735,0.8078716596671833,0.93,0.7204472843450481,0.9841518078392933,0.12359550561797752,0.9598689049066761,1.0,0.31070225447007027,38000.0,9.5767488E7
39000.0,135.724856803,0.0024448153163308707,39000.0,0.9847199358406146,0.765905649078659,0.9,0.6251199616122841,0.9909601634320735,0.1185682326621924,0.9385480718756374,0.9905660377358491,0.016393442622951195,39000.0,8.169592E7
40000.0,139.942598614,0.002548334334451831,40000.0,0.9863569321533924,0.7877062696279297,0.92,0.6641590542718969,0.9847199358406146,0.10619469026548672,0.9547274086244518,1.0,0.21201674464417652,40000.0,9.2834432E7
41000.0,144.454971144,0.0026762158546446853,41000.0,0.9852869352869353,0.7895470318085326,0.916,0.6389891696750905,0.9863569321533924,0.0989010989010989,0.9527288741779099,1.0,0.17032040472175397,41000.0,9.2837792E7
42000.0,149.143899231,0.002809145012258175,42000.0,0.9888072208389197,0.7738454006744837,0.92,0.6556948078777032,0.9852869352869353,0.1013215859030837,0.9549315541585969,1.0,0.20810747112891856,42000.0,9.2841152E7
43000.0,153.797198247,0.002941345619162156,43000.0,0.9868304419399772,0.7830160997033595,0.917,0.6744229833838044,0.9888072208389197,0.1185682326621924,0.9524488630309966,1.0,0.17935157507473043,43000.0,1.09818336E8
44000.0,158.733226438,0.003079657698946973,44000.0,0.986225294801528,0.7843904059179986,0.919,0.6838111298482294,0.9868304419399772,0.1210762331838565,0.953516032960174,1.0,0.20035898586493175,44000.0,1.08314064E8
45000.0,163.73604,0.0032059293589491817,45000.0,0.9879258736084485,0.7863179045962116,0.909,0.6379982496618666,0.986225294801528,0.10987791342952276,0.9481566905727732,1.0,0.1011852502194913,45000.0,9.7564976E7
46000.0,168.289442093,0.003315305569893477,46000.0,0.9885597088356984,0.804099794205721,0.91,0.6280407667319663,0.9879258736084485,0.10253583241455347,0.9490899720693978,1.0,0.10948591094859153,46000.0,9.2851568E7
47000.0,172.504817655,0.0034178428666557046,47000.0,0.9890359208138112,0.7971533396184721,0.909,0.6516559739086498,0.9885597088356984,0.1185682326621924,0.9477395690946646,1.0,0.10052576235541613,47000.0,9.2854928E7
48000.0,176.732828017,0.003538012072335145,48000.0,0.9902424846371035,0.7780922546434295,0.928,0.7109826589595377,0.9890359208138112,0.1210762331838565,0.9587922148259039,1.0,0.28932757557063604,48000.0,9.2858288E7
49000.0,180.941883102,0.003657448985139961,49000.0,0.9880010503362218,0.8236852076632439,0.928,0.6912706784326844,0.9902424846371035,0.10741971207087486,0.9593048424410757,1.0,0.28870967741935527,49000.0,9.2861648E7
50000.0,185.180248029,0.0037779740149828673,50000.0,0.9877886885760901,0.7820551630874355,0.909,0.6606452960217187,0.9880010503362218,0.12485939257592801,0.9474374888485205,1.0,0.10274107671070784,50000.0,1.0951888E8
51000.0,189.800976389,0.003929008840880623,51000.0,0.9869000166085368,0.778182409439941,0.921,0.6897190975931631,0.9877886885760901,0.1210762331838565,0.9546910377595861,1.0,0.22205058891677962,51000.0,1.20008496E8
52000.0,195.261219073,0.004116202217318294,52000.0,0.9935347580447065,0.7925881171664976,0.94,0.7597597597597597,0.9869000166085368,0.12994350282485875,0.9655068046526178,1.0,0.41065357007933434,52000.0,1.1539784E8
53000.0,200.456600412,0.004293810920587131,53000.0,0.9917879716529401,0.7983078117065748,0.908,0.6174827035657267,0.9935347580447065,0.1013215859030837,0.9433978594233335,0.9891304347826086,0.09468993687337612,53000.0,1.154012E8
54000.0,205.673353978,0.0044725769564621445,54000.0,0.9846269216347957,0.7845710364439284,0.936,0.7410479465911392,0.9917879716529401,0.12485939257592801,0.9633322370164619,1.0,0.3712934327815176,54000.0,1.1540456E8
55000.0,210.882628816,0.004650935928593702,55000.0,0.9895582932692307,0.748628203803931,0.91,0.650686207538968,0.9846269216347957,0.11607142857142858,0.94844798034925,1.0,0.11622924477771837,55000.0,1.1540792E8
56000.0,216.127357579,0.0048303569868837085,56000.0,0.9854893767624527,0.7864287627435288,0.915,0.6511990545442611,0.9895582932692307,0.10741971207087486,0.9517716766504326,1.0,0.16461916461916504,56000.0,1.1541128E8
57000.0,221.366334048,0.005010099038685263,57000.0,0.9881818181818182,0.8182427361118801,0.921,0.7087450228579856,0.9854893767624527,0.13636363636363635,0.9540583172570075,1.0,0.22602268820900726,57000.0,1.1541464E8
58000.0,226.560489924,0.0051876441767111465,58000.0,0.984993894993895,0.7550051001600854,0.909,0.6183206106870229,0.9881818181818182,0.0989010989010989,0.9486832980505138,1.0,0.10663507109004727,58000.0,1.15418E8
59000.0,231.669370329,0.005362540013896538,59000.0,0.9885693698414778,0.8173139454952629,0.935,0.7233241959375482,0.984993894993895,0.11358574610244988,0.96312871751565,1.0,0.36189683860233,59000.0,1.1542136E8
60000.0,236.900885933,0.00554168321875141,60000.0,0.9864247081043956,0.7873726790565702,0.931,0.7137119527334287,0.9885693698414778,0.11607142857142858,0.9607242431772872,1.0,0.32286555446516235,60000.0,1.1542472E8
61000.0,242.02952747,0.005717570286650657,61000.0,0.9884342331096895,0.7756524812113305,0.921,0.7027393136664661,0.9864247081043956,0.13122171945701358,0.9542711795726077,1.0,0.22648475120385286,61000.0,1.1542808E8
62000.0,247.208166379,0.005894933890646309,62000.0,0.9856664006384677,0.8069955095984028,0.923,0.6904895891952733,0.9884342331096895,0.11731843575418995,0.9560159415234285,1.0,0.2464088397790059,62000.0,1.1543144E8
63000.0,252.452276201,0.006074455027489846,63000.0,0.9823015671978766,0.7823436856157236,0.92,0.6740521027713722,0.9856664006384677,0.11234705228031146,0.9544696096877967,1.0,0.2169049098819143,63000.0,1.154348E8
64000.0,257.717609871,0.006254752147939826,64000.0,0.9867952506196491,0.7935437445530703,0.911,0.6515924963201905,0.9823015671978766,0.11482720178372352,0.9490945047998375,1.0,0.12891879492277158,64000.0,1.1543816E8
65000.0,262.9370558,0.00643341581089315,65000.0,0.9886111111111111,0.7681928435167265,0.928,0.6969696969696972,0.9867952506196491,0.1111111111111111,0.9591663046625439,1.0,0.29507455942159994,65000.0,1.1544152E8
66000.0,268.033094545,0.006608011564692183,66000.0,0.9927891911125996,0.8115957790216252,0.933,0.725143991729706,0.9886111111111111,0.11982082866741321,0.9617546487952545,1.0,0.34450044470797553,66000.0,1.1544488E8
67000.0,273.128476991,0.006782307129559738,67000.0,0.9880231083556432,0.7882116810080562,0.916,0.6478518965690716,0.9927891911125996,0.10375275938189846,0.9525149700723451,1.0,0.17719298245614096,67000.0,1.1544824E8
68000.0,278.395046958,0.006958339427186259,68000.0,0.9863214352580976,0.7981797571014873,0.912,0.6505468148136382,0.9880231083556432,0.11234705228031146,0.9497965357903411,1.0,0.13787638668779767,68000.0,1.28414592E8
69000.0,283.93831439,0.007142496837979508,69000.0,0.9874998623332856,0.7906999408986445,0.916,0.6621485741865426,0.9863214352580976,0.11234705228031146,0.9521359396685191,1.0,0.17693836978131258,69000.0,1.28417952E8
70000.0,289.273914792,0.007319759810795445,70000.0,0.9886568986568987,0.7955221521776537,0.942,0.7255866767600301,0.9874998623332856,0.0989010989010989,0.96760722210189,1.0,0.4307347167694889,70000.0,1.28421312E8
71000.0,294.66040989,0.007498718324204722,71000.0,0.9872465555788059,0.799694257067729,0.922,0.6801207339178652,0.9886568986568987,0.11234705228031146,0.955634307631395,1.0,0.23434259643301594,71000.0,1.28424672E8
72000.0,300.010129528,0.007676459676275076,72000.0,0.9880036002633028,0.7778867388827774,0.925,0.6457719338018593,0.9872465555788059,0.088139281828074,0.9583264338746451,1.0,0.2616899097621007,72000.0,1.28428032E8
73000.0,305.428249234,0.007856478290803624,73000.0,0.9889333333333333,0.7836685510097736,0.916,0.6601941747572818,0.9880036002633028,0.1111111111111111,0.9521904571390466,1.0,0.17291610466684645,73000.0,1.28431392E8
74000.0,310.810193654,0.008035299649028127,74000.0,0.9929147187748741,0.8174582931458882,0.929,0.6983088297781934,0.9889333333333333,0.10987791342952276,0.9597909502316136,1.0,0.3006788233728206,74000.0,1.28434752E8
75000.0,316.204853534,0.008214548182412936,75000.0,0.9830309063758541,0.7798040181612599,0.925,0.6836670996912593,0.9929147187748741,0.10864745011086474,0.9575235982688286,1.0,0.26093811588490395,75000.0,1.28438112E8
76000.0,321.597656043,0.00839373968848262,76000.0,0.9887347893086774,0.7878390252081574,0.924,0.6450057920107622,0.9830309063758541,0.08932461873638345,0.9577115061311704,1.0,0.24918757311841966,76000.0,1.28441472E8
77000.0,326.818858591,0.00857550424193646,77000.0,0.9827676435406698,0.7668270894375273,0.901,0.5910577971646674,0.9887347893086774,0.09649122807017543,0.9441649053110651,1.0,0.020305873281069572,77000.0,1.3292112E8
78000.0,331.861084128,0.008769585124806077,78000.0,0.9940618523832297,0.7958316311175643,0.928,0.6583532627263412,0.9827676435406698,0.08932461873638345,0.9599836599916586,1.0,0.2857687905379628,78000.0,1.32207584E8
79000.0,337.022965874,0.008968166266771521,79000.0,0.99272558427488,0.8394867593504225,0.937,0.6776504297994271,0.9940618523832297,0.08342361863488625,0.9652690360857962,1.0,0.3731738035264492,79000.0,1.32210944E8
80000.0,342.417986385,0.009175491319621176,80000.0,0.9871702580345859,0.7681842876443048,0.909,0.5535451459073338,0.99272558427488,0.07181136120042872,0.9499816662077016,1.0,0.09079555389034621,80000.0,1.32214304E8
81000.0,347.986772686,0.009365970564873623,81000.0,0.9908405172413793,0.8125600730453955,0.92,0.6041798606713112,0.9871702580345859,0.07758620689655173,0.9559252603882146,1.0,0.19792053471964347,81000.0,1.32217664E8
82000.0,353.338519795,0.009549030678975083,82000.0,0.9908105842911877,0.7852282974721554,0.92,0.6041798606713112,0.9908405172413793,0.07758620689655173,0.9559252603882146,1.0,0.19519077413814323,82000.0,1.32221024E8
83000.0,358.563635989,0.009727763839197672,83000.0,0.9886648439280018,0.7782473723275444,0.923,0.6257485029940123,0.9908105842911877,0.08225108225108226,0.9574271077563381,1.0,0.2231676188160937,83000.0,1.32224384E8
84000.0,363.988689833,0.00991334089082653,84000.0,0.985888155974549,0.7901193525932676,0.928,0.6370821404088876,0.9886648439280018,0.07991360691144708,0.9603365140940835,1.0,0.2714130827611139,84000.0,1.32227744E8
85000.0,369.504031023,0.01010201123301713,85000.0,0.9842231842231842,0.7713553152085694,0.91,0.5110024449877757,0.985888155974549,0.0582010582010582,0.9511897312113419,1.0,0.08449018669219713,85000.0,1.32231104E8
86000.0,375.064869076,0.01029224277836145,86000.0,0.9886312046004843,0.7894585442536803,0.911,0.5182940030309593,0.9842231842231842,0.059322033898305086,0.9516934059785488,1.0,0.09010936757013804,86000.0,1.32234464E8
87000.0,380.543921236,0.010482687877525309,87000.0,0.9893704486727742,0.7554380148106449,0.925,0.5563915111079568,0.9886312046004843,0.05708245243128964,0.9595409402769917,1.0,0.22927002126151674,87000.0,1.34358992E8
88000.0,385.885672384,0.01068392994502411,88000.0,0.9869397778645979,0.7832013376647026,0.918,0.5448338643604919,0.9893704486727742,0.060445387062566275,0.9555330859059091,1.0,0.15334975947436366,88000.0,1.32244768E8
89000.0,391.193618266,0.010887887432527266,89000.0,0.9888582021791767,0.7963010800379714,0.911,0.5182940030309593,0.9869397778645979,0.059322033898305086,0.9516934059785488,1.0,0.07669891595757153,89000.0,1.32248128E8
90000.0,396.318471572,0.01107367563115869,90000.0,0.9874520397776212,0.7861928156741356,0.919,0.5356037151702789,0.9888582021791767,0.05708245243128964,0.9562302658633356,1.0,0.15556585196339684,90000.0,1.3401728E8
91000.0,401.590488206,0.011256462960991434,91000.0,0.9817245465317656,0.7735750829028747,0.912,0.4751657998950335,0.9874520397776212,0.04821802935010482,0.9527627267148893,1.0,0.07731305449936632,91000.0,1.3402064E8
92000.0,406.993092328,0.011443782616492338,92000.0,0.9836174924624457,0.7401159977808605,0.913,0.4393318382182358,0.9817245465317656,0.04058272632674298,0.9536609999415796,1.0,0.0818995182381279,92000.0,1.34024E8
93000.0,412.322642488,0.011628573970006025,93000.0,0.9852984337895888,0.782556233733106,0.917,0.4520873491589872,0.9836174924624457,0.04058272632674298,0.9558407993567132,1.0,0.11853374443302585,93000.0,1.3402736E8
94000.0,417.756941436,0.011817001999190068,94000.0,0.983806243119429,0.7386744660991224,0.935,0.44703440296729885,0.9852984337895888,0.029866117404737384,0.9659496375943686,1.0,0.30457546096061944,94000.0,1.3403072E8
95000.0,423.228341967,0.01200672123877209,95000.0,0.9904108301212748,0.8088702029813515,0.917,0.4127801675345256,0.983806243119429,0.03412616339193381,0.9561210846113946,1.0,0.10590769928563326,95000.0,1.3403408E8
96000.0,428.378643144,0.012198432483833649,96000.0,0.9819591416813639,0.7680537943367317,0.91,0.3543388429752072,0.9904108301212748,0.02880658436213992,0.9525793444156804,1.0,0.02339776195320535,96000.0,1.34041024E8
97000.0,433.839128989,0.012410124255918692,97000.0,0.9833882619261627,0.7815492045779499,0.918,0.40143363942946414,0.9819591416813639,0.03199174406604747,0.9567531954410103,1.0,0.10407749493129129,97000.0,1.34044384E8
98000.0,439.324305436,0.012622497646854953,98000.0,0.9881122448979592,0.7792401759836793,0.917,0.30181695827725524,0.9833882619261627,0.02040816326530612,0.9567163228716126,1.0,0.08586199145875485,98000.0,1.34047744E8
99000.0,444.638869814,0.012806802043929555,99000.0,0.9878901949643099,0.7799110666277218,0.92,0.39245735810082233,0.9881122448979592,0.029866117404737384,0.9579199917569426,1.0,0.11280385347821215,99000.0,1.34051104E8
100000.0,450.122310342,0.012996967683074885,100000.0,0.9871831030052333,0.7528109441328159,0.928,0.45067521171892877,0.9878901949643099,0.03412616339193381,0.9620514103912434,1.0,0.19642857142857206,100000.0,1.34054464E8
101000.0,455.603551908,0.013187061826733222,101000.0,0.9837437630774183,0.7568135831287399,0.915,0.28600228479268924,0.9871831030052333,0.019367991845056064,0.955695412091724,1.0,0.0438801648290456,101000.0,1.34057824E8
102000.0,461.073758236,0.013376778013794749,102000.0,0.9860709358729028,0.763629167163405,0.933,0.3845305897483008,0.9837437630774183,0.02354145342886387,0.9651024415160632,1.0,0.24083536991779683,102000.0,1.34061184E8
103000.0,466.336554739,0.013559305445117707,103000.0,0.9906506147540983,0.7796242223396799,0.928,0.37603993344426023,0.9860709358729028,0.02459016393442623,0.962408181696686,1.0,0.17837358741413742,103000.0,1.34064544E8
104000.0,471.741203128,0.013746757365633825,104000.0,0.9878931885041865,0.7725101887000517,0.923,0.2973170286548645,0.9906506147540983,0.018329938900203666,0.9599940597236445,1.0,0.11455108359133137,104000.0,1.34067904E8
105000.0,476.926286969,0.013940164013531936,105000.0,0.9926321138211383,0.7844408673032223,0.925,0.2794558450541851,0.9878931885041865,0.016260162601626018,0.9611349997814449,1.0,0.1307947019867556,105000.0,1.34075072E8
106000.0,482.334874762,0.014149519570099396,106000.0,0.9878172588832488,0.7270912940413994,0.939,0.31244364292154964,0.9926321138211383,0.015228426395939087,0.9685406888664243,1.0,0.28749311294765795,106000.0,1.34078432E8
107000.0,487.839390286,0.01434045500548084,107000.0,0.9920341773841841,0.8258186114662581,0.929,0.3698746849373429,0.9878172588832488,0.02354145342886387,0.9629790012282462,1.0,0.1649813145746321,107000.0,1.34081792E8
108000.0,493.090069796,0.014522590181032654,108000.0,0.9937243852459017,0.8284960022389227,0.921,0.3527561119486138,0.9920341773841841,0.02459016393442623,0.958674802552555,1.0,0.06467879850909936,108000.0,1.34085152E8
109000.0,498.340552265,0.01470472308554109,109000.0,0.9886852229011088,0.80026447616045,0.923,0.2973170286548645,0.9937243852459017,0.018329938900203666,0.9599940597236445,1.0,0.08172866520787796,109000.0,1.34088512E8
110000.0,503.6298063,0.014888205526515213,110000.0,0.9829113079079703,0.7474426526348605,0.917,0.33131384744287945,0.9886852229011088,0.02354145342886387,0.9565803987984514,1.0,0.0036014405762314267,110000.0,1.34091872E8
111000.0,508.768690879,0.015068685941692217,111000.0,0.9906741273647749,0.7837433946241535,0.933,0.4220351264621649,0.9829113079079703,0.02774922918807811,0.9649563729228378,1.0,0.1907508161044624,111000.0,1.35757424E8
112000.0,514.119955672,0.01527269031778038,112000.0,0.9922603064286842,0.8371097099650403,0.933,0.41312497810167836,0.9906741273647749,0.026694045174537988,0.9649930046240263,1.0,0.18576388888888962,112000.0,1.341024E8
113000.0,519.606071871,0.015485202462291158,113000.0,0.9807910956854766,0.743918958073016,0.926,0.2946066001944606,0.9922603064286842,0.017293997965412006,0.9616237539446285,1.0,0.09433553557890195,113000.0,1.3410576E8
114000.0,525.115484653,0.01569889000286512,114000.0,0.9904,0.8268267117144513,0.913,0.3281853281853282,0.9807910956854766,0.02564102564102564,0.9355870226350284,0.96,-0.0712896953985733,114000.0,1.3410912E8
115000.0,530.696643821,0.015892528289443077,115000.0,0.9843654822335025,0.7747770337309897,0.904,0.21741257031058925,0.9904,0.015228426395939087,0.9500200371918425,1.0,-0.1905532190229702,115000.0,1.3411248E8
116000.0,536.073741552,0.016079091339547165,116000.0,0.9805948717948718,0.7358925010445035,0.92,0.35871743486973995,0.9843654822335025,0.02564102564102564,0.9580964032646808,1.0,0.0019359001935905702,116000.0,1.3411584E8
