learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.017786547,4.825758899760868E-7,1000.0,0.5,0.0,0.907,0.0,0.0,0.10253583241455347,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.311736404,2.007628867628264E-6,2000.0,0.7542917195058945,0.4997130602662103,0.903,0.4685164485940344,0.5,0.10375275938189846,0.7273096871065934,0.5638297872340425,-0.03743315508021333,2000.0,2569824.0
3000.0,5.479901943,4.939408118606781E-6,3000.0,0.9884111111111111,0.7888512839531877,0.898,0.6100917431192661,0.7542917195058945,0.1111111111111111,0.941629792788369,1.0,-0.06620209059233416,3000.0,3591040.0
4000.0,7.67505889,9.259859704860578E-6,4000.0,0.9884248006201469,0.7761230187891526,0.901,0.5783430158270443,0.9884111111111111,0.09051254089422028,0.9444782996191454,1.0,-0.07027027027026972,4000.0,7607920.0
5000.0,10.050309846,1.4271856197606703E-5,5000.0,0.9938522150425907,0.7866258815302453,0.91,0.6487695225607044,0.9884248006201469,0.11482720178372352,0.9485070120138621,1.0,0.048625792811839826,5000.0,8156496.0
6000.0,12.377161536,1.9760250985527216E-5,6000.0,0.9912762065569157,0.7930245543141861,0.911,0.6515924963201905,0.9938522150425907,0.11482720178372352,0.9490945047998375,1.0,0.07291666666666675,6000.0,9117568.0
7000.0,14.833573027,3.638168479013901E-5,7000.0,0.9890071902654868,0.7697663367705159,0.902,0.6122681521807939,0.9912762065569157,0.10619469026548672,0.9442419818849309,1.0,-0.020833333333333356,7000.0,1.2535824E7
8000.0,17.43958847,5.021993913405071E-5,8000.0,0.9904921700223713,0.7669096920438385,0.893,0.6092665897372227,0.9890071902654868,0.1185682326621924,0.9382500727978365,1.0,-0.10025706940874078,8000.0,2.0526112E7
9000.0,20.160287466,5.7348758297297445E-5,9000.0,0.9948654132893866,0.778956616842338,0.914,0.6523426446214176,0.9904921700223713,0.10987791342952276,0.9510785979324007,1.0,0.11744583808437892,9000.0,1.0128368E7
10000.0,22.075393731,7.092007899485594E-5,10000.0,0.9906161767148314,0.7806595744845798,0.905,0.6443971971012757,0.9948654132893866,0.1210762331838565,0.9452501033311415,1.0,0.03553299492385845,10000.0,2.7392496E7
11000.0,25.40124405,7.331916288794993E-5,11000.0,0.9917151537573291,0.7772506332936395,0.907,0.6323878189925054,0.9906161767148314,0.10987791342952276,0.9469854032935536,1.0,0.05627306273062708,11000.0,2788336.0
12000.0,27.560422411,8.465015246972424E-5,12000.0,0.9892576473624721,0.7616557091453797,0.926,0.7353608033587723,0.9917151537573291,0.14810562571756603,0.956577327609692,1.0,0.2679307502061008,12000.0,2.0285312E7
13000.0,30.091032557,1.0907715061063955E-4,13000.0,0.9888899185535271,0.765833348668988,0.91,0.6598870825113938,0.9892576473624721,0.122334455667789,0.9481507786158797,1.0,0.11497730711043856,13000.0,1.783688E7
14000.0,32.712023606,1.2219867688870596E-4,14000.0,0.9920798040192659,0.7534338267533902,0.916,0.6750835499443002,0.9888899185535271,0.1210762331838565,0.9517508058376184,1.0,0.17762237762237756,14000.0,1.9351792E7
15000.0,34.655050203,1.4036057607409838E-4,15000.0,0.9874125217227937,0.7570225406099045,0.901,0.6051309050878284,0.9920798040192659,0.10375275938189846,0.9437841261756801,1.0,0.025590551181102816,15000.0,3.6131408E7
16000.0,37.659967272,1.7116377356350985E-4,16000.0,0.9929182378368435,0.7712771576761249,0.916,0.622094854191598,0.9874125217227937,0.09051254089422028,0.9530986027504633,1.0,0.16365899191039204,16000.0,3.2233584E7
17000.0,40.723925284,2.1006619547294517E-4,17000.0,0.9909158785465406,0.7459126510230935,0.896,0.6006267088568706,0.9929182378368435,0.10864745011086474,0.9405852779990074,1.0,-0.03695014662756535,17000.0,4.9079056E7
18000.0,44.136135001,2.63576364601463E-4,18000.0,0.9920851130618056,0.7606827022370756,0.916,0.6559661208541872,0.9909158785465406,0.10987791342952276,0.948002967711356,0.98989898989899,0.16186252771618653,18000.0,5.7379488E7
19000.0,47.887892843,3.3579358351676207E-4,19000.0,0.9907742048414832,0.7708718225060288,0.919,0.6855345911949686,0.9920851130618056,0.122334455667789,0.9534625892455924,1.0,0.19550444328280253,19000.0,7.4406064E7
20000.0,52.162086335,4.0269416973745206E-4,20000.0,0.994317637669593,0.7653956668777607,0.915,0.666797334378675,0.9907742048414832,0.11731843575418995,0.951329560647042,1.0,0.1575817641228942,20000.0,6.0503168E7
21000.0,55.538151772,4.702497404285919E-4,21000.0,0.986865921534911,0.7593415056104461,0.902,0.6165644171779141,0.994317637669593,0.10864745011086474,0.9441146910673169,1.0,0.02741020793950833,21000.0,5.7386544E7
22000.0,58.731207396,5.316911836630153E-4,22000.0,0.990779792990131,0.7613118878288931,0.919,0.6820636814670602,0.986865921534911,0.11982082866741321,0.9535693539947367,1.0,0.19838056680161986,22000.0,7.4380192E7
23000.0,62.112473497,5.818921963473695E-4,23000.0,0.9897478051397974,0.7648512058249262,0.919,0.6631568441539001,0.990779792990131,0.10741971207087486,0.9540959088698888,1.0,0.19698275862069017,23000.0,5.7389904E7
24000.0,65.279008992,6.427047026258991E-4,24000.0,0.989264220100457,0.7554368663991119,0.915,0.6532480459507533,0.9897478051397974,0.10864745011086474,0.9517168521890198,1.0,0.156327543424318,24000.0,7.4235376E7
25000.0,69.166045705,7.128060083043255E-4,25000.0,0.9884977417584737,0.7234549060077856,0.901,0.629961874859834,0.989264220100457,0.1185682326621924,0.9430067576462233,1.0,0.019413629160064103,25000.0,6.9712368E7
26000.0,72.757776583,7.854239168999229E-4,26000.0,0.9924326505902532,0.7656937765570635,0.907,0.6300421672368526,0.9884977417584737,0.10987791342952276,0.9427733680799444,0.98989898989899,0.07815478459778875,26000.0,7.4777008E7
27000.0,76.420144127,8.723102810255207E-4,27000.0,0.9895769068415755,0.7400012182360175,0.909,0.645963989480073,0.9924326505902532,0.11482720178372352,0.9479191551169758,1.0,0.09867938371239904,27000.0,7.681104E7
28000.0,80.179199901,9.612535923381108E-4,28000.0,0.9943555622009569,0.768936182947331,0.924,0.6568662862096367,0.9895769068415755,0.09649122807017543,0.9525408290989308,0.9886363636363636,0.24378109452736388,28000.0,9.14612E7
29000.0,84.617523416,0.001047120079437218,29000.0,0.9842092950717405,0.732778878086488,0.906,0.594995174410589,0.9943555622009569,0.09170305676855896,0.9473013842826133,1.0,0.05935127674258155,29000.0,7.4783728E7
30000.0,88.191795797,0.0011320357695521505,30000.0,0.9916846059685113,0.7727197606131804,0.915,0.6686263196469506,0.9842092950717405,0.1185682326621924,0.9512737251830903,1.0,0.15113182423435423,30000.0,7.4787088E7
31000.0,92.203143034,0.0012273094527174135,31000.0,0.9887888025025402,0.7459271461435736,0.899,0.6063728623318317,0.9916846059685113,0.10741971207087486,0.9424174282561001,1.0,-0.009674298613350615,31000.0,8.77088E7
32000.0,96.359833347,0.0013380756074322174,32000.0,0.9905512536873157,0.7465169074944213,0.913,0.6432437752189746,0.9887888025025402,0.10619469026548672,0.9506634851233651,1.0,0.12918360963403203,32000.0,1.03005824E8
33000.0,101.203698634,0.0014495065249135641,33000.0,0.9904799336215555,0.7473554385982203,0.903,0.6275018816915253,0.9905512536873157,0.11358574610244988,0.9444480836065381,1.0,0.029705971506516996,33000.0,8.8923392E7
34000.0,105.557564096,0.001546587639811136,34000.0,0.9886138195939387,0.7331775380267617,0.907,0.6461348796858593,0.9904799336215555,0.1185682326621924,0.9465585847492041,1.0,0.07136563876651969,34000.0,8.619104E7
35000.0,109.813382822,0.0016599980496107064,35000.0,0.988961098820059,0.7459272429751038,0.917,0.6550749692476481,0.9886138195939387,0.10619469026548672,0.9529878491921944,1.0,0.17023707512139458,35000.0,8.61944E7
36000.0,114.326125933,0.001780420989380833,36000.0,0.9881488220647385,0.7402066428940738,0.901,0.6005745271447936,0.988961098820059,0.1013215859030837,0.9439116288062113,1.0,0.0080712496521019,36000.0,8.619776E7
37000.0,118.87581702,0.001902130054456826,37000.0,0.9886671987230646,0.7521756634360351,0.905,0.6387832699619771,0.9881488220647385,0.11731843575418995,0.9454389184941309,1.0,0.049486208761493185,37000.0,1.0340544E8
38000.0,123.582010819,0.00202021505994831,38000.0,0.988807545382469,0.7498651871135382,0.911,0.6626692339180401,0.9886671987230646,0.122334455667789,0.9487424484261083,1.0,0.11163645915418975,38000.0,9.699008E7
39000.0,128.127945193,0.0021215948043385026,39000.0,0.9926870963657085,0.759235554556066,0.913,0.6629004510159484,0.988807545382469,0.1185682326621924,0.950097133854423,1.0,0.13289036544850577,39000.0,8.6204592E7
40000.0,132.361806128,0.0022252550373278524,40000.0,0.9885004327156761,0.739783751799407,0.902,0.6055925368449013,0.9926870963657085,0.10253583241455347,0.9444318336562856,1.0,0.021467798302546044,40000.0,8.8077904E7
41000.0,136.333486547,0.0023331290127669136,41000.0,0.9919281606296034,0.7561886197610519,0.896,0.6027592950505335,0.9885004327156761,0.10987791342952276,0.9405172497106736,1.0,-0.038733252131546936,41000.0,8.8081264E7
