learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.075731634,5.10050120217378E-7,1000.0,0.5,0.0,0.909,0.0,0.0,0.1001100110011001,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.355485823,1.9671411430460464E-6,2000.0,0.7179773351648352,0.41441550043686776,0.87,0.36209468477663487,0.5,0.11607142857142858,0.6633171924518448,0.4807692307692308,-0.3333333333333329,2000.0,2470592.0
3000.0,5.702356282,5.368662984414125E-6,3000.0,0.979443670592208,0.7487047062070571,0.88,0.570446735395189,0.7179773351648352,0.1185682326621924,0.9189828987475512,0.9716981132075472,-0.1960132890365442,3000.0,4216112.0
4000.0,7.96097089,9.870945011129204E-6,4000.0,0.9846939404778056,0.758759403985964,0.89,0.5616377214725783,0.979443670592208,0.09769484083424808,0.9329842845041184,0.9887640449438202,-0.12820512820512772,4000.0,7705360.0
5000.0,10.406332946,1.5101522864362489E-5,5000.0,0.9797567932124507,0.7037085441057408,0.884,0.5860956689907157,0.9846939404778056,0.122334455667789,0.9214900074625411,0.9724770642201835,-0.1623246492985971,5000.0,8268160.0
6000.0,12.742422679,2.0697263971297202E-5,6000.0,0.982414333976834,0.7316017235382194,0.896,0.6217631655513529,0.9797567932124507,0.12612612612612611,0.9287206901618055,0.9732142857142857,-0.021276595744680687,6000.0,9259136.0
7000.0,15.143326148,3.693169126172573E-5,7000.0,0.9842666666666666,0.7263623611573632,0.886,0.5771513353115727,0.982414333976834,0.1111111111111111,0.9304300081145277,0.99,-0.12236286919831255,7000.0,1.1326992E7
8000.0,17.819582576,5.082097454313359E-5,8000.0,0.9749588451310625,0.7020169081296465,0.882,0.5727857266987196,0.9842666666666666,0.1185682326621924,0.9162747002544886,0.9622641509433962,-0.1554467564259483,8000.0,2.0061088E7
9000.0,20.254130868,5.6318904760415864E-5,9000.0,0.979381443298969,0.7177975286360031,0.897,0.5934702641259215,0.9749588451310625,0.10741971207087486,0.9283077093077177,0.9690721649484536,-0.014223194748359124,9000.0,8729376.0
10000.0,22.394650959,7.045373012291289E-5,10000.0,0.9820645536493167,0.6807238356642744,0.881,0.5565327569501379,0.979381443298969,0.10497237569060773,0.9319379202998543,1.0,-0.17938553022794854,10000.0,2.5525456E7
