learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.193790848,7.05202519973119E-9,1000.0,0.6101522842639594,0.08763122250254725,0.986,0.12335629304946916,0.0,0.015228426395939087,0.2581988897471611,0.06666666666666667,0.06666666666666667,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.292863558,1.0657268970198928E-8,2000.0,0.8205902079141516,0.024465826781056466,0.994,0.0,0.6101522842639594,0.006036217303822937,0.0,0.0,0.42857142857142555,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.379808881,1.3821198614568759E-8,3000.0,0.7762626262626262,0.00919320541020589,0.99,0.0,0.8205902079141516,0.010101010101010102,0.0,0.0,0.03225806451612557,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.513508039,2.0099347975694885E-8,4000.0,0.6717489919354839,0.018798037830036175,0.992,0.0,0.7762626262626262,0.008064516129032258,0.0,0.0,0.17948717948718182,4000.0,181512.0,15.0,3983.5333333333333,15.59727285889813,5643.2,30.585897777523915,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.616122142,2.55366758952414E-8,5000.0,0.6161616161616161,0.024589728402519034,0.99,0.0,0.6717489919354839,0.010101010101010102,0.0,0.0,-0.02040816326530381,5000.0,204824.0,15.0,4983.866666666667,16.370666759748385,7184.0,370.71298100513593,4.199999999999999,0.2618614682831908,2.5999999999999996,0.1309307341415954,2.5999999999999996,0.1309307341415954,1.6,0.13093073414159545,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.698215661,3.0212527277554484E-8,6000.0,0.8098591549295775,0.03387662053540351,0.994,0.0,0.6161616161616161,0.006036217303822937,0.0,0.0,0.3454545454545441,6000.0,220168.0,15.0,5980.666666666666,20.516350428880724,8199.466666666667,263.7360489050814,4.733333333333332,0.18170270503179922,2.866666666666666,0.09085135251589961,2.866666666666666,0.09085135251589961,1.8666666666666665,0.0908513525158996,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.756520361,3.362670033299467E-8,7000.0,0.9480421686746988,0.07667173084883806,0.996,0.0,0.8098591549295775,0.004016064257028112,0.0,0.0,0.5254237288135603,7000.0,226352.0,15.0,6977.400000000001,20.572473518433963,8608.533333333333,53.548897695885785,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.816332206,3.723397545296698E-8,8000.0,0.7250755287009063,0.029215261240053275,0.993,0.0,0.9480421686746988,0.007049345417925478,0.0,0.0,0.15151515151514866,8000.0,233128.0,15.0,7989.533333333332,23.421168013382918,9057.066666666668,238.26786580027087,5.266666666666668,0.18170270503179922,3.133333333333334,0.09085135251589961,3.133333333333334,0.09085135251589961,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.874066973,4.0728766446630976E-8,9000.0,0.8930303030303031,0.05590768311156745,0.99,0.0,0.7250755287009063,0.010101010101010102,0.0,0.0,-0.18421052631578602,9000.0,233984.0,15.0,8997.666666666668,24.060175882400852,9114.133333333333,247.1598261905435,5.266666666666668,0.18170270503179922,3.133333333333334,0.09085135251589961,3.133333333333334,0.09085135251589961,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.941512869,4.513201982087972E-8,10000.0,0.8988877654196158,0.027331598784885485,0.989,0.0,0.8930303030303031,0.011122345803842264,0.0,0.0,-0.2643678160919492,10000.0,252360.0,15.0,10008.4,25.97284296007217,10328.000000000002,407.13708934928724,6.2,0.32659863237109044,3.6,0.16329931618554522,3.6,0.16329931618554522,2.066666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.00910183,4.9886626009030465E-8,11000.0,0.8020100502512563,0.007092674384919355,0.995,0.0,0.8988877654196158,0.005025125628140704,0.0,0.0,0.4021739130434768,11000.0,271920.0,15.0,11014.466666666669,24.648745098293183,11620.799999999997,497.349806953004,7.133333333333334,0.3634054100635984,4.066666666666667,0.18170270503179917,4.066666666666667,0.18170270503179917,2.5333333333333337,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.071151664,5.442070474827868E-8,12000.0,0.8711201079622132,0.026767272699991254,0.988,0.0,0.8020100502512563,0.012145748987854251,0.0,0.0,-0.3846153846153787,12000.0,282456.0,15.0,12011.333333333334,19.574440736805958,12318.400000000001,423.16121885500945,7.533333333333334,0.3065424178939254,4.2666666666666675,0.1532712089469627,4.2666666666666675,0.1532712089469627,2.733333333333333,0.11818736805705575,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.141522169,5.985348381705789E-8,13000.0,0.8292929292929293,0.017851184586983676,0.99,0.0,0.8711201079622132,0.010101010101010102,0.0,0.0,-0.14035087719298578,13000.0,298424.0,15.0,13006.666666666666,18.024234127224805,13372.266666666666,471.61299172971684,8.6,0.28949874578229834,4.8,0.14474937289114917,4.8,0.14474937289114917,2.866666666666666,0.09085135251589962,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.209694254,6.550354741270964E-8,14000.0,0.8059475806451613,0.016168823855902213,0.992,0.0,0.8292929292929293,0.008064516129032258,0.0,0.0,0.08196721311474908,14000.0,320368.0,15.0,13999.133333333333,20.74743051599094,14823.466666666667,374.8338281561027,9.399999999999999,0.28949874578229845,5.199999999999999,0.14474937289114923,5.199999999999999,0.14474937289114923,2.9333333333333336,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
