learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.990513381,4.6964452200535686E-7,1000.0,0.5,0.0,0.907,0.0,0.0,0.10253583241455347,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.289438609,1.917007243920635E-6,2000.0,0.7678693528693529,0.494200510247045,0.935,0.5565561468140263,0.5,0.0989010989010989,0.7138606794025496,0.5222222222222223,0.2896174863387986,2000.0,2433632.0
3000.0,5.629097295,6.716189452352916E-6,3000.0,0.995875515560555,0.8579710593831119,0.941,0.7574611526761487,0.7678693528693529,0.12485939257592801,0.9662470159529706,1.0,0.3979591836734687,3000.0,3507600.0
4000.0,7.960849322,1.219425290776181E-5,4000.0,0.9975451377890402,0.8686527093928775,0.949,0.765835919851604,0.995875515560555,0.10864745011086474,0.971318166227908,1.0,0.4795918367346933,4000.0,9081280.0
5000.0,10.499864471,1.9306297697866983E-5,5000.0,0.9952399668107778,0.8827440423996057,0.949,0.7721057429352778,0.9975451377890402,0.11358574610244988,0.9711885125704356,1.0,0.48380566801619385,5000.0,1.0827584E7
6000.0,12.805528175,2.7725172363253065E-5,6000.0,0.9980484969274207,0.8708132006241118,0.945,0.7667435706046005,0.9952399668107778,0.1210762331838565,0.9686799302013477,1.0,0.45182724252491674,6000.0,1.4114336E7
7000.0,15.478086529,4.341978795886491E-5,7000.0,0.997507270461155,0.8775740959959653,0.94,0.7121225206552088,0.9980484969274207,0.09529025191675794,0.9665829425791636,1.0,0.3904208998548615,7000.0,1.5959088E7
8000.0,18.158050984,6.637546157464309E-5,8000.0,0.9962116249617887,0.86841829397133,0.937,0.7300077140653126,0.997507270461155,0.11358574610244988,0.9642842412875706,1.0,0.3628318584070805,8000.0,2.2330352E7
9000.0,20.928868886,8.6901406801874E-5,9000.0,0.9972511991643646,0.8750464292093193,0.948,0.7253066528615648,0.9962116249617887,0.08577633007600434,0.9713596814960191,1.0,0.46206896551724097,9000.0,2.8635024E7
10000.0,24.057223258,1.089897525956073E-4,10000.0,0.9965337396978022,0.8548383735274261,0.94,0.7434669585442604,0.9972511991643646,0.11607142857142858,0.9659377383070372,1.0,0.3839835728952769,10000.0,1.8180832E7
