learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.122093517,4.446758396439255E-9,1000.0,0.9614112458654906,0.8527807046978589,0.957,0.7801231310466137,0.0,0.10253583241455347,0.9521516108629333,0.946236559139785,0.53763440860215,1000.0,140784.0,15.0,0.9272685512933654,0.07273144870663449,183.26666666666665,3.8772433342538446,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.198358087,7.224384312468271E-9,2000.0,0.9966300366300366,0.9294897457631818,0.97,0.8407643312101909,0.9614112458654906,0.0989010989010989,0.9833783437888832,1.0,0.6721311475409834,2000.0,140784.0,15.0,0.8676110981655921,0.13238890183440785,356.93333333333334,3.894399723493882,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.254597578,9.272678398514789E-9,3000.0,0.9951154754304361,0.9092354948397977,0.955,0.8050361333032942,0.9966300366300366,0.12485939257592801,0.9705375149510296,0.990990990990991,0.5408163265306117,3000.0,140784.0,15.0,0.979796043932231,0.02020395606776903,574.6,5.590638433599338,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.301210566,1.0970366374626757E-8,4000.0,0.9970247522512331,0.9280206452466424,0.964,0.8250184702725821,0.9951154754304361,0.10864745011086474,0.9798411564105729,1.0,0.6326530612244894,4000.0,140784.0,15.0,0.8681123661509296,0.13188763384907035,760.4,7.197750971492346,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.342875102,1.2487827168976269E-8,5000.0,0.9941700510939342,0.9232665444959252,0.965,0.8341640922616225,0.9970247522512331,0.11358574610244988,0.980318570101788,1.0,0.6457489878542507,5000.0,140784.0,15.0,0.9295292622108716,0.07047073778912845,959.6,7.5534917816357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.383233524,1.3957718087881805E-8,6000.0,0.9975917621657532,0.9171086916941222,0.966,0.8438648052902276,0.9941700510939342,0.1210762331838565,0.9767741684324601,0.9907407407407407,0.6611295681063122,6000.0,140784.0,15.0,0.9064873164101453,0.09351268358985455,1171.0000000000002,8.189424074174385,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.42072372,1.532314557284117E-8,7000.0,0.9969533305636339,0.9268333842452133,0.958,0.7830062928175081,0.9975917621657532,0.09529025191675794,0.9767281143795832,1.0,0.5732946298984031,7000.0,140784.0,15.0,0.9586009489705208,0.041399051029479064,1337.1999999999998,7.900693158258487,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.457692558,1.666958471901715E-8,8000.0,0.9957421721472554,0.9272198098290579,0.959,0.810033915895991,0.9969533305636339,0.11358574610244988,0.9769047980278321,1.0,0.5853350189633374,8000.0,140784.0,15.0,0.7687879943527801,0.23121200564721991,1532.733333333333,9.091318028320401,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.49388582,1.798777667259177E-8,9000.0,0.99736115119779,0.9359136615388198,0.965,0.799986284773813,0.9957421721472554,0.08577633007600434,0.980814879805226,1.0,0.6379310344827583,9000.0,140784.0,15.0,0.8835745132995879,0.11642548670041214,1685.2,9.566409487168656,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.530373563,1.9316693895546102E-8,10000.0,0.9961688701923077,0.9279147686741992,0.966,0.8405971044932862,0.99736115119779,0.11607142857142858,0.9808432960613899,1.0,0.6509240246406569,10000.0,140784.0,15.0,0.8167077878127796,0.18329221218722036,1888.2666666666664,8.90022293282411,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.565219316,2.058580832963189E-8,11000.0,0.9945412463426351,0.9169865799391441,0.956,0.7983649228287566,0.9961688701923077,0.11358574610244988,0.9751934306441427,1.0,0.5501858736059475,11000.0,140784.0,15.0,0.9927517211404641,0.007248278859535734,2088.6,9.335952013587042,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.600324018,2.1864353924915198E-8,12000.0,0.9955646276671849,0.9216505579049227,0.964,0.8481717346379316,0.9945412463426351,0.13507377979568672,0.9793555758392124,1.0,0.6384937238493722,12000.0,140784.0,15.0,0.6113330699466069,0.38866693005339303,2308.866666666667,8.99145979284505,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.635472801,2.3144504990838473E-8,13000.0,0.997310336888154,0.9235058805704014,0.964,0.8359146391489438,0.9955646276671849,0.11982082866741321,0.9796358763173045,1.0,0.6405529953917047,13000.0,140784.0,15.0,0.9594216684013199,0.04057833159868006,2519.733333333333,9.36836961303026,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.66988211,2.439772373226782E-8,14000.0,0.9956717584995429,0.920650395353604,0.959,0.8086937046230799,0.997310336888154,0.11234705228031146,0.9769307912316548,1.0,0.59087669280114,14000.0,140784.0,15.0,0.8814253297208497,0.11857467027915014,2707.2666666666664,10.554830384446952,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.704354746,2.5653248901392026E-8,15000.0,0.9987550277724574,0.9380442375579333,0.967,0.8298969072164948,0.9956717584995429,0.1013215859030837,0.9816600163321303,1.0,0.6688963210702339,15000.0,140784.0,15.0,0.96433644723449,0.035663552765510004,2888.733333333333,10.437782407547186,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.765295117,2.791487829734882E-8,16000.0,0.9962894248608535,0.9135179254543879,0.962,0.8167296859325563,0.9987550277724574,0.10864745011086474,0.9787090460886663,1.0,0.6183301946013807,16000.0,143456.0,15.0,0.9807720235397339,0.01922797646026608,3077.7999999999997,9.50548713713745,3120.5333333333333,176.53333333333333,1.1333333333333335,0.1333333333333333,1.0666666666666669,0.06666666666666665,1.0666666666666669,0.06666666666666665,0.06666666666666668,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.819209631,2.995303121209973E-8,17000.0,0.9968556833791209,0.9218289365769288,0.965,0.8365158252681139,0.9962894248608535,0.11607142857142858,0.9802741963348827,1.0,0.6493812610489097,17000.0,146128.0,15.0,0.8390999776098256,0.16090002239017454,3279.4,10.032233763510217,3297.066666666667,240.57438146210214,1.2666666666666668,0.18170270503179914,1.1333333333333335,0.0908513525158996,1.1333333333333335,0.0908513525158996,0.13333333333333333,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.890164439,3.3362852838643726E-8,18000.0,0.9949655372861651,0.8551158861973281,0.96,0.8201956271576523,0.9968556833791209,0.1210762331838565,0.973356872236887,0.9907407407407407,0.6011080332409969,18000.0,185760.0,15.0,0.9966239096754469,0.0033760903245530025,3490.3333333333326,10.866140799428978,5916.8,188.89198727617546,3.1333333333333337,0.1333333333333333,2.066666666666667,0.06666666666666667,2.066666666666667,0.06666666666666667,1.0666666666666669,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,0.939781915,3.591825895347529E-8,19000.0,0.9959086924051044,0.906571000003844,0.967,0.8435900352633373,0.9949655372861651,0.11482720178372352,0.9814329841314369,1.0,0.6713836477987419,19000.0,199080.0,15.0,0.9050996336170386,0.09490036638296137,3692.0,9.127665951067994,6796.8,439.0589416988501,3.8,0.3265986323710903,2.4000000000000004,0.16329931618554516,2.4000000000000004,0.16329931618554516,1.4,0.16329931618554522,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.980489199,3.805462044414547E-8,20000.0,0.9916279178995819,0.9173632029166447,0.969,0.8401039839897666,0.9959086924051044,0.10375275938189846,0.9780600088262245,0.9893617021276596,0.6903096903096899,20000.0,202864.0,15.0,0.7165293307876843,0.2834706692123156,3869.0,10.638206078631342,7047.466666666667,432.27678375987045,3.933333333333333,0.3304638394837613,2.466666666666667,0.16523191974188065,2.466666666666667,0.16523191974188065,1.4666666666666666,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
