learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.124353268,5.331037048504252E-7,1000.0,0.5,0.0,0.981,0.0,0.0,0.019367991845056064,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.572879818,1.5801676339148315E-6,2000.0,0.7339357429718876,0.4998377784319813,0.933,0.049159854677564695,0.5,0.004016064257028112,0.6836442626919694,0.5,-4.826086956521758,2000.0,1652992.0
3000.0,5.629273911,5.377499673851543E-6,3000.0,0.9550438596491229,0.6811646647484816,0.878,0.12154377880184336,0.7339357429718876,0.012145748987854251,0.8556393857429354,0.8333333333333334,-9.457142857142815,3000.0,5967072.0
4000.0,7.700778752,7.95556348199911E-6,4000.0,0.8687958567112646,0.47433840618637146,0.85,0.04977891522760914,0.9550438596491229,0.007049345417925478,0.7796321004523988,0.7142857142857143,-13.28571428571435,4000.0,4810720.0
5000.0,9.940518799,8.623586464637353E-6,5000.0,0.8514535110279791,0.5565516410733248,0.839,0.08850038498120431,0.8687958567112646,0.013171225937183385,0.8037981694152625,0.7692307692307693,-13.636363636363626,5000.0,1152912.0
6000.0,11.795469587,1.5868087506946955E-5,6000.0,0.9974949899799599,0.7569613738346174,0.932,0.051868377021750574,0.8514535110279791,0.002004008016032064,0.9653308901381483,1.0,-6.1578947368421355,6000.0,1.4359056E7
7000.0,14.204155895,3.4412901196186275E-5,7000.0,0.8649246231155779,0.5542121405247754,0.856,0.030629417704476955,0.9974949899799599,0.005025125628140704,0.7171972248248611,0.6,-15.258064516128961,7000.0,2.7751088E7
8000.0,17.186502456,6.688270652881472E-5,8000.0,0.8367529992151587,0.6368028778904209,0.803,0.040895813047711616,0.8649246231155779,0.009081735620585268,0.7322286269964259,0.6666666666666666,-21.19718309859163,8000.0,3.4259296E7
9000.0,20.175624995,1.0533192902056546E-4,9000.0,0.9097971514889944,0.6178612964197286,0.879,0.04942965779467654,0.8367529992151587,0.007049345417925478,0.7095947242679885,0.5714285714285714,-12.961538461538389,9000.0,4.9721728E7
10000.0,23.422333129,1.3669994264533882E-4,10000.0,0.972418432559704,0.5178431512782555,0.951,0.21003417811311056,0.9097971514889944,0.009081735620585268,0.8607498093704135,0.7777777777777778,-4.632183908045955,10000.0,3.7346176E7
11000.0,25.98415651,1.7169865452924677E-4,11000.0,0.9328154222414041,0.43404857912444955,0.955,0.14049965619986102,0.972418432559704,0.007049345417925478,0.7397698203755957,0.5714285714285714,-4.265957446808529,11000.0,3.4266064E7
12000.0,28.707255396,2.0689678787388612E-4,12000.0,0.9235004346566212,0.6276427953022189,0.886,0.12737293325168395,0.9328154222414041,0.014198782961460446,0.7966170140368759,0.7142857142857143,-11.666666666666654,12000.0,4.996416E7
13000.0,31.954544543,2.6183249093216567E-4,13000.0,0.8774312541918176,0.4636549973725436,0.887,0.03947502635068588,0.9235004346566212,0.006036217303822937,0.6668343182892508,0.5,-11.885964912280727,13000.0,3.9690464E7
14000.0,35.292381566,3.062060851419545E-4,14000.0,0.9618759890663214,0.4733954176765913,0.962,0.19875173955214315,0.8774312541918176,0.007049345417925478,0.8296928104360393,0.7142857142857143,-3.396694214876021,14000.0,5.1388016E7
15000.0,38.435308178,3.566621277307735E-4,15000.0,0.787027665317139,0.44148202979108614,0.874,0.07980836644075752,0.9618759890663214,0.012145748987854251,0.7154667794877742,0.5833333333333334,-13.210526315789437,15000.0,5.9357328E7
16000.0,42.063867416,4.2701994929048536E-4,16000.0,0.8432760364004045,0.4744938241960216,0.878,0.0844277673545965,0.787027665317139,0.011122345803842264,0.7486237641266094,0.6363636363636364,-12.555555555555543,16000.0,7.4951536E7
17000.0,45.998405635,4.881985951933373E-4,17000.0,0.9705050505050505,0.48065028476082294,0.965,0.32873034138856816,0.8432760364004045,0.010101010101010102,0.9322504540577651,0.9,-2.863636363636358,17000.0,6.0104704E7
18000.0,49.474588427,5.5609627240424E-4,18000.0,0.9567839195979899,0.39370829292571596,0.973,0.12166558230319012,0.9705050505050505,0.005025125628140704,0.6247813687954931,0.4,-2.056603773584899,18000.0,5.9364384E7
19000.0,53.199191045,6.285135435970534E-4,19000.0,0.9669080246544193,0.5049581061719501,0.96,0.3385149660988917,0.9567839195979899,0.017293997965412006,0.7903659630665865,0.6470588235294118,-3.3181818181818126,19000.0,7.515616E7
20000.0,57.060725286,6.878208316306623E-4,20000.0,0.9889224572004028,0.5588331987879397,0.971,0.28437469154081674,0.9669080246544193,0.007049345417925478,0.9126739137571682,0.8571428571428571,-2.169398907103831,20000.0,5.9367744E7
