learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.172464988,6.281333786795538E-9,1000.0,0.6984183673469387,0.2818837552542265,0.962,0.22131147540983465,0.0,0.02040816326530612,0.540974177964614,0.3,-0.9,1000.0,140784.0,15.0,0.9998382688077433,1.6173119225659883E-4,1134.666666666667,9.16549776097018,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.256674365,9.348316894782087E-9,2000.0,0.5544525967486692,0.023326936794576803,0.976,-0.010015991919870374,0.6984183673469387,0.007049345417925478,0.0,0.0,-0.7777777777777851,2000.0,140784.0,15.0,0.9999999999999994,1.2460431930648184E-21,2179.0666666666666,11.696343208218744,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.334011479,1.227192415047437E-8,3000.0,0.6582661290322581,0.049945118605965205,0.992,0.0,0.5544525967486692,0.008064516129032258,0.0,0.0,0.31428571428571644,3000.0,146128.0,15.0,0.9521006901390863,0.04789930986091374,3238.066666666666,16.211538121164434,3297.066666666667,240.57438146210214,1.2666666666666668,0.18170270503179914,1.1333333333333335,0.0908513525158996,1.1333333333333335,0.0908513525158996,0.13333333333333333,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.429535956,1.6904383783245252E-8,4000.0,0.43605236656596175,0.0207762966459297,0.992,-0.0017530678687651396,0.6582661290322581,0.007049345417925478,0.0,0.0,0.23809523809523406,4000.0,187456.0,15.0,0.9999999989080652,1.0919346420206355E-9,4283.0,16.205819060713065,6029.866666666667,157.86666666666667,3.1333333333333337,0.1333333333333333,2.066666666666667,0.06666666666666667,2.066666666666667,0.06666666666666667,1.0666666666666669,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.513078841,2.174941091928217E-8,5000.0,0.6200536552649228,0.04531331106245742,0.993,-0.0017172295363338291,0.43605236656596175,0.006036217303822937,0.0,0.0,0.2708333333333367,5000.0,224176.0,15.0,0.9999999999998591,1.4086727558203877E-13,5333.133333333333,16.875416514554033,8453.866666666667,213.86666666666673,5.133333333333334,0.13333333333333333,3.066666666666667,0.06666666666666667,3.066666666666667,0.06666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.575714202,2.5508954723365606E-8,6000.0,0.5981556913328807,0.10240377365615909,0.98,0.08491947291361968,0.6200536552649228,0.018329938900203666,0.2353419509969954,0.05555555555555555,-0.8181818181818182,6000.0,232016.0,15.0,0.9972186340221082,0.002781365977891799,6458.6,20.789145519442883,8976.533333333335,176.5333333333335,5.133333333333334,0.13333333333333333,3.066666666666667,0.06666666666666667,3.066666666666667,0.06666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.635806499,2.9115856946847506E-8,7000.0,0.7394366197183099,0.18051725973671248,0.993,0.21909861668898467,0.5981556913328807,0.006036217303822937,0.4078373710940413,0.16666666666666666,0.31944444444444026,7000.0,232016.0,15.0,0.9999999999999994,1.1363261088091565E-27,7497.133333333333,20.848173761899353,8976.533333333335,176.5333333333335,5.133333333333334,0.13333333333333333,3.066666666666667,0.06666666666666667,3.066666666666667,0.06666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.693987599,3.261225837416119E-8,8000.0,0.8854271356783919,0.2904872520202399,0.994,0.3969849246231092,0.7394366197183099,0.005025125628140704,0.6315013617160665,0.4,0.37662337662337575,8000.0,232296.0,15.0,0.9999999965204022,3.479597728084421E-9,8543.866666666667,24.278908476811655,8995.2,195.20000000000005,5.133333333333334,0.13333333333333333,3.066666666666667,0.06666666666666667,3.066666666666667,0.06666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.762907613,3.7009194405766E-8,9000.0,0.743796109993293,0.06970779896439429,0.991,-0.0040160642570197065,0.8854271356783919,0.006036217303822937,0.0,0.0,0.02409638554216998,9000.0,246608.0,15.0,0.999999999990231,9.768925619687274E-12,9598.666666666668,24.435857077481565,9937.600000000002,403.1768700848655,6.466666666666666,0.2363747361141115,3.733333333333333,0.11818736805705575,3.733333333333333,0.11818736805705575,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.847763069,4.344030129501389E-8,10000.0,0.4453993933265925,0.030332116347828068,0.988,-0.0018367006177964944,0.743796109993293,0.011122345803842264,0.0,0.0,-0.27659574468085707,10000.0,292960.0,15.0,0.9999999713793924,2.8620607633113598E-8,10690.266666666666,26.308692510029875,13003.733333333334,320.3044900547078,8.2,0.26186146828319085,4.6,0.13093073414159542,4.6,0.13093073414159542,2.6,0.1309307341415954,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.926332495,5.005079348800497E-8,11000.0,0.9567792338709677,0.2221966465932832,0.991,-0.0017809439002689242,0.4453993933265925,0.008064516129032258,0.0,0.0,0.02941176470588658,11000.0,325224.0,15.0,0.9999930901839532,6.909816046723296E-6,11761.599999999999,23.70308398660797,15136.0,387.54317731797875,9.666666666666666,0.31872762915583824,5.333333333333333,0.15936381457791912,5.333333333333333,0.15936381457791912,2.933333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.992584673,5.578237466552191E-8,12000.0,0.903755868544601,0.19285741245459365,0.994,0.24774322968906495,0.9567792338709677,0.006036217303822937,0.40804288250597226,0.16666666666666666,0.3333333333333333,12000.0,334408.0,15.0,0.9999999999999994,3.0775895789365225E-17,12807.066666666668,18.792720644077825,15743.466666666665,423.19597921695436,10.066666666666668,0.33046383948376146,5.533333333333334,0.16523191974188073,5.533333333333334,0.16523191974188073,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.078000912,6.405151622139538E-8,13000.0,0.6200236167341431,0.07416116755337168,0.988,0.0,0.903755868544601,0.012145748987854251,0.0,0.0,-0.2999999999999964,13000.0,374216.0,15.0,0.9814697981114814,0.01853020188851842,13886.333333333336,16.138586315224973,18376.0,480.933061375291,11.933333333333334,0.3837988891354263,6.466666666666667,0.19189944456771316,6.466666666666667,0.19189944456771316,3.1333333333333337,0.09085135251589961,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.188693908,7.641119709255588E-8,14000.0,0.7107785831190087,0.13320149305734516,0.986,-0.0018605982539059427,0.6200236167341431,0.013171225937183385,0.0,0.0,-0.4736842105263244,14000.0,431608.0,15.0,0.9999999999999994,6.378541256891601E-17,14969.8,18.887940218940876,22170.666666666668,779.3571628602557,14.466666666666667,0.6005288674451217,7.733333333333333,0.30026443372256084,7.733333333333333,0.30026443372256084,3.733333333333333,0.11818736805705575,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.284351335,8.852893613346336E-8,15000.0,0.8088888888888889,0.0947685769288037,0.989,-0.001821493624764007,0.7107785831190087,0.010101010101010102,0.0,0.0,-0.15384615384616102,15000.0,489672.0,15.0,0.9999999968683619,3.1316379552759787E-9,16033.599999999999,21.048424892998202,26006.399999999998,544.4878484804386,17.400000000000002,0.3999999999999999,9.200000000000001,0.19999999999999996,9.200000000000001,0.19999999999999996,4.066666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.359882299,9.853931244247077E-8,16000.0,0.7284540576794097,0.19169880454091043,0.995,0.284487693188333,0.8088888888888889,0.006036217303822937,0.408248290463863,0.16666666666666666,0.46308724832214404,16000.0,512304.0,15.0,0.9999999999999994,5.615986545028881E-19,17077.333333333332,16.222461402889884,27504.0,629.7686952554958,18.333333333333332,0.46462136829144635,9.666666666666666,0.23231068414572317,9.666666666666666,0.23231068414572317,4.133333333333333,0.0908513525158996,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.436716487,1.0903058340244411E-7,17000.0,0.6960610661268556,0.054120722397648896,0.988,0.0,0.7284540576794097,0.012145748987854251,0.0,0.0,-0.2670807453416158,17000.0,527808.0,15.0,0.9961847957400827,0.0038152042599171017,18167.266666666666,16.997049230371974,28531.199999999993,660.3700203745802,18.866666666666667,0.4563485162175596,9.933333333333334,0.2281742581087798,9.933333333333334,0.2281742581087798,4.199999999999999,0.10690449676496977,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.517994612,1.2040199587860663E-7,18000.0,0.7920866935483871,0.120925770589556,0.991,-0.0017809439002689242,0.6960610661268556,0.008064516129032258,0.0,0.0,0.04142011834319464,18000.0,540808.0,15.0,0.9999999999999247,7.533894372214906E-14,19220.8,21.231647537175693,29388.26666666667,767.9495486074259,19.933333333333337,0.47274947222822294,10.466666666666669,0.23637473611411147,10.466666666666669,0.23637473611411147,4.2666666666666675,0.15327120894696272,0.0,0.0,0.0,0.0,1.0,0.0
