learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.197408264,1.5034907632403902E-10,1000.0,0.6588775510204081,0.08422153781866178,0.979,0.15322580645161366,0.0,0.02040816326530612,0.3157433729328621,0.1,-0.05,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.235101432,1.7905675490697224E-10,2000.0,0.5674003740468997,0.0035456716349126626,0.993,0.0,0.6588775510204081,0.007049345417925478,0.0,0.0,0.48148148148147935,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.258647277,1.9698962142070134E-10,3000.0,0.6672127016129032,0.00913777988081969,0.992,0.0,0.5674003740468997,0.008064516129032258,0.0,0.0,0.31428571428571644,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.295110749,2.5238093896044626E-10,4000.0,0.2660048913825349,0.002783045143796776,0.993,0.0,0.6672127016129032,0.007049345417925478,0.0,0.0,0.3333333333333298,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.325399745,3.16885120479597E-10,5000.0,0.7397719651240778,0.024717860398390124,0.994,0.0,0.2660048913825349,0.006036217303822937,0.0,0.0,0.3750000000000029,5000.0,8232.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.34987226,3.7259842324588033E-10,6000.0,0.6327789092554876,0.050290432372552096,0.981,-0.0018983336848726433,0.7397719651240778,0.018329938900203666,0.0,0.0,-0.7272727272727273,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.367380556,4.1245721977618004E-10,7000.0,0.8167337357478203,0.097685649184972,0.993,-0.0017172295363338291,0.6327789092554876,0.006036217303822937,0.0,0.0,0.31944444444444026,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.382878894,4.4774021367232003E-10,8000.0,0.7776884422110553,0.013069892937491907,0.995,0.0,0.8167337357478203,0.005025125628140704,0.0,0.0,0.4805194805194798,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.398402863,4.830815582391288E-10,9000.0,0.7464788732394366,0.009637067199738164,0.994,0.0,0.7776884422110553,0.006036217303822937,0.0,0.0,0.34939759036144663,9000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.421456436,5.530270666836036E-10,10000.0,0.4102399117565953,0.0021533450816455836,0.989,0.0,0.7464788732394366,0.011122345803842264,0.0,0.0,-0.17021276595745233,10000.0,11728.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.4380042,6.032336774592597E-10,11000.0,0.49319556451612906,0.0034089321126901653,0.992,0.0,0.4102399117565953,0.008064516129032258,0.0,0.0,0.13725490196078807,11000.0,11728.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12000.0,0.460491513,6.868658268017072E-10,12000.0,0.5772971160295104,0.004947840039375364,0.994,0.0,0.49319556451612906,0.006036217303822937,0.0,0.0,0.3333333333333333,12000.0,14376.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.476016617,7.457295331255427E-10,13000.0,0.7133097165991903,0.07166523513475477,0.988,0.0,0.5772971160295104,0.012145748987854251,0.0,0.0,-0.2999999999999964,13000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
14000.0,0.490568871,8.009046614728866E-10,14000.0,0.5791442599953238,0.060845186319514404,0.987,0.0,0.7133097165991903,0.013171225937183385,0.0,0.0,-0.3684210526315869,14000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.505231036,8.564965193201268E-10,15000.0,0.9165656565656566,0.03469356637833509,0.99,0.0,0.5791442599953238,0.010101010101010102,0.0,0.0,-0.04895104895105547,15000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
16000.0,0.519917571,9.121807764532664E-10,16000.0,0.7525150905432596,0.03464041169288424,0.994,0.0,0.9165656565656566,0.006036217303822937,0.0,0.0,0.35570469798657284,16000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
