learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.128531306,4.6812286041428646E-9,1000.0,0.5860292934170288,0.20697286351108526,0.821,0.03963774491920054,0.0,0.019367991845056064,0.5529042373319618,0.3684210526315789,-8.421052631578942,1000.0,140784.0,15.0,0.9998820979608448,1.1790203915506054E-4,41.133333333333326,1.1907047399661164,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.196387326,7.152607380822301E-9,2000.0,0.3812877263581489,0.05272936970086549,0.692,-0.011906326385786238,0.5860292934170288,0.006036217303822937,0.0,0.0,-23.640000000000093,2000.0,140784.0,15.0,0.9999999999999994,1.1213493281989954E-21,53.53333333333333,1.3304731226743103,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.249159759,9.074628019668162E-9,3000.0,0.8070816532258065,0.248052189280205,0.662,0.018947661728509986,0.3812877263581489,0.008064516129032258,0.7042497724071225,0.75,-29.727272727272698,3000.0,140784.0,15.0,0.9568906211251776,0.043109378874822364,69.66666666666666,1.54200446749605,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.290194233,1.0569141375385225E-8,4000.0,0.5990504963314631,0.12401474183832889,0.619,0.006912514466235281,0.8070816532258065,0.007049345417925478,0.5948999183209722,0.5714285714285714,-37.099999999999966,4000.0,140784.0,15.0,0.9999999990172587,9.82741177818572E-10,84.06666666666665,1.9333333333333322,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.324510128,1.1818957892855009E-8,5000.0,0.29628140703517586,0.036101494334536924,0.616,-0.009968175481970383,0.5990504963314631,0.005025125628140704,0.0,0.0,-41.66666666666663,5000.0,140784.0,15.0,0.9999999999998435,1.5651913364158648E-13,93.06666666666668,2.270864460249752,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.358335324,1.3050902700573206E-8,6000.0,0.5449746192893401,0.0837161812610265,0.597,-0.009721387051513314,0.29628140703517586,0.015228426395939087,0.40067624731289536,0.26666666666666666,-39.29999999999997,6000.0,140784.0,15.0,0.9941849878339346,0.005815012166065244,122.46666666666668,2.737511324902284,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.390851417,1.423516877071311E-8,7000.0,0.8092462311557789,0.18929203191662913,0.604,0.010024749381265638,0.5449746192893401,0.005025125628140704,0.6945588962078793,0.8,-41.6461538461541,7000.0,140784.0,15.0,0.9999999999999994,2.933056277962536E-27,132.73333333333335,3.011828532820406,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.423266909,1.541577085973074E-8,8000.0,0.5863453815261044,0.08337665340211842,0.603,0.0020712676962675353,0.8092462311557789,0.004016064257028112,0.5492784606274279,0.5,-45.02898550724641,8000.0,140784.0,15.0,0.9999999812220193,1.8777980666473093E-8,140.33333333333331,3.4304888818146546,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.455344429,1.6584063697072367E-8,9000.0,0.6719597989949748,0.11310639862439653,0.584,0.009075534170220076,0.5863453815261044,0.005025125628140704,0.6828848060188902,0.8,-49.594594594594476,9000.0,140784.0,15.0,0.9999999999978197,2.180242107287169E-12,148.93333333333334,3.4893943623318098,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.488281834,1.7783674338484802E-8,10000.0,0.5757882158286607,0.08673214595577497,0.585,0.0068158756294153895,0.6719597989949748,0.011122345803842264,0.5650936390081774,0.5454545454545454,-47.82352941176499,10000.0,140784.0,15.0,0.9999996770753982,3.229246018275905E-7,171.46666666666664,4.0223976108389055,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.524754903,1.911205712083727E-8,11000.0,0.274133871510259,0.03536863763901313,0.591,-0.003208304308154408,0.5757882158286607,0.009081735620585268,0.44472465659285715,0.3333333333333333,-46.861702127659704,11000.0,140784.0,15.0,0.9998930548139585,1.069451860414406E-4,189.26666666666665,4.452358034063754,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.556948362,2.0284572563394904E-8,12000.0,0.7302146210596915,0.10058299006655014,0.592,0.012240471025720361,0.274133871510259,0.006036217303822937,0.7015122115576132,0.8333333333333334,-47.96000000000018,12000.0,140784.0,15.0,0.9999999999999994,2.8126649710111275E-16,200.4,4.669862851050237,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.588682613,2.1440363227439423E-8,13000.0,0.38161616161616163,0.052006409959583055,0.563,-0.010685045561774523,0.7302146210596915,0.010101010101010102,0.33665016461206926,0.2,-50.64545454545487,13000.0,140784.0,15.0,0.9999999999999994,2.504630235358742E-18,219.13333333333333,4.88229714343826,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.620821957,2.2610907751830914E-8,14000.0,0.28752535496957404,0.024856167012427738,0.565,-0.009308843865722255,0.38161616161616163,0.014198782961460446,0.4031892562490719,0.2857142857142857,-48.112903225806235,14000.0,140784.0,15.0,0.9999999999999994,4.595032537407046E-16,244.4,5.389407600628691,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.651994282,2.3746232553149262E-8,15000.0,0.5688022796212887,0.04092127698011766,0.574,0.01506989304491379,0.28752535496957404,0.011122345803842264,0.6451470573583696,0.7272727272727273,-46.33333333333329,15000.0,140784.0,15.0,0.9999999179168989,8.208310104418047E-8,264.7333333333333,5.889835203989898,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.681986503,2.4838576879339914E-8,16000.0,0.2212631276075385,0.00963702479747984,0.527,-0.013985714163215202,0.5688022796212887,0.007049345417925478,0.0,0.0,-52.29577464788753,16000.0,140784.0,15.0,0.9999999952268892,4.7731108543574805E-9,277.06666666666666,6.293962841800725,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
