learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.218996892,7.976068608909845E-9,1000.0,0.808237159492618,0.3527817118994837,0.874,0.39170400123590293,0.0,0.09170305676855896,0.752007433388178,0.6309523809523809,-0.5000000000000007,1000.0,140784.0,15.0,0.9995803412968227,4.196587031771108E-4,1346.7333333333333,9.362776687585123,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.313235778,1.1408335676714778E-8,2000.0,0.8437481110748437,0.39374417080719726,0.881,0.4473752647026045,0.808237159492618,0.1001100110011001,0.7834930670648043,0.6813186813186813,-0.3599999999999996,2000.0,140784.0,15.0,0.9056692724139176,0.09433072758608231,2715.5333333333333,12.554212598496731,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.479677737,2.104555134182796E-8,3000.0,0.8063768941792242,0.35308215574739427,0.893,0.46858175894471266,0.8437481110748437,0.1185682326621924,0.7262337600461166,0.5660377358490566,-0.14234875444839828,3000.0,223816.0,15.0,0.9435158365490313,0.05648416345096867,4096.4,16.11559434064967,8433.066666666668,186.33036372111883,4.866666666666667,0.1333333333333333,2.9333333333333336,0.06666666666666665,2.9333333333333336,0.06666666666666665,1.9333333333333331,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.583212909,2.812397724231705E-8,4000.0,0.9060236393166649,0.4568611474450923,0.913,0.5102895483406134,0.8063768941792242,0.10253583241455347,0.7479625797928346,0.5913978494623656,0.06951871657754075,4000.0,264272.0,15.0,0.9015853577513407,0.09841464224865917,5471.799999999999,15.680196791767973,11107.733333333334,446.1873988814956,6.733333333333333,0.33046383948376135,3.8666666666666667,0.16523191974188067,3.8666666666666667,0.16523191974188067,2.1333333333333333,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.667738057,3.434059720178238E-8,5000.0,0.9244726789569839,0.5203618032425151,0.916,0.6224108170310704,0.9060236393166649,0.1210762331838565,0.856279742554219,0.7870370370370371,0.1286307053941916,5000.0,284296.0,15.0,0.9754911351231018,0.024508864876898215,6869.533333333333,14.473906461421103,12433.066666666668,639.6679456053122,7.533333333333332,0.4563485162175596,4.266666666666667,0.2281742581087798,4.266666666666667,0.2281742581087798,2.4666666666666663,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.755293082,4.142333282920635E-8,6000.0,0.9118896833503575,0.5030471591056973,0.917,0.6279695203944421,0.9244726789569839,0.12359550561797752,0.8543943969241626,0.7818181818181819,0.15878378378378427,6000.0,312696.0,15.0,0.9960207787520262,0.003979221247973729,8242.666666666666,17.9246217112682,14310.4,846.9640392658497,8.866666666666665,0.6005288674451217,4.933333333333333,0.30026443372256084,4.933333333333333,0.30026443372256084,3.066666666666667,0.2062515031210259,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.836652465,4.8321095090941004E-8,7000.0,0.9367072156373466,0.5057110829909226,0.939,0.6474477529128903,0.9118896833503575,0.09170305676855896,0.859260830286442,0.7738095238095238,0.36834319526627135,7000.0,327720.0,15.0,0.9072379273561335,0.09276207264386645,9594.199999999999,17.62498226949464,15302.933333333332,851.0464117312491,9.8,0.42761798705987897,5.4,0.21380899352993948,5.4,0.21380899352993948,3.533333333333333,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.928501079,5.6949109029701595E-8,8000.0,0.9304044766265113,0.49772376142759767,0.942,0.7039275541353149,0.9367072156373466,0.11482720178372352,0.8688188828854029,0.7864077669902912,0.4043645699614885,8000.0,363112.0,15.0,0.9223093044128501,0.07769069558714989,10992.0,20.784838796813478,17643.733333333334,708.1999681732802,11.266666666666667,0.5114560602703829,6.133333333333334,0.25572803013519146,6.133333333333334,0.25572803013519146,4.066666666666666,0.15327120894696267,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.011273302,6.506540966870883E-8,9000.0,0.9195722690215715,0.4805889706330037,0.928,0.5968599872339,0.9304044766265113,0.09769484083424808,0.8198306234447328,0.7078651685393258,0.25345622119815714,9000.0,379032.0,15.0,0.8968205374602982,0.10317946253970177,12379.066666666668,20.35926527504573,18697.6,684.1706052899796,11.8,0.47005572111440264,6.4,0.23502786055720132,6.4,0.23502786055720132,4.2,0.10690449676496971,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.094951245,7.358380470409988E-8,10000.0,0.8399663677130045,0.45255206415231697,0.916,0.5875235700817099,0.9195722690215715,0.1210762331838565,0.7992468116104418,0.6759259259259259,0.1393442622950825,10000.0,393504.0,15.0,0.9872307440463862,0.012769255953613688,13779.8,21.5742792187716,19654.399999999998,598.4,12.466666666666665,0.4125030062420516,6.7333333333333325,0.2062515031210258,6.7333333333333325,0.2062515031210258,4.466666666666667,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
