learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.124549273,4.536199292900661E-9,1000.0,0.7927973591183198,0.35245210772335145,0.778,0.25250511798297615,0.0,0.09170305676855896,0.7425113064008411,0.7023809523809523,-1.6428571428571437,1000.0,140784.0,15.0,0.9995803412968227,4.196587031771108E-4,165.26666666666665,3.253520681568941,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203252825,7.402655180854101E-9,2000.0,0.8325535850288326,0.41037144677315374,0.775,0.30053842997301655,0.7927973591183198,0.1001100110011001,0.7919034428228148,0.8131868131868132,-1.5714285714285705,2000.0,140784.0,15.0,0.9056692724139176,0.09433072758608231,338.46666666666664,4.6073095823160815,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.261148896,9.511283437013625E-9,3000.0,0.7769195052973703,0.34841549463001253,0.729,0.24501599117420889,0.8325535850288326,0.1185682326621924,0.7320084655023994,0.7358490566037735,-1.893238434163701,3000.0,140784.0,15.0,0.9435158365490313,0.05648416345096867,541.1333333333333,5.445720614929949,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.308023755,1.1218508996255694E-8,4000.0,0.8939431660561227,0.40616771665088114,0.752,0.3032181208242252,0.7769195052973703,0.10253583241455347,0.8156104029119067,0.9032258064516129,-1.6524064171122987,4000.0,140784.0,15.0,0.9015853577513407,0.09841464224865917,718.3333333333333,5.590524863907525,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.349843171,1.2741610662924745E-8,5000.0,0.8841035542268726,0.42351201265566474,0.78,0.3500661750803556,0.8939431660561227,0.1210762331838565,0.806744479398955,0.8425925925925926,-1.2821576763485465,5000.0,140784.0,15.0,0.9754911351231018,0.024508864876898215,926.1333333333332,5.860169562528658,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.390765413,1.4232036425781745E-8,6000.0,0.8963023493360572,0.4460930498728006,0.801,0.3925889750320495,0.8841035542268726,0.12359550561797752,0.8276997180675311,0.8636363636363636,-1.0168918918918912,6000.0,140784.0,15.0,0.9960207787520262,0.003979221247973729,1137.1999999999998,6.855098901721334,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.428895572,1.5620771952917175E-8,7000.0,0.8789899147431899,0.43876726662835114,0.781,0.3144595812881899,0.8963023493360572,0.09170305676855896,0.8245902339085461,0.8809523809523809,-1.2677514792899416,7000.0,140784.0,15.0,0.9072379273561335,0.09276207264386645,1298.0,7.663146189641012,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.466864654,1.7003640907282628E-8,8000.0,0.8571505882607613,0.43811491538765784,0.776,0.3230133160862919,0.8789899147431899,0.11482720178372352,0.7890251193867541,0.8058252427184466,-1.300385109114249,8000.0,140784.0,15.0,0.9223093044128501,0.07769069558714989,1496.2,7.299184559804956,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.503449376,1.833609019478162E-8,9000.0,0.8255281885568396,0.4041002000892935,0.781,0.2919404066007968,0.8571505882607613,0.09769484083424808,0.7784134840433489,0.7752808988764045,-1.2707373271889397,9000.0,140784.0,15.0,0.8968205374602982,0.10317946253970177,1668.8000000000002,6.775445864787535,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.54039475,1.9681674760455886E-8,10000.0,0.7796150971599403,0.3726356817589054,0.75,0.2614388353185858,0.8255281885568396,0.1210762331838565,0.7291929136140217,0.7037037037037037,-1.561475409836065,10000.0,140784.0,15.0,0.9872307440463862,0.012769255953613688,1882.1333333333332,7.477500643464761,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.575897709,2.09747252426669E-8,11000.0,0.8841037770405333,0.43380034416455027,0.783,0.3521227682570014,0.7796150971599403,0.11982082866741321,0.8079235244413104,0.8411214953271028,-1.2040627885503228,11000.0,140784.0,15.0,0.903606185903197,0.09639381409680302,2090.4,9.314504817756012,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
