learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.188744331,1.4375049581130345E-10,1000.0,0.455263090936848,0.011932814361264331,0.912,-0.003924431870036275,0.0,0.09409190371991247,0.0,0.0,-0.023255813953488403,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.2353893,1.7927599946657815E-10,2000.0,0.43753888888888887,0.0011736412902553714,0.9,0.0,0.455263090936848,0.1111111111111111,0.0,0.0,-0.07526881720430116,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.26470611,2.016041189432144E-10,3000.0,0.48159989291487765,0.0011961889363469522,0.891,0.0,0.43753888888888887,0.122334455667789,0.0,0.0,-0.10847457627118573,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.301335864,2.5724803390602267E-10,4000.0,0.6407167347705603,0.07931580789186199,0.905,0.014890704716081062,0.48159989291487765,0.10375275938189846,0.10302821832428716,0.010638297872340425,0.023136246786632137,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.330832485,3.2439904704689976E-10,5000.0,0.643748986541268,0.0676487679382577,0.879,0.008586785527005264,0.6407167347705603,0.13507377979568672,0.09151363854183055,0.008403361344537815,-0.19094488188976347,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.349134537,3.660648817320664E-10,6000.0,0.5245471005013029,0.029101296459581448,0.893,0.0,0.643748986541268,0.11982082866741321,0.0,0.0,-0.04390243902438973,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.36596367,4.0437751866877075E-10,7000.0,0.5571364046973803,0.025726495939230425,0.918,0.0,0.5245471005013029,0.08932461873638345,0.0,0.0,0.17647058823529418,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.381438846,4.3960778273642057E-10,8000.0,0.5613938053097345,0.039271297953216384,0.906,0.03704310768726502,0.5571364046973803,0.10619469026548672,0.14433756729740643,0.020833333333333332,0.051702395964691505,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.403518798,5.065992841869592E-10,9000.0,0.6338540662166506,0.08762603035013687,0.916,0.03989027317407698,0.5613938053097345,0.09289617486338798,0.1533091535446969,0.023529411764705882,0.13895216400911156,9000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.419378344,5.547178126540449E-10,10000.0,0.7750042925824175,0.16976086212114766,0.898,0.03394453705106864,0.6338540662166506,0.11607142857142858,0.1386750490563073,0.019230769230769232,-0.03869653767820802,10000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
11000.0,0.440731269,6.341310805930859E-10,11000.0,0.7962347729789591,0.18719381312719952,0.905,0.05212324393358778,0.7750042925824175,0.10741971207087486,0.1757657104140584,0.030927835051546393,0.031510658016682645,11000.0,14376.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
12000.0,0.454950114,6.880420828217433E-10,12000.0,0.789223820058997,0.20506775548317016,0.915,0.24757453438141777,0.7962347729789591,0.10619469026548672,0.40711771977907335,0.16666666666666666,0.1319148936170215,12000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
13000.0,0.469400357,7.42830434658875E-10,13000.0,0.7872549737836338,0.19359766836992334,0.906,0.2190226151110816,0.789223820058997,0.11982082866741321,0.3739959190034227,0.14018691588785046,0.04680187207488371,13000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
14000.0,0.488849029,8.313023147504363E-10,14000.0,0.7649596497252747,0.20543764277091972,0.904,0.17718047174986307,0.7872549737836338,0.11607142857142858,0.3389240408919165,0.11538461538461539,0.03030303030303034,14000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
15000.0,0.503117231,8.962082711296777E-10,15000.0,0.8376325757575758,0.24025735522023306,0.896,0.24768518518518548,0.7649596497252747,0.13636363636363635,0.40731939667672457,0.16666666666666666,-0.03585657370517863,15000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
16000.0,0.517399327,9.611774312228791E-10,16000.0,0.8309187016930963,0.21941102346151675,0.91,0.16261932674593957,0.8376325757575758,0.10741971207087486,0.32054684924871285,0.10309278350515463,0.10168434185901452,16000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
17000.0,0.531511441,1.0253733443241151E-9,17000.0,0.7655777777777778,0.2174543167155781,0.912,0.24137931034482782,0.8309187016930963,0.1111111111111111,0.3991101212558871,0.16,0.12155020551967165,17000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
18000.0,0.550068762,1.1238471942250097E-9,18000.0,0.7644485542554327,0.20409403789610492,0.915,0.24468614487808357,0.7655777777777778,0.10253583241455347,0.41294738415458887,0.17204301075268819,0.1481069042316259,18000.0,20512.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
19000.0,0.564488333,1.2003642017332214E-9,19000.0,0.7677388037651429,0.22954174611581546,0.916,0.3440779610194909,0.7644485542554327,0.1185682326621924,0.48482740930821205,0.2358490566037736,0.16088328075709782,19000.0,20512.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
20000.0,0.578762607,1.2761101952050293E-9,20000.0,0.7446176688938382,0.21386661808310156,0.911,0.28847814268811367,0.7677388037651429,0.11358574610244988,0.45171695973507775,0.20588235294117646,0.11177644710578835,20000.0,20512.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
21000.0,0.596944393,1.3863635412127605E-9,21000.0,0.8645595328763646,0.2882043677895394,0.935,0.4374242686515496,0.7446176688938382,0.1001100110011001,0.5540896289557377,0.3076923076923077,0.34844868735083556,21000.0,23440.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
22000.0,0.611832693,1.4766453700367774E-9,22000.0,0.7836731821106822,0.21831959060228956,0.907,0.3085707488253137,0.8645595328763646,0.12612612612612611,0.4616049724376359,0.21428571428571427,0.07294970548255619,22000.0,23440.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
23000.0,0.629233786,1.5940490593533547E-9,23000.0,0.7227797376442785,0.20293454943300485,0.92,0.31711481007255676,0.7836731821106822,0.10741971207087486,0.46425837927124963,0.21649484536082475,0.201388888888889,23000.0,26080.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
