learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.033530739,4.900408810282375E-7,1000.0,0.5,0.0,0.906,0.0,0.0,0.10375275938189846,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.135603452,1.8015310691967649E-6,2000.0,0.7537737370943953,0.4892366879433972,0.937,0.5758147050902236,0.5,0.10619469026548672,0.7080838533414188,0.5104166666666666,0.3368421052631583,2000.0,2411680.0
3000.0,5.427281855,5.185076079623132E-6,3000.0,0.9960858599072746,0.8825812247814786,0.945,0.7652902719218885,0.7537737370943953,0.11982082866741321,0.968715569413072,1.0,0.4444444444444438,3000.0,4067600.0
4000.0,7.714320757,9.934400123950869E-6,4000.0,0.9982989119886746,0.8771566775059174,0.945,0.7494442217281969,0.9960858599072746,0.10741971207087486,0.9690675496765444,1.0,0.44162436548223316,4000.0,8027136.0
5000.0,10.196955172,1.561695625633855E-5,5000.0,0.9971038863976084,0.8630127645582013,0.945,0.7667435706046005,0.9982989119886746,0.1210762331838565,0.9686799302013477,1.0,0.4521912350597607,5000.0,8847760.0
6000.0,12.574812505,2.1932819799246184E-5,6000.0,0.9988317294364579,0.8565938880523873,0.93,0.7266137599200152,0.9971038863976084,0.12866817155756208,0.9596839208775828,1.0,0.3181818181818188,6000.0,1.0267136E7
7000.0,15.075077199,3.8544095611619E-5,7000.0,0.9993216492556642,0.8732592761678806,0.942,0.7235910290991926,0.9988317294364579,0.09769484083424808,0.9676433739925125,1.0,0.4241134751773047,7000.0,2.5193488E7
8000.0,17.869217548,6.899129886354717E-5,8000.0,0.9986578779318331,0.8503579120700835,0.945,0.7592492077110288,0.9993216492556642,0.11482720178372352,0.9688573186501174,1.0,0.45544554455445485,8000.0,2.7788448E7
9000.0,20.646175203,9.920298910253003E-5,9000.0,0.9987219587663538,0.8579437595407209,0.928,0.6950987117920576,0.9986578779318331,0.10987791342952276,0.9592125886543995,1.0,0.2855567805953696,9000.0,4.205408E7
10000.0,24.061396762,1.287227156599465E-4,10000.0,0.9968821495078478,0.8558713040232795,0.945,0.762316335350043,0.9987219587663538,0.11731843575418995,0.968786605003145,1.0,0.4565217391304341,10000.0,3.3411488E7
11000.0,26.886387077,1.6368046365333654E-4,11000.0,0.9997961023351648,0.8539452989412817,0.943,0.7537924600020731,0.9968821495078478,0.11607142857142858,0.9676693281133947,1.0,0.43817204301075224,11000.0,4.7100016E7
12000.0,30.055682986,2.1606881642314416E-4,12000.0,0.9959290491421925,0.8429647671365744,0.937,0.717463449636739,0.9997961023351648,0.10497237569060773,0.9645655707786235,1.0,0.37572254335260163,12000.0,6.3896096E7
13000.0,34.266514445,2.6738064872888805E-4,13000.0,0.9971486687733827,0.849960948128409,0.95,0.8059367819660932,0.9959290491421925,0.14416475972540047,0.970974645402098,1.0,0.5138369483919216,13000.0,4.7103376E7
14000.0,37.534450079,3.214023533748228E-4,14000.0,0.9966152951439372,0.829750439274757,0.942,0.7350751381720183,0.9971486687733827,0.10497237569060773,0.967425243732013,1.0,0.43296089385474823,14000.0,6.3899456E7
15000.0,40.96804598,3.6521238253019444E-4,15000.0,0.9989867729820813,0.8378681176714127,0.938,0.7316876844647167,0.9966152951439372,0.11234705228031146,0.9649012813540153,1.0,0.3933463796477487,15000.0,4.9320416E7
16000.0,43.839532536,4.142540112813428E-4,16000.0,0.9980389496663747,0.839617514431003,0.929,0.6780337384364231,0.9989867729820813,0.09769484083424808,0.9602414624982449,1.0,0.299630086313194,16000.0,6.6017712E7
17000.0,47.468924246,4.710221672352495E-4,17000.0,0.9972902142384611,0.8311896445303094,0.94,0.7099880128378636,0.9980389496663747,0.09409190371991247,0.9666201352014168,1.0,0.402810304449648,17000.0,6.046072E7
18000.0,50.916080781,5.39868040804776E-4,18000.0,0.9978481364619979,0.828302455741118,0.925,0.6692946716757504,0.9972902142384611,0.1001100110011001,0.957857896128083,1.0,0.2495831017231796,18000.0,4.7113904E7
19000.0,54.332538368,5.965143093755418E-4,19000.0,0.9994493331424354,0.8540072201576397,0.96,0.8126621643140156,0.9978481364619979,0.11234705228031146,0.9774999324341601,1.0,0.5999999999999995,19000.0,6.4091088E7
20000.0,57.754520531,6.467629983988055E-4,20000.0,0.9984641083420218,0.8232813151375946,0.934,0.7146932952924396,0.9994493331424354,0.10987791342952276,0.9626775460732693,1.0,0.33966983491745917,20000.0,4.7117264E7
21000.0,60.94928054,6.996856658441254E-4,21000.0,0.998998778998779,0.8507658394848027,0.94,0.7183098591549294,0.9984641083420218,0.0989010989010989,0.9664708656063741,1.0,0.39684059358544715,21000.0,6.4033296E7
22000.0,64.690831187,7.452956887858961E-4,22000.0,0.9980239311760339,0.8367541793987706,0.933,0.7167306488982094,0.998998778998779,0.11358574610244988,0.9619718057256854,1.0,0.32724783204016467,22000.0,4.7120624E7
23000.0,67.799438224,7.969376469287924E-4,23000.0,0.9975896590768955,0.8197482971268089,0.931,0.7047951535065204,0.9980239311760339,0.10987791342952276,0.9609466290972475,1.0,0.306986899563319,23000.0,6.4215408E7
24000.0,71.256342658,8.412530112753429E-4,24000.0,0.9972712320574163,0.8235967075884684,0.942,0.7215607957600428,0.9975896590768955,0.09649122807017543,0.9676794452565012,1.0,0.41463414634146273,24000.0,4.9552928E7
25000.0,74.254057315,8.929244480869665E-4,25000.0,0.9972623195619711,0.8260247386949865,0.939,0.7298924883543808,0.9972712320574163,0.10864745011086474,0.965594379407439,1.0,0.3840872374798057,25000.0,6.6628896E7
26000.0,77.765684231,9.498980838691888E-4,26000.0,0.9972333067305135,0.8289982664649249,0.949,0.7765509989484752,0.9972623195619711,0.11731843575418995,0.97109050030187,1.0,0.4862456412243312,26000.0,6.2714496E7
27000.0,81.410006302,0.0010249808276832468,27000.0,0.9993231145464867,0.8254990489325976,0.936,0.7266545939112314,0.9972333067305135,0.11358574610244988,0.9637066525916708,1.0,0.3559448378680584,27000.0,7.9531296E7
28000.0,85.845955203,0.0011359752538692737,28000.0,0.9951923076923077,0.8311181990596798,0.941,0.7468854034389263,0.9993231145464867,0.11607142857142858,0.9665152796072526,1.0,0.4072479368496586,28000.0,7.9534656E7
29000.0,90.299051482,0.0012472508704851504,29000.0,0.9977052436894202,0.8251852608698609,0.939,0.7281009859682278,0.9951923076923077,0.10741971207087486,0.9656331588981795,1.0,0.38661581137309226,29000.0,9.6591808E7
30000.0,95.240124831,0.0013544599838111453,30000.0,0.9976737423669672,0.8212468403600259,0.945,0.7459584295612007,0.9977052436894202,0.10497237569060773,0.9691369971975152,1.0,0.4461228600201408,30000.0,8.3871184E7
31000.0,99.649492223,0.0014451937315326541,31000.0,0.9991629863765019,0.8342830049709763,0.952,0.781720948422479,0.9976737423669672,0.11234705228031146,0.9729374807717838,1.0,0.5168831168831165,31000.0,7.9541712E7
32000.0,103.946258195,0.0015528426523954693,32000.0,0.9981716036772217,0.8398169789602861,0.949,0.783513031666525,0.9991629863765019,0.12359550561797752,0.9709256558632505,1.0,0.48840125391849504,32000.0,7.9545072E7
33000.0,108.494290991,0.0016664364175065065,33000.0,0.9959255084307923,0.8265808958337366,0.932,0.6985067215266203,0.9981716036772217,0.10375275938189846,0.961740511968811,1.0,0.31668696711327726,33000.0,9.6545776E7
34000.0,113.316574462,0.0017822272128773982,34000.0,0.9955207166853304,0.8135523672021572,0.932,0.7219382539358007,0.9959255084307923,0.11982082866741321,0.9611722965476148,1.0,0.3181952226481867,34000.0,9.2816176E7
35000.0,117.838700355,0.0018752933028176426,35000.0,0.9986299962324896,0.8411726620588675,0.935,0.7143761095389594,0.9955207166853304,0.10741971207087486,0.9633367628796241,1.0,0.3477637614678907,35000.0,7.9552016E7
36000.0,121.934478561,0.0019776983917505274,36000.0,0.9995964080314802,0.8370615853532516,0.941,0.7386095801804033,0.9986299962324896,0.10987791342952276,0.9667042997254425,1.0,0.4078617228882072,36000.0,7.9555376E7
37000.0,126.207082165,0.0020840915346760787,37000.0,0.9988597808554425,0.8397430604988918,0.945,0.71090974076488,0.9995964080314802,0.08459869848156182,0.9697149434671584,1.0,0.44474761255115935,37000.0,7.9558736E7
38000.0,130.437738692,0.002190020442022372,38000.0,0.9992824279262167,0.8322922724576614,0.939,0.7432616710719033,0.9988597808554425,0.1185682326621924,0.9652809631436882,1.0,0.3853089366215854,38000.0,9.6785232E7
39000.0,134.887478516,0.0022829194963967054,39000.0,0.9960533535941919,0.8406158436705734,0.94,0.7466301814127898,0.9992824279262167,0.1185682326621924,0.9658601896963496,1.0,0.3964405468145465,39000.0,8.0701024E7
40000.0,138.935428702,0.0023662415164104338,40000.0,0.9983590127644577,0.8224979739531406,0.938,0.7316876844647167,0.9960533535941919,0.11234705228031146,0.9649012813540153,1.0,0.3765711412770233,40000.0,7.9565904E7
41000.0,142.803398106,0.002463115316125013,41000.0,0.9970486965076242,0.8401556269154579,0.941,0.7515538412302715,0.9983590127644577,0.11982082866741321,0.9664008335616349,1.0,0.4078335373317007,41000.0,7.9569264E7
42000.0,146.982051623,0.002567489105536879,42000.0,0.99704804922289,0.8219619385321781,0.931,0.6931533166124128,0.9970486965076242,0.10253583241455347,0.961210189065532,1.0,0.30636668262326533,42000.0,9.6551152E7
43000.0,151.706146438,0.0026724137478410094,43000.0,0.9981219951923077,0.8188634738218435,0.935,0.7267162221250548,0.99704804922289,0.11607142857142858,0.9630448365174163,1.0,0.34726763194768884,43000.0,8.5854144E7
44000.0,156.053701449,0.002761914349618707,44000.0,0.9984089359353183,0.8421633524005439,0.937,0.7316911125875202,0.9981219951923077,0.11482720178372352,0.9642436861538817,1.0,0.36784492588369466,44000.0,7.9576208E7
45000.0,160.225955581,0.0028661967192528683,45000.0,0.9982715707964602,0.8405101816504823,0.943,0.7404655228936725,0.9984089359353183,0.10619469026548672,0.967960176171968,1.0,0.4275831287658999,45000.0,7.9579568E7
46000.0,164.635246552,0.0029762787010248776,46000.0,0.9983150183150183,0.8448998877966308,0.927,0.6736117320933563,0.9982715707964602,0.0989010989010989,0.9590517294600014,1.0,0.2653686283089041,46000.0,9.6505008E7
47000.0,168.977903485,0.003082370450334293,47000.0,0.9995331354146715,0.8458174312944774,0.948,0.7517947151367035,0.9983150183150183,0.1013215859030837,0.970943498630605,1.0,0.4758739009221524,47000.0,9.4434016E7
48000.0,173.210977729,0.0031695258319465727,48000.0,0.9978119678428577,0.846795983132292,0.953,0.8027629966595604,0.9995331354146715,0.12866817155756208,0.9731148934924357,1.0,0.527737073477077,48000.0,7.9586736E7
49000.0,177.393754069,0.0032741233096161993,49000.0,0.9972849450201366,0.8253101746787861,0.943,0.7439583146168356,0.9978119678428577,0.10864745011086474,0.9678879559864771,1.0,0.42707692307692274,49000.0,7.9590096E7
50000.0,181.80046967,0.003384260250182872,50000.0,0.9973596975865077,0.8393759680486539,0.939,0.7244307914709068,0.9972849450201366,0.10497237569060773,0.9657104561321023,1.0,0.3863179074446677,50000.0,7.9593456E7
51000.0,186.258177703,0.003496066097362823,51000.0,0.9981742175574423,0.8325079219749458,0.942,0.7636068700734447,0.9973596975865077,0.1273957158962796,0.9667528373260746,1.0,0.4180602006688959,51000.0,9.6951664E7
52000.0,190.891221339,0.003595962542099215,52000.0,0.9986444444444444,0.8418482213661298,0.948,0.7653429602888084,0.9981742175574423,0.1111111111111111,0.9706813185707357,1.0,0.4782944240787184,52000.0,8.334624E7
53000.0,194.765353568,0.003675741308948938,53000.0,0.9988195398351648,0.8439501167495995,0.949,0.7750926089257362,0.9986444444444444,0.11607142857142858,0.9711232450841948,1.0,0.48874598070739483,53000.0,7.96004E7
