learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.181791267,1.3845493863026302E-10,1000.0,0.778816927753098,0.12896329248387314,0.987,0.0,0.0,0.013171225937183385,0.0,0.0,0.0,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.229133515,1.7451150036520429E-10,2000.0,0.9934343434343434,0.22242909768936714,0.991,0.18032786885246582,0.778816927753098,0.010101010101010102,0.31622776601683794,0.1,0.2173913043478223,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.263309879,2.0054072860214447E-10,3000.0,0.9976767676767677,0.25659164489972003,0.991,0.18032786885246582,0.9934343434343434,0.010101010101010102,0.31622776601683794,0.1,0.18181818181818182,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.318362268,2.841702952111761E-10,4000.0,0.5927794595806705,0.11345967609477049,0.991,0.0,0.9976767676767677,0.009081735620585268,0.0,0.0,0.14285714285713833,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.341347981,3.190876757519113E-10,5000.0,0.9985424374929925,0.20717230384293764,0.991,0.0,0.5927794595806705,0.009081735620585268,0.0,0.0,0.1176470588235275,5000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.378441941,3.980838738795784E-10,6000.0,0.9978202548625084,0.2016475357477061,0.994,0.0,0.9985424374929925,0.006036217303822937,0.0,0.0,0.36842105263157526,6000.0,8232.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.40703838,4.6105496228569085E-10,7000.0,0.8272429435483871,0.06499727453353107,0.992,0.0,0.9978202548625084,0.008064516129032258,0.0,0.0,0.13846153846153259,7000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.442243525,5.600727480546468E-10,8000.0,0.9920874694288592,0.10260021052749609,0.993,0.0,0.8272429435483871,0.007049345417925478,0.0,0.0,0.2222222222222222,8000.0,10872.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.465020626,6.257853763074511E-10,9000.0,0.913054435483871,0.12464506977613694,0.992,0.0,0.9920874694288592,0.008064516129032258,0.0,0.0,0.09999999999999376,9000.0,11152.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.486591737,6.880186867776017E-10,10000.0,0.9495073891625616,0.22831473671619865,0.986,0.0,0.913054435483871,0.014198782961460446,0.0,0.0,-0.4893617021276666,10000.0,11152.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.501851212,7.320427356681063E-10,11000.0,0.988140703517588,0.06915323928946165,0.995,0.0,0.9495073891625616,0.005025125628140704,0.0,0.0,0.4444444444444444,11000.0,11152.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12000.0,0.517858068,7.794156051530607E-10,12000.0,0.9407684514067493,0.14649506114978827,0.987,0.0,0.988140703517588,0.013171225937183385,0.0,0.0,-0.3928571428571484,12000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13000.0,0.533414434,8.254552331835861E-10,13000.0,0.9962595310027335,0.17385719067731262,0.993,0.0,0.9407684514067493,0.007049345417925478,0.0,0.0,0.23529411764706026,13000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14000.0,0.546999612,8.656610590074626E-10,14000.0,0.994310653885122,0.27281785977533335,0.987,0.0,0.9962595310027335,0.013171225937183385,0.0,0.0,-0.37878787878787645,14000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
15000.0,0.567307376,9.39674241702176E-10,15000.0,0.9335353535353536,0.14039196796871795,0.99,0.0,0.994310653885122,0.010101010101010102,0.0,0.0,-0.056338028169019866,15000.0,14088.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
16000.0,0.585761933,1.0069332712433406E-9,16000.0,0.8960429242119383,0.033515020410952306,0.993,-0.0017172295363338291,0.9335353535353536,0.006036217303822937,0.0,0.0,0.24324324324324098,16000.0,14088.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
17000.0,0.599977791,1.0587440415140656E-9,17000.0,0.9003584888316941,0.032992215828647024,0.989,0.0,0.8960429242119383,0.011122345803842264,0.0,0.0,-0.1761006289308217,17000.0,14088.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
18000.0,0.617978794,1.1353402779251338E-9,18000.0,0.8883282879246552,0.033937912751932905,0.991,0.0,0.9003584888316941,0.009081735620585268,0.0,0.0,0.03571428571428189,18000.0,16448.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
19000.0,0.631253498,1.1937487334426908E-9,19000.0,0.8612244897959184,0.039108952441970206,0.98,0.0,0.8883282879246552,0.02040816326530612,0.0,0.0,-1.0212765957446772,19000.0,17008.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
20000.0,0.644601469,1.2524795624241234E-9,20000.0,0.8938383838383839,0.04112324526237871,0.99,0.0,0.8612244897959184,0.010101010101010102,0.0,0.0,-0.010101010101008969,20000.0,17008.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
