learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.992990067,4.708188241752609E-7,1000.0,0.5,0.0,0.982,0.0,0.0,0.018329938900203666,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.004750662,1.4280442349687963E-6,2000.0,0.7458865704568435,0.4450116443077193,0.924,0.0989922940130418,0.5,0.011122345803842264,0.6499025926292658,0.45454545454545453,-4.24137931034484,2000.0,1839248.0
3000.0,5.093649497,5.616046199276042E-6,3000.0,0.9685598377281948,0.6685199317588572,0.87,0.1556687103813779,0.7458865704568435,0.014198782961460446,0.9317479048621522,1.0,-8.069767441860481,3000.0,3961632.0
4000.0,7.163396774,1.4335002908143852E-5,4000.0,0.9851819882031363,0.7041821943041039,0.889,0.10010701430100225,0.9685598377281948,0.007049345417925478,0.9424529286169205,1.0,-7.880000000000031,4000.0,1.5899728E7
5000.0,9.63175721,2.3512063328703048E-5,5000.0,0.9841229838709677,0.6373264418316182,0.902,0.1273685710215138,0.9851819882031363,0.008064516129032258,0.949320639941719,1.0,-7.448275862068924,5000.0,2017216.0
6000.0,11.723513631,3.3024471002723315E-5,6000.0,0.981010101010101,0.6132684350340536,0.915,0.1595807791180546,0.9841229838709677,0.010101010101010102,0.9075441386711522,0.9,-6.500000000000015,6000.0,1.7578496E7
7000.0,14.341540877,3.7241749137848595E-5,7000.0,0.963835685483871,0.5244398753862165,0.927,0.16765483900392286,0.981010101010101,0.008064516129032258,0.9625026183458311,1.0,-5.723684210526286,7000.0,6226736.0
8000.0,16.087655019,4.7068978750576575E-5,8000.0,0.9765668796950331,0.5742519701140538,0.92,0.1528474913696344,0.963835685483871,0.009081735620585268,0.9044495160094644,0.8888888888888888,-6.529411764705881,8000.0,2.1755088E7
9000.0,18.321046196,5.5904268722820816E-5,9000.0,0.9793353576248313,0.5396902029980434,0.948,0.2828773168579001,0.9765668796950331,0.012145748987854251,0.932388788489804,0.9166666666666666,-3.8247422680412426,9000.0,1.5291792E7
10000.0,20.244273613,7.120576665325249E-5,10000.0,0.9781326427852107,0.5123191328327976,0.947,0.1989117291414758,0.9793353576248313,0.007049345417925478,0.9729472671696293,1.0,-4.096153846153868,10000.0,3.0754288E7
11000.0,23.090851477,9.384593816045547E-5,11000.0,0.9797979797979798,0.534418965706056,0.951,0.2559975706043131,0.9781326427852107,0.010101010101010102,0.9253991767684022,0.9,-3.7280701754386056,11000.0,2.1475424E7
12000.0,25.705439906,1.1892377597092079E-4,12000.0,0.9408033826638478,0.5864155435165795,0.897,0.13138809242705296,0.9797979797979798,0.011122345803842264,0.8571034618604214,0.8181818181818182,-8.888000000000034,12000.0,3.707568E7
13000.0,28.625105334,1.5023984352215616E-4,13000.0,0.8948855404230658,0.614839864743153,0.855,0.09810165949294719,0.9408033826638478,0.014198782961460446,0.7823946627421822,0.7142857142857143,-12.561151079136724,13000.0,3.047104E7
14000.0,31.51604492,1.8481844561863423E-4,14000.0,0.9041539634146342,0.6037747227172631,0.83,0.10639192598822554,0.8948855404230658,0.016260162601626018,0.8213441417499683,0.8125,-14.354838709677354,14000.0,4.6234992E7
15000.0,34.631122279,2.344591620276714E-4,15000.0,0.9219377510040161,0.7446886905320498,0.85,0.043172075933864705,0.9041539634146342,0.004016064257028112,0.9216276853271314,1.0,-13.150943396226346,15000.0,3.8244976E7
16000.0,37.947239535,2.805055272184931E-4,16000.0,0.9817236753856472,0.4748710541591307,0.973,0.26285901496123104,0.9219377510040161,0.006036217303822937,0.9008528636566668,0.8333333333333334,-1.618181818181834,16000.0,5.367448E7
