learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.162938156,5.929299520427982E-9,1000.0,0.5382293762575453,0.00520003507440306,0.994,0.0,0.0,0.006036217303822937,0.0,0.0,0.0,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.244706698,8.90484673888733E-9,2000.0,0.9005796370967742,0.038925088118629145,0.992,0.0,0.5382293762575453,0.008064516129032258,0.0,0.0,-0.14285714285714285,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.308531042,1.1227406792106729E-8,3000.0,0.9779014844804319,0.05980361065643213,0.988,0.0,0.9005796370967742,0.012145748987854251,0.0,0.0,-0.3846153846153787,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.422514475,1.6554753769861743E-8,4000.0,0.9949748743718593,0.05741419863322873,0.995,0.0,0.9779014844804319,0.005025125628140704,0.0,0.0,0.35483870967742165,4000.0,180664.0,15.0,3983.5333333333333,15.59727285889813,5586.666666666668,27.731135444043254,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.492956367,2.002419143240692E-8,5000.0,0.8692929292929293,0.020839512655224116,0.99,0.0,0.9949748743718593,0.010101010101010102,0.0,0.0,-0.21951219512195452,5000.0,190384.0,15.0,4983.866666666667,16.370666759748385,6229.866666666666,244.53676063444388,3.4,0.21380899352993946,2.2000000000000006,0.10690449676496977,2.2000000000000006,0.10690449676496977,1.2,0.10690449676496973,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.557398398,2.3444321353619713E-8,6000.0,0.9729251012145749,0.1362877237112014,0.988,0.0,0.8692929292929293,0.012145748987854251,0.0,0.0,-0.358490566037733,6000.0,205152.0,15.0,5980.666666666666,20.516350428880724,7206.4,346.1542293200973,4.066666666666667,0.26666666666666666,2.5333333333333337,0.13333333333333333,2.5333333333333337,0.13333333333333333,1.5333333333333332,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.622641702,2.7250623256301303E-8,7000.0,0.9636150234741784,0.07641209035178202,0.994,0.0,0.9729251012145749,0.006036217303822937,0.0,0.0,0.2881355932203403,7000.0,225512.0,15.0,6977.400000000001,20.572473518433963,8552.533333333333,47.00859766009035,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.693945078,3.189730347785892E-8,8000.0,0.9700639085099226,0.047365770282761205,0.991,0.0,0.9636150234741784,0.009081735620585268,0.0,0.0,-0.05882352941177162,8000.0,251904.0,15.0,7989.533333333332,23.421168013382918,10296.0,338.84329852068925,6.333333333333332,0.25197631533948484,3.666666666666666,0.12598815766974242,3.666666666666666,0.12598815766974242,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.750438419,3.55788471157704E-8,9000.0,0.9875252016129032,0.07673065743827188,0.992,0.0,0.9700639085099226,0.008064516129032258,0.0,0.0,0.05263157894737119,9000.0,251904.0,15.0,8997.666666666668,24.060175882400852,10296.0,338.84329852068925,6.333333333333332,0.25197631533948484,3.666666666666666,0.12598815766974242,3.666666666666666,0.12598815766974242,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.808988439,3.943913362961056E-8,10000.0,0.9800426056732817,0.062161291208962056,0.991,0.0,0.9875252016129032,0.009081735620585268,0.0,0.0,-0.05882352941177162,10000.0,254856.0,15.0,10008.4,25.97284296007217,10491.2,321.23362215060854,6.466666666666665,0.23637473611411156,3.7333333333333325,0.11818736805705578,3.7333333333333325,0.11818736805705578,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
