learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.091295123,5.174294322916494E-7,1000.0,0.5,0.0,0.988,0.0,0.0,0.012145748987854251,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.338363046,1.5255465938594936E-6,2000.0,0.7677312616889657,0.44582513293598447,0.95,0.127186398072826,0.5,0.007049345417925478,0.7378225418720209,0.5714285714285714,-4.263157894736873,2000.0,1734192.0
3000.0,5.330237511,5.233459321203529E-6,3000.0,0.9859595959595959,0.7615477969366451,0.914,0.17371252882398236,0.7677312616889657,0.010101010101010102,0.9555790459879879,1.0,-7.896551724137885,3000.0,5586064.0
4000.0,7.487388835,7.891487325020796E-6,4000.0,0.9628830384117393,0.5937266868285915,0.926,0.12832473437463154,0.9859595959595959,0.007049345417925478,0.8911399109893662,0.8571428571428571,-7.22222222222221,4000.0,4763008.0
5000.0,9.657440804,8.381723509535366E-6,5000.0,0.9931658291457286,0.794171374100042,0.931,0.11832353692818869,0.9628830384117393,0.005025125628140704,0.9647037194556981,1.0,-7.414634146341473,5000.0,873248.0
6000.0,11.247967272,1.4715647669020451E-5,6000.0,0.9612121212121212,0.5721814965364769,0.935,0.16258696212316506,0.9931658291457286,0.010101010101010102,0.8100380337747211,0.7,-6.6470588235294485,6000.0,1.4909872E7
7000.0,13.142441899,2.9617342251595084E-5,7000.0,0.9889112903225806,0.6272612282866796,0.945,0.2141959081037832,0.9612121212121212,0.008064516129032258,0.9718829413118142,1.0,-5.525423728813547,7000.0,2.6513136E7
8000.0,15.434782062,5.397889292742592E-5,8000.0,0.9584232484534599,0.54417555049044,0.932,0.11695192582396265,0.9889112903225806,0.007049345417925478,0.8165846746411968,0.7142857142857143,-7.242424242424256,8000.0,3.3890656E7
9000.0,18.1861093,8.563524821411916E-5,9000.0,0.9953963458495181,0.694822022999183,0.948,0.20213582103292732,0.9584232484534599,0.007049345417925478,0.9734646547452392,1.0,-5.410958904109628,9000.0,4.447552E7
10000.0,21.569306118,1.263779899207878E-4,10000.0,0.899445564516129,0.4599807692891069,0.91,0.048545331529092677,0.9953963458495181,0.008064516129032258,0.585549266542438,0.375,-10.111111111111112,10000.0,3.3850976E7
11000.0,24.329859497,1.6169326584541038E-4,11000.0,0.843643717253424,0.5556262155569555,0.855,0.06898500102732741,0.899445564516129,0.011122345803842264,0.7386733959477999,0.6363636363636364,-16.336956521739157,11000.0,4.1690768E7
12000.0,27.409504599,2.0728005341098642E-4,12000.0,0.812759277945958,0.4483237589010283,0.861,0.051064991807754874,0.843643717253424,0.009081735620585268,0.6927296914266139,0.5555555555555556,-15.514851485148592,12000.0,5.7219056E7
13000.0,31.088065194,2.644182498090992E-4,13000.0,0.9656218402426694,0.47786915634467114,0.956,0.25325005940056455,0.812759277945958,0.011122345803842264,0.8349388584352281,0.7272727272727273,-4.1071428571428825,13000.0,5.3298608E7
14000.0,34.187430374,3.196042561710419E-4,14000.0,0.9526852786186792,0.4610228794747431,0.956,0.1727768377514574,0.9656218402426694,0.009081735620585268,0.7301585560590311,0.5555555555555556,-4.090909090909077,14000.0,6.882696E7
15000.0,37.543018185,3.7785130802814033E-4,15000.0,0.9141465208199283,0.5123881967036659,0.897,0.08616651288239006,0.9526852786186792,0.011122345803842264,0.7010031812058112,0.5454545454545454,-10.704545454545412,15000.0,5.7482208E7
