learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.144653149,5.2684009822333855E-9,1000.0,0.8160425101214575,0.2897209954677324,0.97,0.2371847030105776,0.0,0.012145748987854251,0.6379396026052935,0.4166666666666667,-1.5,1000.0,140784.0,15.0,0.9189999563745367,0.08100004362546327,28.333333333333336,1.185895950895021,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.213639591,7.780950769819319E-9,2000.0,0.9556898288016112,0.5924159732215697,0.916,0.11349388944002303,0.8160425101214575,0.007049345417925478,0.8862835265455303,0.8571428571428571,-7.842105263157935,2000.0,140784.0,15.0,0.9983576786904326,0.0016423213095672416,42.06666666666667,1.357401813222482,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.263440262,9.594737098192175E-9,3000.0,0.9422222222222222,0.6015571666760748,0.911,0.15286502950694816,0.9556898288016112,0.010101010101010102,0.9055385138137416,0.9,-8.20689655172409,3000.0,140784.0,15.0,0.9999999999999905,9.595721772503813E-15,61.66666666666667,1.8610459595324516,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.305617086,1.1130855893567204E-8,4000.0,0.9355488418932527,0.5312513197202581,0.905,0.08325935075462303,0.9422222222222222,0.007049345417925478,0.8046047880242346,0.7142857142857143,-9.555555555555543,4000.0,140784.0,15.0,0.9999999974633729,2.5366269568341964E-9,75.93333333333334,2.191904296369813,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.342044319,1.2457569286562502E-8,5000.0,0.9905527638190955,0.7768005008144298,0.91,0.09136799596163558,0.9355488418932527,0.005025125628140704,0.9537021226218737,1.0,-9.975609756097578,5000.0,140784.0,15.0,0.9999999847898355,1.521016433984327E-8,85.26666666666668,2.285496021324925,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.37758743,1.3752082141612966E-8,6000.0,0.9144444444444444,0.519068264911313,0.9,0.10650464617583935,0.9905527638190955,0.010101010101010102,0.7946157193349132,0.7,-10.764705882353004,6000.0,140784.0,15.0,0.9999983777128878,1.622287112003566E-6,105.73333333333332,2.7315906174951072,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.41191831,1.5002444426591197E-8,7000.0,0.9739163306451613,0.6638549784758404,0.893,0.11687025420930966,0.9144444444444444,0.008064516129032258,0.9445300931014287,1.0,-11.694915254237252,7000.0,140784.0,15.0,0.9995811323767688,4.1886762323120304E-4,120.46666666666667,2.7270543443109814,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.445788937,1.6236043873193362E-8,8000.0,0.9463386563084448,0.6070606085997308,0.883,0.08085347076014181,0.9739163306451613,0.007049345417925478,0.8700651581174107,0.8571428571428571,-13.181818181818215,8000.0,140784.0,15.0,0.9999999999972912,2.708782941952125E-12,133.93333333333337,2.644791227095371,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.478946974,1.7443690135354797E-8,9000.0,0.991799741044454,0.7624574573675716,0.887,0.09830833067347669,0.9463386563084448,0.007049345417925478,0.9413837814450462,1.0,-12.93150684931514,9000.0,140784.0,15.0,0.9999996411948868,3.588051131110014E-7,147.9333333333333,3.0464134520177852,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.512221638,1.8655584060326217E-8,10000.0,0.9158266129032258,0.5052607970991374,0.886,0.08147479695758678,0.991799741044454,0.008064516129032258,0.8156730844187279,0.75,-13.07407407407408,10000.0,140784.0,15.0,0.9999999999999994,6.318119550442823E-26,162.66666666666666,3.1481917208313575,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
