learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.044175418,4.950879760768761E-7,1000.0,0.5,0.0,0.596,0.0,0.0,0.6778523489932886,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.133741646,1.1527092877775677E-6,2000.0,0.7352299679885886,0.43332648605263213,0.752,0.4484182057578022,0.5,0.6835016835016835,0.6711022022728038,0.4802955665024631,0.38765432098765434,2000.0,1216528.0
3000.0,5.123845383,4.180371294819986E-6,3000.0,0.9886180562820379,0.8006205282786937,0.953,0.9036529867574105,0.7352299679885886,0.6528925619834711,0.9603718288177642,1.0,0.8829875518672198,3000.0,5880768.0
4000.0,7.228570949,5.762758004488597E-6,4000.0,0.9795990078544853,0.7822520765062654,0.947,0.8925690193375764,0.9886180562820379,0.6949152542372882,0.9540280349787545,1.0,0.8687306501547987,4000.0,2906160.0
5000.0,9.223877971,1.0038375019656769E-5,5000.0,0.9875794912559619,0.801578658150239,0.954,0.9062051415894558,0.9795990078544853,0.6891891891891891,0.9594508875207672,0.9926470588235294,0.8863074641621353,5000.0,1.1769952E7
6000.0,11.384858607,2.0031089437685246E-5,6000.0,0.9893889223359422,0.8156444450206396,0.969,0.9359482958114317,0.9875794912559619,0.6556291390728477,0.9732310830696445,0.9949494949494949,0.9231087226126498,6000.0,1.2013328E7
7000.0,13.588574382,3.5563728498643535E-5,7000.0,0.9898916666666666,0.79445337239116,0.955,0.9079001227998361,0.9893889223359422,0.6666666666666666,0.9614312247893761,0.9975,0.8882582476055337,7000.0,2.476112E7
8000.0,16.285343284,6.226532476146716E-5,8000.0,0.9830910168178296,0.7562439539067819,0.951,0.9003692437822274,0.9898916666666666,0.6863406408094435,0.9577939802485382,1.0,0.8784872907625542,8000.0,3.2331936E7
9000.0,18.73130585,9.034221986399001E-5,9000.0,0.9882893504582246,0.7844073722812991,0.953,0.9036348128465045,0.9830910168178296,0.6556291390728477,0.9599521486167711,0.9974747474747475,0.883213694091662,9000.0,4.4371248E7
10000.0,21.657434498,1.124029285620393E-4,10000.0,0.9798831521399172,0.7499867836168103,0.939,0.8759960969263294,0.9882893504582246,0.6638935108153078,0.9478937154767227,1.0,0.8482964436707285,10000.0,2.9142608E7
11000.0,23.735606452,1.3625980814015203E-4,11000.0,0.9896793574526989,0.782845480465586,0.953,0.9030735980730206,0.9798831521399172,0.6366612111292962,0.9599934996140559,0.9948586118251928,0.8827664399092969,11000.0,4.2482848E7
12000.0,26.587001146,1.7774337213638248E-4,12000.0,0.9834975369458128,0.761419452187396,0.945,0.8891129032258064,0.9896793574526989,0.7241379310344828,0.9514054938842341,1.0,0.8633540372670806,12000.0,5.6236864E7
13000.0,29.711069966,2.3550442497274136E-4,13000.0,0.9873062099205713,0.762925411622299,0.952,0.902871365264372,0.9834975369458128,0.7152658662092625,0.9579494968013478,1.0,0.8810748999428244,13000.0,4.1008224E7
14000.0,32.928460945,2.8231548878665085E-4,14000.0,0.9881850516288629,0.7693772508333849,0.954,0.9070305142020993,0.9873062099205713,0.7271157167530224,0.9594543642244591,1.0,0.886379675370501,14000.0,5.6240224E7
15000.0,36.090510396,3.388823248123076E-4,15000.0,0.9842033892594838,0.7679426251855148,0.957,0.9111746430460074,0.9881850516288629,0.6339869281045751,0.9638319896670995,0.9974226804123711,0.8934940554821663,15000.0,6.849336E7
16000.0,39.668565161,4.163823130164192E-4,16000.0,0.9857185612335656,0.7884131163840399,0.963,0.9233675210842873,0.9842033892594838,0.6313213703099511,0.9693508700664233,1.0,0.9081173366444202,16000.0,8.372536E7
17000.0,43.798834357,5.022966695050976E-4,17000.0,0.9823307262284403,0.7679918558369556,0.951,0.8980890659966888,0.9857185612335656,0.6051364365971108,0.9589858014523489,0.9946949602122016,0.8778592375366567,17000.0,8.040624E7
18000.0,47.451366087,5.670234678539108E-4,18000.0,0.9881205468156108,0.7626202040502967,0.943,0.8812717668427454,0.9823307262284403,0.5847860538827259,0.9533008252482156,0.997289972899729,0.8572819585477812,18000.0,6.8500304E7
19000.0,50.448056265,6.319365925738844E-4,19000.0,0.9908072452281884,0.7810772234746748,0.955,0.9085514550479596,0.9881205468156108,0.7006802721088435,0.9606896010729319,0.9975728155339806,0.8875148006841204,19000.0,8.0972848E7
20000.0,54.024946151,7.190315957858896E-4,20000.0,0.9881001383034773,0.764980281998048,0.96,0.9187441089478987,0.9908072452281884,0.7123287671232876,0.9648709047070823,0.9975961538461539,0.9002120493950355,20000.0,9.412176E7
21000.0,57.88377516,7.977891635482138E-4,21000.0,0.9878908134910731,0.761035128864236,0.954,0.9060856498873027,0.9881001383034773,0.6722408026755853,0.9607689228305228,1.0,0.8852595320109276,21000.0,7.889312E7
22000.0,61.332582364,8.817684323997394E-4,22000.0,0.9839070052106258,0.7584515091120789,0.946,0.8894932652284419,0.9878908134910731,0.6474464579901154,0.9544830492305947,1.0,0.8651838402178845,22000.0,7.889648E7
23000.0,65.004650664,9.711873534852237E-4,23000.0,0.9891585284062097,0.775198186644533,0.965,0.9291400435687504,0.9839070052106258,0.7421602787456446,0.9687921233878415,0.9976525821596244,0.9128599263909937,23000.0,7.889984E7
24000.0,68.738448183,0.0010621126948152022,24000.0,0.9832140263512813,0.7548972993397196,0.946,0.8901210703021669,0.9891585284062097,0.680672268907563,0.9529419449532546,0.9950617283950617,0.8656019910816135,24000.0,9.413184E7
25000.0,72.463751734,0.0011381547616466706,25000.0,0.9829254086374949,0.7665192264345506,0.949,0.8975607404550713,0.9832140263512813,0.763668430335097,0.9539669334169345,1.0,0.8734616911472806,25000.0,7.89032E7
26000.0,75.842614847,0.0012204396864575464,26000.0,0.9892916328463204,0.7674741915952042,0.953,0.9028909568753202,0.9829254086374949,0.6233766233766234,0.9610938032790028,1.0,0.8831739961759081,26000.0,7.890656E7
