learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.189627989,6.906426098657151E-9,1000.0,0.9310155821783729,0.6368188190268879,0.952,0.6171027440970004,0.0,0.05708245243128964,0.8747293953855187,0.7962962962962963,0.1111111111111111,1000.0,140784.0,15.0,0.9931916638293228,0.006808336170677235,1289.8666666666668,9.210690820824759,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.302798454,1.102819871880114E-8,2000.0,0.9912301307650145,0.7864982529486367,0.967,0.7458018795254967,0.9310155821783729,0.05708245243128964,0.9737973414600959,0.9814814814814815,0.3888888888888889,2000.0,140784.0,15.0,0.9874689142288062,0.012531085771193815,2579.866666666667,13.887598670230826,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.493179262,2.087695290284852E-8,3000.0,0.9700820264881506,0.5861519489218359,0.95,0.5899690016565252,0.9912301307650145,0.05374077976817703,0.8672264148304294,0.7843137254901961,0.05660377358490566,3000.0,199968.0,15.0,0.9089067677390983,0.09109323226090182,3852.6,18.36969554145397,6854.4,353.6542944741376,3.933333333333333,0.26666666666666666,2.466666666666667,0.1333333333333333,2.466666666666667,0.1333333333333333,1.4666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.613177783,2.7837447860023627E-8,4000.0,0.9829416501940113,0.690943344690477,0.947,0.6526594489737065,0.9700820264881506,0.06157112526539278,0.9556380145929774,0.9655172413793104,0.02304147465437738,4000.0,224216.0,15.0,0.9785923500355954,0.02140764996440455,5143.533333333334,16.43540506597084,8456.0,440.04986730402004,5.2666666666666675,0.2666666666666666,3.1333333333333337,0.1333333333333333,3.1333333333333337,0.1333333333333333,2.066666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.743189556,3.708172360127792E-8,5000.0,0.9794567191283293,0.6865771311698147,0.947,0.6490438099274247,0.9829416501940113,0.059322033898305086,0.963349244850734,0.9821428571428571,0.02930402930402812,5000.0,274848.0,15.0,0.9300509971199244,0.06994900288007548,6433.6,17.30752657633313,11801.6,632.1379957843743,7.666666666666667,0.46462136829144635,4.333333333333333,0.23231068414572317,4.333333333333333,0.23231068414572317,3.2,0.22253945610567472,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.820479599,4.3115891482275396E-8,6000.0,0.9838729308666018,0.7471836411118922,0.938,0.5977787004359555,0.9794567191283293,0.05485232067510549,0.9667466866341686,1.0,-0.144615384615385,6000.0,301784.0,15.0,0.9807242882650121,0.019275711734987936,7702.666666666666,21.954859895154723,13581.333333333332,463.8867951668366,9.0,0.3380617018914066,5.0,0.1690308509457033,5.0,0.1690308509457033,3.8,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.883789042,4.819889804419958E-8,7000.0,0.9930898128572547,0.8011649394798799,0.939,0.6104227870736999,0.9838729308666018,0.05708245243128964,0.9672217793255543,1.0,-0.12664907651715104,7000.0,310352.0,15.0,0.973829792723986,0.02617020727601398,8992.266666666666,23.025755076118447,14147.733333333332,419.1767835567898,9.400000000000002,0.28949874578229845,5.200000000000001,0.14474937289114923,5.200000000000001,0.14474937289114923,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.944787394,5.318484709408962E-8,8000.0,0.9924134814049587,0.8103019805380287,0.955,0.5676070412791139,0.9930898128572547,0.03305785123966942,0.9764795935882198,1.0,0.12408759124087426,8000.0,315960.0,15.0,0.9568082056624482,0.043191794337551756,10180.133333333335,25.878814035287945,14518.4,461.58663016042516,9.666666666666666,0.31872762915583824,5.333333333333333,0.15936381457791912,5.333333333333333,0.15936381457791912,4.133333333333334,0.09085135251589964,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.003787644,5.804386109079752E-8,9000.0,0.9914547443259503,0.8098013795873742,0.954,0.6448863636363633,0.9924134814049587,0.04821802935010482,0.9755931378653169,1.0,0.09409190371991226,9000.0,318344.0,15.0,0.9337753456170633,0.0662246543829366,11452.333333333334,27.683528997903753,14675.733333333332,470.6264868860762,9.799999999999999,0.32659863237109027,5.3999999999999995,0.16329931618554513,5.3999999999999995,0.16329931618554513,4.2,0.1069044967649697,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.057140953,6.240833440458194E-8,10000.0,0.995454451538255,0.8285397482803072,0.955,0.6720307853769456,0.9914547443259503,0.05374077976817703,0.9760029021014395,1.0,0.11417322834645514,10000.0,316208.0,15.0,0.9431511660892978,0.056848833910702064,12725.133333333331,28.70985672231529,14533.866666666667,380.1942093527948,9.933333333333335,0.43057731639837393,5.466666666666668,0.21528865819918697,5.466666666666668,0.21528865819918697,4.2666666666666675,0.11818736805705583,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.109900022,6.679746376963745E-8,11000.0,0.9927757216876388,0.8159359638795732,0.956,0.5943578869733561,0.995454451538255,0.03626943005181347,0.9769361008160771,1.0,0.1086556169429094,11000.0,321576.0,15.0,0.9994481953394218,5.518046605782436E-4,13945.666666666668,27.774202944573382,14889.599999999999,627.6791172929957,9.933333333333335,0.43057731639837393,5.466666666666668,0.21528865819918697,5.466666666666668,0.21528865819918697,4.2666666666666675,0.11818736805705583,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.161554742,7.109472019764077E-8,12000.0,0.9929096638655462,0.8272620600516079,0.949,0.6241377277283177,0.9927757216876388,0.05042016806722689,0.9631925279705897,0.9791666666666666,-0.03553299492385845,12000.0,321576.0,15.0,0.9036452699401839,0.09635473005981593,15206.733333333334,23.697592135402065,14889.599999999999,627.6791172929957,9.933333333333335,0.43057731639837393,5.466666666666668,0.21528865819918697,5.466666666666668,0.21528865819918697,4.2666666666666675,0.11818736805705583,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.221235694,7.622804680823245E-8,13000.0,0.9904502522739573,0.825934864029818,0.947,0.6709954560127129,0.9929096638655462,0.06496272630457935,0.9713686094917096,1.0,-0.05674846625767069,13000.0,332480.0,15.0,0.9134012465885046,0.08659875341149534,16512.86666666667,22.73467388869694,15609.066666666668,644.507397472539,10.733333333333334,0.38379888913542637,5.866666666666667,0.19189944456771318,5.866666666666667,0.19189944456771318,4.666666666666666,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.302046825,8.392676895508129E-8,14000.0,0.9902756682204648,0.8014241269352478,0.949,0.6799216749510466,0.9904502522739573,0.06496272630457935,0.9724643443121533,1.0,-0.0014025245441803029,14000.0,368256.0,15.0,0.9385784099639178,0.061421590036082274,17828.13333333333,25.27183010439486,17973.333333333332,476.7705114988978,12.466666666666667,0.4125030062420518,6.733333333333333,0.2062515031210259,6.733333333333333,0.2062515031210259,5.3999999999999995,0.16329931618554522,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.355959229,8.931551202034578E-8,15000.0,0.9929300103305785,0.8176426130616298,0.941,0.49648392162217453,0.9902756682204648,0.03305785123966942,0.9690457093330838,1.0,-0.1879194630872501,15000.0,386368.0,15.0,0.9999935380213463,6.461978653584891E-6,19015.13333333333,27.576882427940365,19170.133333333328,692.4685302573868,13.266666666666667,0.47274947222822306,7.133333333333334,0.23637473611411153,7.133333333333334,0.23637473611411153,5.666666666666667,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.409681414,9.491950614016503E-8,16000.0,0.9949494949494949,0.8205797076626951,0.95,0.6593262836585632,0.9929300103305785,0.05708245243128964,0.9732141991249591,1.0,-0.001251564455570992,16000.0,403224.0,15.0,0.9054914608440533,0.09450853915594679,20304.733333333334,24.032213830342535,20284.8,732.0510208604705,13.933333333333335,0.511456060270383,7.466666666666667,0.2557280301351914,7.466666666666667,0.2557280301351914,5.866666666666667,0.09085135251589957,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.458560723,1.0005200543891639E-7,17000.0,0.9925291496571413,0.8382391570715023,0.962,0.654526610542393,0.9949494949494949,0.04058272632674298,0.9800295181266653,1.0,0.22911694510739786,17000.0,405888.0,15.0,0.9993600852019231,6.399147980768971E-4,21519.86666666667,23.476202067030876,20460.8,732.3806660473773,14.066666666666668,0.5114560602703829,7.533333333333333,0.25572803013519135,7.533333333333333,0.25572803013519135,5.933333333333334,0.06666666666666664,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.507172021,1.051898645117879E-7,18000.0,0.9920073228996896,0.8323162014054258,0.96,0.6820905723959241,0.9925291496571413,0.04931794333683106,0.9787886811087094,1.0,0.1864406779661014,18000.0,408552.0,15.0,0.9639835299895089,0.036016470010491006,22766.2,30.07422563623291,20636.800000000003,729.6842056670819,14.200000000000001,0.5089672082242814,7.6000000000000005,0.2544836041121407,7.6000000000000005,0.2544836041121407,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.558051891,1.1064878765268045E-7,19000.0,0.9930783693877973,0.8271842605036915,0.957,0.6824505952205121,0.9920073228996896,0.05374077976817703,0.9770819548379596,1.0,0.12713675213675235,19000.0,414728.0,15.0,0.992496338207558,0.00750366179244197,24042.733333333334,29.420994555502737,21044.8,720.160743961275,14.600000000000001,0.4859943170351649,7.8,0.24299715851758238,7.8,0.24299715851758238,6.199999999999999,0.10690449676496978,0.0,0.0,0.0,0.0,1.0,0.0
