learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.161234105,5.872294678849479E-9,1000.0,0.9837099358974359,0.8664184571438476,0.962,0.9237927161880314,0.0,1.0833333333333333,0.9612525215865029,0.9769230769230769,0.9208333333333333,1000.0,140784.0,15.0,0.6984913285595746,0.30150867144042537,774.0666666666668,7.810534197124072,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.271413144,1.0137542884144932E-8,2000.0,0.9919567827130852,0.8794265747064776,0.972,0.9440089585666293,0.9837099358974359,0.9607843137254902,0.9721759359396673,0.9857142857142858,0.9412997903563941,2000.0,149640.0,15.0,0.6486439336276204,0.35135606637237954,1552.6000000000001,10.683676912980514,3529.6,423.8261638252848,1.4000000000000001,0.28949874578229834,1.2,0.1447493728911492,1.2,0.1447493728911492,0.2,0.1447493728911492,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.343587254,1.303640433701997E-8,3000.0,0.9937925333846944,0.892348367427185,0.968,0.9359282396283838,0.9919567827130852,0.8939393939393939,0.9687740752016142,0.9851694915254238,0.9326788218793829,3000.0,155256.0,15.0,0.45268790069472475,0.5473120993052754,2320.1333333333328,14.286812656188033,3900.8,670.5693614917316,1.6666666666666667,0.46462136829144635,1.3333333333333335,0.23231068414572317,1.3333333333333335,0.23231068414572317,0.33333333333333337,0.23231068414572317,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.404533613,1.5572851710406442E-8,4000.0,0.9933830471587909,0.872701481908,0.963,0.9259555733440064,0.9937925333846944,1.0242914979757085,0.9625702166412397,0.9822134387351779,0.9235142118863049,4000.0,160872.0,15.0,0.4692820788184263,0.5307179211815737,3094.133333333333,14.175386672030745,4272.0,827.0136291846362,1.9333333333333331,0.5811865258054231,1.466666666666667,0.29059326290271154,1.466666666666667,0.29059326290271154,0.4666666666666667,0.29059326290271154,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.492671072,2.046198129604881E-8,5000.0,0.9931478903662458,0.8566832798254497,0.968,0.936003071852551,0.9933830471587909,0.9920318725099602,0.9679994795287227,0.9759036144578314,0.9343185550082101,5000.0,214424.0,15.0,0.5871175858292486,0.41288241417075144,3888.0666666666666,14.11229341378732,7811.733333333332,805.0813355341168,4.466666666666667,0.5679257720333551,2.7333333333333334,0.2839628860166776,2.7333333333333334,0.2839628860166776,1.5999999999999999,0.2138089935299395,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.567438383,2.5187860654902954E-8,6000.0,0.9923277237980568,0.8689397234111288,0.966,0.9319812268186018,0.9931478903662458,1.012072434607646,0.9656674222984524,0.9860834990059643,0.9302564102564101,6000.0,244328.0,15.0,0.6018989600413631,0.39810103995863694,4654.466666666666,17.401112900005263,9787.733333333334,770.4705764702175,5.9333333333333345,0.5474326805028538,3.4666666666666672,0.2737163402514269,3.4666666666666672,0.2737163402514269,2.1333333333333333,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.64392188,3.069748445743695E-8,7000.0,0.9914967755356772,0.8602244498153762,0.964,0.9280310905688742,0.9923277237980568,0.9762845849802372,0.9639947184283069,0.9878542510121457,0.9261213720316622,7000.0,278456.0,15.0,0.5096744318699598,0.4903255681300403,5437.2,17.674086492187747,12045.333333333334,819.7366050063285,7.4,0.5589105048046175,4.199999999999999,0.27945525240230873,4.199999999999999,0.27945525240230873,2.466666666666667,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.71444942,3.606312846039111E-8,8000.0,0.9963913231548086,0.8758150020184713,0.97,0.9398527595553915,0.9914967755356772,1.0746887966804979,0.9692334496239342,0.9864864864864865,0.9385875127942681,8000.0,294080.0,15.0,0.6454703770107606,0.3545296229892395,6227.9333333333325,20.41485609075776,13078.933333333332,889.4313189398667,8.066666666666666,0.6130848357878508,4.533333333333334,0.30654241789392533,4.533333333333334,0.30654241789392533,2.8,0.19999999999999996,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.784415764,4.159459335169237E-8,9000.0,0.9941595664139017,0.8739264678447959,0.965,0.92977584449563,0.9963913231548086,1.079002079002079,0.9637661814696937,0.9884393063583815,0.9282296650717703,9000.0,305600.0,15.0,0.6385090941995725,0.36149090580042753,7023.333333333334,21.296023922803876,13840.533333333331,803.9697569925936,8.600000000000001,0.5589105048046176,4.800000000000001,0.2794552524023088,4.800000000000001,0.2794552524023088,3.0666666666666664,0.18170270503179917,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.852101593,4.710587799267636E-8,10000.0,0.9948034803480348,0.8712693764024624,0.965,0.9300167959689674,0.9941595664139017,0.9801980198019802,0.9650228634144847,0.9818181818181818,0.9285422621478153,10000.0,314744.0,15.0,0.46143007681091325,0.5385699231890867,7825.666666666667,21.7243919673073,14445.333333333336,830.8921806546358,9.0,0.5855400437691199,5.0,0.29277002188455997,5.0,0.29277002188455997,3.266666666666667,0.2062515031210259,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.919326816,5.277151788615104E-8,11000.0,0.9952525544630808,0.8907769829465716,0.972,0.9438706780422091,0.9948034803480348,0.8796992481203008,0.9727072885435706,0.9850427350427351,0.9425801640566741,11000.0,325776.0,15.0,0.6777354647485931,0.32226453525140675,8591.200000000003,21.891333357986124,15174.4,855.1829478454972,9.533333333333333,0.6005288674451218,5.266666666666667,0.3002644337225609,5.266666666666667,0.3002644337225609,3.4666666666666663,0.19189944456771316,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.990448311,5.918238153655496E-8,12000.0,0.9935395865335381,0.8657077332672851,0.968,0.9359733649198065,0.9952525544630808,1.0161290322580645,0.9675659748929833,0.9900793650793651,0.9346271705822267,12000.0,348432.0,15.0,0.4599730727673968,0.5400269272326031,9373.666666666668,17.95329036473912,16671.999999999996,769.5555674729223,10.600000000000001,0.5589105048046175,5.800000000000001,0.27945525240230873,5.800000000000001,0.27945525240230873,3.9333333333333336,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.061138544,6.582020015418322E-8,13000.0,0.991459453405018,0.8764596946270923,0.973,0.9459766619179485,0.9935395865335381,1.0161290322580645,0.9725371627995064,0.996031746031746,0.9449325384374019,13000.0,362968.0,15.0,0.5319821846583795,0.46801781534162046,10158.266666666668,17.078660220305185,17632.0,816.4730654875681,11.533333333333333,0.6891448577190683,6.266666666666667,0.34457242885953415,6.266666666666667,0.34457242885953415,4.266666666666667,0.15327120894696272,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.129699702,7.249846784933781E-8,14000.0,0.9956771929824562,0.8937208745054117,0.976,0.95181206706154,0.991459453405018,1.105263157894737,0.9751190403520704,0.9904761904761905,0.95097037793667,14000.0,376520.0,15.0,0.5208899616300778,0.47911003836992205,10936.466666666665,18.467698097377294,18528.000000000004,1007.2756278577331,12.066666666666666,0.7001133695043469,6.533333333333333,0.35005668475217344,6.533333333333333,0.35005668475217344,4.466666666666666,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.182868977,7.776363477067194E-8,15000.0,0.9932000048084821,0.8912000593029938,0.966,0.9320057115202323,0.9956771929824562,0.9193857965451055,0.9666458964719651,0.9874739039665971,0.9306594153636981,15000.0,382784.0,15.0,0.6045183640479899,0.3954816359520103,11686.6,21.02080601961508,18942.4,974.4853821376694,12.333333333333334,0.6946507630023036,6.666666666666667,0.3473253815011518,6.666666666666667,0.3473253815011518,4.6000000000000005,0.16329931618554522,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.240436077,8.36955559537001E-8,16000.0,0.995814643944638,0.9021601506529918,0.972,0.9440141084446719,0.9932000048084821,0.9646365422396856,0.9721554443253249,0.9877800407331976,0.9429008411929645,16000.0,398312.0,15.0,0.5821651325488519,0.4178348674511481,12456.733333333332,18.324967788360325,19968.533333333333,1132.7560569003567,12.999999999999998,0.8280786712108252,6.999999999999999,0.4140393356054126,6.999999999999999,0.4140393356054126,4.866666666666667,0.21528865819918697,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.29485707,8.940420742642134E-8,17000.0,0.9923923178818548,0.884669843503694,0.962,0.9240367662051565,0.995814643944638,0.9569471624266145,0.9622328885419512,0.983640081799591,0.9224862011039117,17000.0,405480.0,15.0,0.5696990518441296,0.43030094815587044,13247.466666666667,18.835596155675102,20443.2,1083.5924167851517,13.266666666666666,0.77746025264604,7.133333333333333,0.38873012632302,7.133333333333333,0.38873012632302,5.0,0.21821789023599236,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.353299823,9.578643748472962E-8,18000.0,0.9930513051305131,0.8948164196849124,0.975,0.9500079987202047,0.9923923178818548,0.9801980198019802,0.9750441380302282,0.9878787878787879,0.9490373725934315,18000.0,422128.0,15.0,0.6166805661798787,0.3833194338201214,14021.866666666667,21.46910663447688,21543.466666666667,1087.681876927636,14.066666666666666,0.77746025264604,7.533333333333333,0.38873012632302,7.533333333333333,0.38873012632302,5.333333333333334,0.21081851067789198,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.413526449,1.0261151935066613E-7,19000.0,0.9965908954501258,0.888887185767982,0.968,0.9359192582654143,0.9930513051305131,1.0366598778004072,0.9671561749301985,0.9941060903732809,0.9346798452943704,19000.0,438048.0,15.0,0.6512670937041077,0.34873290629589243,14804.266666666666,21.51178340809575,22595.2,857.9697141951984,14.866666666666665,0.6005288674451218,7.933333333333333,0.3002644337225609,7.933333333333333,0.3002644337225609,5.466666666666667,0.19189944456771318,0.0,0.0,0.0,0.0,1.0,0.0
