learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.166747752,6.195272927284241E-9,1000.0,0.9822581292653553,0.832646077373936,0.952,0.903953897870978,0.0,0.8867924528301887,0.9531098078926922,0.9765957446808511,0.8951965065502182,1000.0,143616.0,15.0,998.6666666666667,8.83481568873784,3139.2,195.2,1.1333333333333333,0.1333333333333333,1.0666666666666667,0.06666666666666665,1.0666666666666667,0.06666666666666665,0.06666666666666668,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.253521915,9.419242164492608E-9,2000.0,0.9836799347197389,0.8200853905081773,0.946,0.8920133903395978,0.9822581292653553,0.9960079840319361,0.9455260842929212,0.9779559118236473,0.8871473354231973,2000.0,143616.0,15.0,1990.5333333333333,12.091660513273357,3139.2,195.2,1.1333333333333333,0.1333333333333333,1.0666666666666667,0.06666666666666665,1.0666666666666667,0.06666666666666665,0.06666666666666668,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.313455782,1.1645998802582425E-8,3000.0,0.9851399405597623,0.8383704904400275,0.952,0.903989630880135,0.9836799347197389,1.0040080160320641,0.951590049388122,0.9780439121756487,0.9004837595024187,3000.0,143616.0,15.0,2989.4,15.877147398818499,3139.2,195.2,1.1333333333333333,0.1333333333333333,1.0666666666666667,0.06666666666666665,1.0666666666666667,0.06666666666666665,0.06666666666666668,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.40893693,1.6762078471034767E-8,4000.0,0.9841523297275881,0.7995538485168762,0.951,0.9020517166935857,0.9851399405597623,0.9569471624266145,0.9512296996854739,0.9734151329243353,0.8993839835728952,4000.0,207120.0,15.0,3983.5333333333333,15.59727285889813,7337.599999999999,367.40921521999337,4.066666666666666,0.26666666666666655,2.533333333333333,0.13333333333333328,2.533333333333333,0.13333333333333328,1.5333333333333332,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.491183446,2.196053191776077E-8,5000.0,0.9890547822182308,0.8373160397864625,0.972,0.9439892459352195,0.9841523297275881,0.9083969465648855,0.9727734824324094,0.9936974789915967,0.9422442244224422,5000.0,244320.0,15.0,4983.866666666667,16.370666759748385,9796.266666666666,391.81404076383285,5.933333333333333,0.26666666666666666,3.4666666666666663,0.13333333333333333,3.4666666666666663,0.13333333333333333,2.4666666666666663,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.579214925,2.8407523273424143E-8,6000.0,0.9815926370548219,0.8199694802028643,0.954,0.908066192341514,0.9890547822182308,0.9607843137254902,0.9541573069817086,0.9816326530612245,0.9052848318462594,6000.0,283088.0,15.0,5980.666666666666,20.516350428880724,12358.933333333334,658.3765854387352,7.666666666666666,0.4646213682914464,4.333333333333333,0.23231068414572317,4.333333333333333,0.23231068414572317,3.2666666666666666,0.2062515031210259,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.65631433,3.439010767966302E-8,7000.0,0.9942039768159072,0.8530370859690175,0.964,0.9279945275840963,0.9815926370548219,1.0040080160320641,0.9637944363809444,0.9820359281437125,0.9259476932118718,7000.0,299944.0,15.0,6977.400000000001,20.572473518433963,13473.066666666668,750.0070315014301,8.466666666666667,0.5333333333333332,4.733333333333333,0.2666666666666666,4.733333333333333,0.2666666666666666,3.533333333333333,0.21528865819918697,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.729773567,4.029304083308826E-8,8000.0,0.9875,0.8420627155381682,0.953,0.9058342683122295,0.9942039768159072,0.8518518518518519,0.95469430910241,0.9804347826086957,0.9024390243902438,8000.0,310616.0,15.0,7989.533333333332,23.421168013382918,14178.133333333333,776.2986039789603,9.0,0.5520524474738834,5.0,0.2760262237369417,5.0,0.2760262237369417,3.599999999999999,0.19023794624226834,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.799710441,4.613655494838539E-8,9000.0,0.9816837069393111,0.8259979955170358,0.949,0.8979665330228314,0.9875,1.0080321285140563,0.9480329004112064,0.9880478087649402,0.8943370165745855,9000.0,322976.0,15.0,8997.666666666668,24.060175882400852,14995.733333333335,521.3987731428994,9.533333333333333,0.3634054100635983,5.266666666666667,0.18170270503179914,5.266666666666667,0.18170270503179914,3.8,0.10690449676496976,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.86959586,5.2221794368692984E-8,10000.0,0.9849207113507961,0.8279013739317027,0.95,0.8993234536082473,0.9816837069393111,1.11864406779661,0.9474021226344519,0.9829545454545454,0.8959200666111573,10000.0,336584.0,15.0,10008.4,25.97284296007217,15893.866666666667,390.55864588178804,10.466666666666669,0.3634054100635984,5.733333333333334,0.1817027050317992,5.733333333333334,0.1817027050317992,4.133333333333334,0.09085135251589957,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.940086321,5.869992709160265E-8,11000.0,0.9848683894327048,0.8175461919759615,0.94,0.8802242202596738,0.9849207113507961,0.9305019305019305,0.9405756474537088,0.983402489626556,0.8758698514199735,11000.0,355240.0,15.0,11014.466666666669,24.648745098293183,17126.4,525.1357810808827,11.4,0.44507891221134943,6.2,0.22253945610567472,6.2,0.22253945610567472,4.3999999999999995,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.020327242,6.71092313412163E-8,12000.0,0.9827020363729508,0.8264586140383805,0.957,0.9138221288739958,0.9848683894327048,1.0491803278688525,0.9556935124042851,0.98828125,0.9111723188156309,12000.0,405104.0,15.0,12011.333333333334,19.574440736805958,20422.399999999998,781.977644303516,13.666666666666668,0.574594404914223,7.333333333333334,0.2872972024571115,7.333333333333334,0.2872972024571115,5.066666666666666,0.20625150312102591,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.119736076,7.824207684192393E-8,13000.0,0.9928866057747319,0.877940821796617,0.971,0.9419544923219804,0.9827020363729508,1.028397565922921,0.9704641121217268,0.9921104536489151,0.9402251466624385,13000.0,432896.0,15.0,13006.666666666666,18.024234127224805,22259.2,817.1613770795071,15.0,0.6172133998483676,7.999999999999999,0.30860669992418377,7.999999999999999,0.30860669992418377,5.3999999999999995,0.2138089935299395,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.181095182,8.54574737441664E-8,14000.0,0.985606027175243,0.8553015099414203,0.958,0.9160634560272434,0.9928866057747319,0.8975332068311196,0.9591907300604737,0.9915433403805497,0.9136056420805171,14000.0,454552.0,15.0,13999.133333333333,20.74743051599094,23688.533333333333,766.5591510532583,16.46666666666667,0.5333333333333333,8.733333333333334,0.26666666666666666,8.733333333333334,0.26666666666666666,5.666666666666667,0.15936381457791912,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.238028862,9.240203635928945E-8,15000.0,0.9860278481925105,0.8437095222995501,0.955,0.9100855985102182,0.985606027175243,0.9342359767891683,0.9555477542573843,0.9855072463768116,0.907394704349019,15000.0,471496.0,15.0,14986.666666666666,23.599569541406524,24810.666666666668,630.797006565554,16.733333333333334,0.43057731639837393,8.866666666666667,0.21528865819918697,8.866666666666667,0.21528865819918697,5.733333333333333,0.11818736805705574,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.29665632,9.973629544188993E-8,16000.0,0.9888948894889489,0.8603982884553049,0.966,0.9319578138445835,0.9860278481925105,1.02020202020202,0.9653772295426964,0.9920792079207921,0.9302027200410572,16000.0,483568.0,15.0,15983.066666666668,18.348859226683135,25609.066666666662,657.1584969843497,17.266666666666666,0.43057731639837393,9.133333333333333,0.21528865819918697,9.133333333333333,0.21528865819918697,5.866666666666666,0.09085135251589967,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.353591794,1.0697684017926454E-7,17000.0,0.9922679690718763,0.8668253685791455,0.964,0.9280071992800719,0.9888948894889489,0.9960079840319361,0.9637031259131931,0.9899799599198397,0.9261137269105396,17000.0,491576.0,15.0,16985.866666666665,18.976643957059927,26138.133333333335,644.5942087610266,17.66666666666667,0.4216370213557843,9.333333333333336,0.21081851067789215,9.333333333333336,0.21081851067789215,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.416209838,1.1528191410143342E-7,18000.0,0.9872038540487118,0.865234111941265,0.966,0.9320415905465854,0.9922679690718763,0.9646365422396856,0.9661233978079677,0.9918533604887984,0.9303199362404645,18000.0,512680.0,15.0,17975.0,23.70613744119764,27532.266666666666,784.6942957469347,19.0,0.5163977794943223,10.0,0.25819888974716115,10.0,0.25819888974716115,6.599999999999999,0.16329931618554527,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.483564841,1.2477396251415834E-7,19000.0,0.984599090949208,0.8706884078907664,0.969,0.9376498415099197,0.9872038540487118,1.1141649048625792,0.9671854867008379,0.9943074003795066,0.93639995680812,19000.0,544744.0,15.0,18973.933333333334,23.394436999844242,29653.866666666672,1029.7769978965473,20.066666666666663,0.7001133695043468,10.533333333333331,0.3500566847521734,10.533333333333331,0.3500566847521734,7.066666666666666,0.22817425810877984,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.545819766,1.3375587611468924E-7,20000.0,0.9839623096202044,0.8569070966212513,0.954,0.9079528718703975,0.984599090949208,0.8796992481203008,0.9552789314644923,0.9807692307692307,0.9057763211798442,20000.0,557696.0,15.0,19965.133333333335,23.0181846677106,30509.86666666667,928.6117742639211,20.866666666666667,0.6314508363524105,10.933333333333334,0.31572541817620525,10.933333333333334,0.31572541817620525,7.466666666666667,0.21528865819918694,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.609242859,1.4313340991249723E-7,21000.0,0.9944589139471336,0.8854985722734866,0.97,0.9400218320531326,0.9839623096202044,0.9723865877712031,0.9700765152787264,0.9898580121703854,0.938572542901716,21000.0,571536.0,15.0,20965.4,23.9522938557539,31424.533333333333,904.9547311312458,21.53333333333333,0.6005288674451216,11.266666666666666,0.3002644337225608,11.266666666666666,0.3002644337225608,7.6,0.19023794624226834,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.669898563,1.5233161814685704E-7,22000.0,0.9925067355186349,0.879505862996991,0.965,0.9300335838797377,0.9944589139471336,0.9083969465648855,0.9659263240437438,0.9936974789915967,0.9282586415727196,22000.0,586184.0,15.0,21961.266666666663,23.39789707006977,32393.600000000002,777.726190035199,22.06666666666667,0.5114560602703832,11.533333333333335,0.2557280301351916,11.533333333333335,0.2557280301351916,7.7333333333333325,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.72839384,1.6133392142306187E-7,23000.0,0.9889944151957882,0.8755512233794136,0.965,0.9300319054511142,0.9925067355186349,0.9762845849802372,0.9649819124590666,0.9898785425101214,0.9281698938163647,23000.0,594888.0,15.0,22979.600000000002,26.0360190066433,32969.600000000006,770.647500173594,22.333333333333332,0.5039526306789694,11.666666666666666,0.2519763153394847,11.666666666666666,0.2519763153394847,7.866666666666666,0.09085135251589967,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.788007019,1.7064496788670828E-7,24000.0,0.9894436782346526,0.8796552813374025,0.964,0.9280138213463014,0.9889944151957882,0.9083969465648855,0.964861090911347,0.9894957983193278,0.9260463921937858,24000.0,603752.0,15.0,23965.666666666668,24.246289194071373,33555.73333333334,896.7771686203495,22.733333333333334,0.5811865258054232,11.866666666666667,0.2905932629027116,11.866666666666667,0.2905932629027116,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.845471025,1.7965827069042665E-7,25000.0,0.9871595377433587,0.8752754590732016,0.966,0.9319779608593184,0.9894436782346526,1.012072434607646,0.9655514291969368,0.9900596421471173,0.9302077346251745,25000.0,606304.0,15.0,24959.933333333338,27.878728307860413,33724.26666666667,838.0446599456932,22.866666666666667,0.5333333333333332,11.933333333333334,0.2666666666666666,11.933333333333334,0.2666666666666666,8.066666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,1.90818128,1.8978504409683662E-7,26000.0,0.9951586271020696,0.8879159765652263,0.972,0.9437723906372998,0.9871595377433587,1.0920502092050208,0.970558437398421,0.9961685823754789,0.942482420794817,26000.0,624216.0,15.0,25947.13333333333,26.447768231826963,34908.8,779.4100039682035,23.666666666666668,0.5039526306789697,12.333333333333334,0.25197631533948484,12.333333333333334,0.25197631533948484,8.466666666666665,0.16523191974188076,0.0,0.0,0.0,0.0,1.0,0.0
