learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.181212932,6.5999419683714705E-9,1000.0,0.7147203709069835,0.2498028951572178,0.981,0.3351994401679476,0.0,0.014198782961460446,0.5945760831317389,0.35714285714285715,-0.46153846153846156,1000.0,140784.0,15.0,0.9998544420581763,1.4555794182370698E-4,1081.2666666666667,8.492274734058599,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.264122222,9.619574709807832E-9,2000.0,0.9720903467127032,0.3770450665096232,0.982,0.2424880060600972,0.7147203709069835,0.007049345417925478,0.6500224092282673,0.42857142857142855,-0.8,2000.0,140784.0,15.0,0.9999999335019304,6.64980694169339E-8,2128.1333333333337,11.86385734536248,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.331506444,1.2073491251029901E-8,3000.0,0.9272854804769698,0.3596944493252606,0.981,0.33529247131262313,0.9720903467127032,0.013171225937183385,0.6167081084007157,0.38461538461538464,-0.7272727272727273,3000.0,140768.0,15.0,0.9440746152210625,0.05592538477893743,3230.4000000000005,15.40587395706435,2942.4,1.600000000000001,1.1333333333333335,0.1333333333333333,1.0666666666666669,0.06666666666666665,1.0666666666666669,0.06666666666666665,0.06666666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.438438065,1.732531092857942E-8,4000.0,0.7410178474008261,0.3092750766509297,0.986,0.35679500137829445,0.9272854804769698,0.013171225937183385,0.5532933966073763,0.3076923076923077,-0.21739130434783197,4000.0,189848.0,15.0,0.956953255738882,0.04304674426111793,4313.933333333333,15.006178621667747,6187.733333333334,247.2909885456262,3.266666666666667,0.18170270503179917,2.1333333333333333,0.09085135251589958,2.1333333333333333,0.09085135251589958,1.1333333333333335,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.504813185,2.0655167681928725E-8,5000.0,0.9134432111223232,0.4391106470263284,0.988,0.39400060599939646,0.7410178474008261,0.009081735620585268,0.6643079700295157,0.4444444444444444,-0.09090909090909091,5000.0,193920.0,15.0,0.9794108867333887,0.020589113266611083,5383.799999999999,15.26595964260105,6457.600000000001,313.01636652783145,3.4000000000000004,0.21380899352993948,2.2000000000000006,0.10690449676496974,2.2000000000000006,0.10690449676496974,1.2000000000000002,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.586224741,2.5556031136858383E-8,6000.0,0.8813004032258065,0.3467204770458162,0.991,0.30340557275541363,0.9134432111223232,0.008064516129032258,0.49924337913777406,0.25,0.14285714285713833,6000.0,232696.0,15.0,0.9999999889117901,1.1088209803745698E-8,6440.8,18.207847601672043,9020.266666666668,414.5821013142737,5.266666666666668,0.33046383948376135,3.133333333333334,0.16523191974188067,3.133333333333334,0.16523191974188067,2.066666666666667,0.11818736805705576,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.663325832,3.0763401283334117E-8,7000.0,0.8543064619909918,0.18556980303669382,0.988,-0.0018367006177964944,0.8813004032258065,0.011122345803842264,0.0,0.0,-0.13513513513513684,7000.0,261072.0,15.0,0.9999954579761464,4.542023853525907E-6,7518.666666666667,19.413217555908037,10896.0,518.5215612911478,6.6,0.4,3.8,0.2,3.8,0.2,2.466666666666667,0.13333333333333328,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.758291883,3.8294901548170797E-8,8000.0,0.9701360887096774,0.3362728061354132,0.988,0.13693901035672593,0.8543064619909918,0.008064516129032258,0.3526612534393584,0.125,-0.17073170731707635,8000.0,306560.0,15.0,0.9270999992039656,0.0729000007960344,8592.133333333333,22.640643324754055,13899.733333333334,528.2515225828613,9.0,0.3903600291794132,5.0,0.1951800145897066,5.0,0.1951800145897066,2.8666666666666663,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.834481938,4.4725229529260347E-8,9000.0,0.8708417338709677,0.24407399109658384,0.991,0.17823228634039084,0.9701360887096774,0.008064516129032258,0.35319680614491367,0.125,0.1,9000.0,326240.0,15.0,0.9999999999980117,1.988321011955855E-12,9660.2,23.832590731021657,15202.133333333331,835.2863544726766,9.8,0.6110100926607787,5.4,0.30550504633038933,5.4,0.30550504633038933,2.933333333333333,0.18170270503179917,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.91146827,5.1456819869522004E-8,10000.0,0.9898887765419616,0.4358228157657832,0.988,0.39400060599939646,0.8708417338709677,0.011122345803842264,0.6014964333819991,0.36363636363636365,-0.18811881188118942,10000.0,337992.0,15.0,0.9999365397458895,6.346025411039835E-5,10755.866666666667,26.070210452082502,15978.133333333333,930.8741916257645,10.6,0.8326663997864531,5.8,0.41633319989322654,5.8,0.41633319989322654,3.1333333333333337,0.23637473611411153,0.0,0.0,0.0,0.0,1.0,0.0
