learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140473714,5.116182108248273E-9,1000.0,0.7178787878787879,0.25614269072341744,0.985,0.20297555791710653,0.0,0.010101010101010102,0.4456297326097739,0.2,-0.6666666666666666,1000.0,140784.0,15.0,0.9999990738604934,9.261395065370655E-7,22.8,1.1920370719706586,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.209468662,7.629041692192355E-9,2000.0,0.9905050505050506,0.7426395184858942,0.978,0.4123931623931641,0.7178787878787879,0.010101010101010102,0.8853464767187951,0.8,-1.3157894736842242,2000.0,140784.0,15.0,0.9969096827125358,0.0030903172874641657,40.73333333333334,1.559812768577009,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.261122327,9.5103157695507E-9,3000.0,0.9929717259509631,0.8593785088462196,0.956,0.447277843378639,0.9905050505050506,0.019367991845056064,0.9773166366939722,1.0,-2.4736842105263057,3000.0,140784.0,15.0,0.9985095051426182,0.0014904948573818062,74.33333333333334,2.5516878945339516,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.300963421,1.0961365125986435E-8,4000.0,0.989521095688942,0.8465982320846775,0.947,0.2798130231546889,0.9929717259509631,0.011122345803842264,0.972836325222489,1.0,-3.3265306122449076,4000.0,140784.0,15.0,0.99721871459818,0.0027812854018200313,96.39999999999999,2.8061157699363926,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.337852444,1.230489733631412E-8,5000.0,0.9968497983870968,0.8889919110250201,0.955,0.2518951988296321,0.989521095688942,0.008064516129032258,0.9770553191985567,1.0,-2.947368421052647,5000.0,140784.0,15.0,0.9991271955598862,8.728044401137192E-4,113.66666666666666,3.001058014492423,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.381136232,1.388133278061946E-8,6000.0,0.9873399510861747,0.7946896716582226,0.959,0.2168996867598734,0.9968497983870968,0.007049345417925478,0.9069815053319679,0.8571428571428571,-2.8437499999999867,6000.0,140784.0,15.0,0.9999999999800744,1.9925639709798668E-11,126.20000000000002,3.0971569143943865,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.416802895,1.5180345513361194E-8,7000.0,0.9948336693548387,0.9144790494281495,0.946,0.2174820310688604,0.9873399510861747,0.008064516129032258,0.9724014171776141,1.0,-4.250000000000032,7000.0,140784.0,15.0,0.9793737163266348,0.020626283673365223,141.0,3.465475985997278,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.45026535,1.6399078959599135E-8,8000.0,0.994101568119695,0.9007123336498521,0.958,0.24069855732725942,0.9948336693548387,0.007049345417925478,0.9786234860723746,1.0,-3.253164556962043,8000.0,140784.0,15.0,0.9998544421651527,1.455578348472573E-4,154.13333333333335,3.3762005507271278,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.485559376,1.76845199094216E-8,9000.0,0.9975757575757576,0.907472096858249,0.958,0.3110236220472449,0.994101568119695,0.010101010101010102,0.9785579990862869,1.0,-3.2471910112359814,9000.0,140784.0,15.0,0.9651321251460485,0.03486787485395164,174.66666666666669,3.492395366625233,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.519960435,1.89374381782487E-8,10000.0,0.9883470004315926,0.8442919770370843,0.955,0.22775947281713263,0.9975757575757576,0.007049345417925478,0.9770786966545701,1.0,-3.6874999999999782,10000.0,140784.0,15.0,0.9992144151272795,7.855848727205472E-4,188.66666666666669,3.5665999103677053,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
