learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.180934528,1.3780243343777128E-10,1000.0,0.7910762483130904,0.08984641232375243,0.986,-0.0034403669724805135,0.0,0.012145748987854251,0.0,0.0,-0.2727272727272727,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.212923807,1.621659451391962E-10,2000.0,0.3965924426450742,0.036054237955759516,0.987,-0.0018495684340339106,0.7910762483130904,0.012145748987854251,0.0,0.0,-0.13043478260870112,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.234950813,1.789420412315263E-10,3000.0,0.3480203045685279,2.0965593509406858E-4,0.985,0.0,0.3965924426450742,0.015228426395939087,0.0,0.0,-0.18421052631578602,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.278198738,2.446395575462116E-10,4000.0,0.5403030303030303,0.07308103237653411,0.991,0.18032786885246582,0.3480203045685279,0.010101010101010102,0.31622776601683794,0.1,0.25,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.302357778,2.813393281027675E-10,5000.0,0.8254048582995951,0.12535235345460025,0.988,0.0,0.5403030303030303,0.012145748987854251,0.0,0.0,0.0,5000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.320523461,3.089346463812722E-10,6000.0,0.9829889112903226,0.21080238318646974,0.992,0.0,0.8254048582995951,0.008064516129032258,0.0,0.0,0.2941176470588212,6000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
7000.0,0.351316945,3.768074911418888E-10,7000.0,0.5658898000287729,0.06560219048822058,0.993,0.0,0.9829889112903226,0.007049345417925478,0.0,0.0,0.3466666666666638,7000.0,8520.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.383097346,4.662586347841554E-10,8000.0,0.8479650184998319,0.02414457668253126,0.99,-0.0018032458425239059,0.5658898000287729,0.009081735620585268,0.0,0.0,0.047619047619042586,8000.0,10880.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.399239042,5.116920818802383E-10,9000.0,0.7809045226130653,0.024282706373178236,0.995,0.0,0.8479650184998319,0.005025125628140704,0.0,0.0,0.49438202247190693,9000.0,10880.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.41699785,5.629635361250903E-10,10000.0,0.7914564413050791,0.02148559669214172,0.991,0.0,0.7809045226130653,0.009081735620585268,0.0,0.0,0.08163265306122656,10000.0,11160.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.432440059,6.075467374403443E-10,11000.0,0.8310966081441309,0.05261764070456764,0.989,0.0,0.7914564413050791,0.011122345803842264,0.0,0.0,-0.11009174311927171,11000.0,11160.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12000.0,0.447495215,6.51012478046533E-10,12000.0,0.8694949494949495,0.023528633792765933,0.99,0.0,0.8310966081441309,0.010101010101010102,0.0,0.0,-0.008403361344536875,12000.0,11160.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13000.0,0.462653736,6.947766437422898E-10,13000.0,0.8599126323978218,0.02900420502074506,0.983,0.0,0.8694949494949495,0.017293997965412006,0.0,0.0,-0.6250000000000093,13000.0,11160.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14000.0,0.475801498,7.327355471667316E-10,14000.0,0.7817540322580645,0.017200382599863614,0.992,0.0,0.8599126323978218,0.008064516129032258,0.0,0.0,0.22222222222221744,14000.0,11160.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
15000.0,0.500356081,8.186184833985235E-10,15000.0,0.8243076578091715,0.023049314890647613,0.991,0.0,0.7817540322580645,0.009081735620585268,0.0,0.0,0.1176470588235275,15000.0,13520.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
16000.0,0.514199761,8.670386046709286E-10,16000.0,0.8667168674698795,0.025541526713875773,0.996,0.0,0.8243076578091715,0.004016064257028112,0.0,0.0,0.5923566878980889,16000.0,13520.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
17000.0,0.526710167,9.117016281849807E-10,17000.0,0.698210685483871,0.018025162183247404,0.992,0.0,0.8667168674698795,0.008064516129032258,0.0,0.0,0.17575757575757964,17000.0,13800.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
18000.0,0.550062642,1.011068963209788E-9,18000.0,0.6920603015075377,0.005471551096122245,0.995,0.0,0.698210685483871,0.005025125628140704,0.0,0.0,0.47058823529411903,18000.0,16448.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
19000.0,0.563991195,1.0733921004707613E-9,19000.0,0.783840334781909,0.1864289224564933,0.984,0.2689390477931115,0.6920603015075377,0.019367991845056064,0.39735970711951313,0.15789473684210525,-0.608465608465616,19000.0,17296.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
