learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.185496576,7.356383298238118E-9,1000.0,0.5799043755433207,0.06558963134837241,0.985,-0.0018701576275659097,0.0,0.014198782961460446,0.0,0.0,-0.15384615384615385,1000.0,153296.0,15.0,0.9999944466665697,5.553333430165731E-6,1084.8,9.423981566802247,3770.133333333333,312.9455432113917,1.6666666666666667,0.25197631533948484,1.3333333333333335,0.12598815766974242,1.3333333333333335,0.12598815766974242,0.3333333333333333,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.306926178,1.3160922681925198E-8,2000.0,0.7062626262626263,0.09625783224787476,0.99,0.0,0.5799043755433207,0.010101010101010102,0.0,0.0,0.13043478260869146,2000.0,184776.0,15.0,0.9995287892923054,4.71210707694481E-4,2149.2,13.246455051392843,5852.800000000001,272.00537809809146,2.9999999999999996,0.19518001458970663,1.9999999999999998,0.09759000729485331,1.9999999999999998,0.09759000729485331,1.0,0.0975900072948533,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.400219311,1.7834424126005424E-8,3000.0,0.7861928934010153,0.22422036563665132,0.985,0.2795389048991331,0.7062626262626263,0.015228426395939087,0.44653204022126164,0.2,-0.18421052631578602,3000.0,193640.0,15.0,0.9996489600366822,3.510399633176562E-4,3255.4666666666667,16.89769402883315,6438.9333333333325,497.56610919140485,3.400000000000001,0.34914862437758776,2.1999999999999997,0.1745743121887939,2.1999999999999997,0.1745743121887939,1.2000000000000004,0.17457431218879388,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.476195248,2.169844563390025E-8,4000.0,0.8239667338709677,0.15621662776405365,0.991,0.17823228634039084,0.7861928934010153,0.008064516129032258,0.35319680614491367,0.125,0.2173913043478223,4000.0,196592.0,15.0,0.9999905953888536,9.404611146332189E-6,4309.6,16.62293309743823,6634.133333333334,451.4779735877716,3.5333333333333337,0.30654241789392533,2.2666666666666675,0.15327120894696267,2.2666666666666675,0.15327120894696267,1.2666666666666668,0.15327120894696267,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.562183362,2.658633599250888E-8,5000.0,0.6962719298245614,0.1847000409314387,0.987,0.22985781990521792,0.8239667338709677,0.012145748987854251,0.4076280090869281,0.16666666666666666,-0.1206896551724095,5000.0,219728.0,15.0,0.999999964665902,3.5334097967718445E-8,5394.6,17.375900113717982,8162.133333333334,660.9308145239572,4.733333333333333,0.47274947222822306,2.8666666666666667,0.23637473611411153,2.8666666666666667,0.23637473611411153,1.6666666666666667,0.15936381457791915,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.656144975,3.300499246812529E-8,6000.0,0.9803427419354839,0.343423476324676,0.991,0.3954862976894188,0.6962719298245614,0.008064516129032258,0.6111365667555874,0.375,0.18181818181818182,6000.0,264056.0,15.0,0.9890575490600702,0.01094245093992983,6457.466666666667,21.81892290708678,11091.733333333332,738.203272216475,6.866666666666666,0.5333333333333333,3.933333333333333,0.26666666666666666,3.933333333333333,0.26666666666666666,2.6666666666666665,0.18687063686046268,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.724265332,3.7846464965825694E-8,7000.0,0.9549705078405984,0.4201966103074112,0.995,0.6128832455868698,0.9803427419354839,0.007049345417925478,0.7551673045696238,0.5714285714285714,0.5205479452054802,7000.0,274728.0,15.0,0.9517064692485999,0.04829353075139997,7508.200000000001,21.815503443106458,11796.800000000001,499.97656326024304,7.3999999999999995,0.3491486243775878,4.2,0.17457431218879388,4.2,0.17457431218879388,2.7999999999999994,0.10690449676496977,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.797199317,4.341994310439668E-8,8000.0,0.9616935483870968,0.26207618044553294,0.989,0.2611499193981785,0.9549705078405984,0.008064516129032258,0.4987383275374359,0.25,-0.08641975308641528,8000.0,295392.0,15.0,0.927004499504919,0.07299550049508079,8580.2,24.740597059431323,13163.199999999999,574.7000145003188,8.333333333333334,0.4216370213557839,4.666666666666667,0.21081851067789195,4.666666666666667,0.21081851067789195,2.9333333333333336,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.8864139,5.111809740695688E-8,9000.0,0.7182828282828283,0.28691434536651916,0.99,0.37027707808564636,0.9616935483870968,0.010101010101010102,0.5468920451889103,0.3,0.010989010989006162,9000.0,333544.0,15.0,0.9995825438274729,4.174561725269997E-4,9666.333333333332,25.89974566278259,15685.866666666667,528.1687849511985,10.066666666666666,0.3837988891354264,5.533333333333333,0.1918994445677132,5.533333333333333,0.1918994445677132,3.1333333333333337,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.964812184,5.80606017528971E-8,10000.0,0.855052294197031,0.36056184451822104,0.991,0.5220900594732384,0.7182828282828283,0.012145748987854251,0.6448435561249283,0.4166666666666667,0.12621359223300688,10000.0,342304.0,15.0,0.9999984315759569,1.5684240429136697E-6,10763.933333333334,27.362029071701418,16266.666666666668,585.8801654382645,10.333333333333334,0.4216370213557839,5.666666666666667,0.21081851067789195,5.666666666666667,0.21081851067789195,3.2000000000000006,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
