learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.137592753,5.0112548538669944E-9,1000.0,0.555873568939771,0.12385036581391018,0.653,0.047027935538443026,0.0,0.10864745011086474,0.5327841947211952,0.41836734693877553,-2.5773195876288666,1000.0,140784.0,15.0,0.9491255697988704,0.05087443020112956,198.2,4.355838993045236,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.210498021,7.666531895510853E-9,2000.0,0.5234688278249124,0.040740363790854994,0.509,-0.0025400403466216298,0.555873568939771,0.1185682326621924,0.4964735716476369,0.4811320754716981,-3.8374384236453185,2000.0,140784.0,15.0,0.9827996177332535,0.017200382266746393,403.6666666666667,5.763321352820179,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.264220948,9.623170401702325E-9,3000.0,0.4674270325927686,0.019142581365306388,0.411,-0.003003903030468233,0.5234688278249124,0.12866817155756208,0.4833573331526225,0.6052631578947368,-4.574132492113564,3000.0,140784.0,15.0,0.9695799678812537,0.03042003211874629,623.2000000000002,6.16611323127888,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.309207285,1.1261614249460399E-8,4000.0,0.5581587402144893,0.023180113317655404,0.412,0.01686708310482727,0.4674270325927686,0.10864745011086474,0.5082691032651867,0.673469387755102,-4.667469879518072,4000.0,140784.0,15.0,0.9022537170013296,0.0977462829986703,814.7333333333333,6.1624567354159225,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.346232153,1.2610094059867164E-8,5000.0,0.5265366358660337,0.02501297565659999,0.414,0.007072490485856639,0.5581587402144893,0.11234705228031146,0.4966877813968255,0.6336633663366337,-4.678294573643413,5000.0,140784.0,15.0,0.8232033503467683,0.1767966496532316,1013.6666666666667,6.564454546423757,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.383367434,1.396259521347781E-8,6000.0,0.5242419001498905,0.021727810670603198,0.364,0.018845569995186797,0.5265366358660337,0.13378684807256236,0.48308169437535375,0.7457627118644068,-5.018927444794952,6000.0,140784.0,15.0,0.9625436006517704,0.037456399348229606,1243.8,9.216548264115035,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.417111603,1.5191588943190873E-8,7000.0,0.5390867610623438,0.020320661158491793,0.38,0.014499572419975718,0.5242419001498905,0.10987791342952276,0.4932304430115195,0.7070707070707071,-4.920873124147337,7000.0,140784.0,15.0,0.970902633893377,0.02909736610662301,1432.2,10.016272474614206,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.448757862,1.6344174857512118E-8,8000.0,0.5314992025518341,0.01482941952363881,0.35,0.029479920686112878,0.5390867610623438,0.09649122807017543,0.49940155574006584,0.8181818181818182,-5.333739342265532,8000.0,140784.0,15.0,0.9053389803909274,0.09466101960907256,1606.2666666666664,11.928543864619803,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.480479585,1.7499509240252276E-8,9000.0,0.5060451416241395,0.015156472334659499,0.291,-0.015357824126849572,0.5314992025518341,0.10741971207087486,0.4139345413507983,0.6907216494845361,-5.950980392156864,9000.0,140784.0,15.0,0.8999186500006343,0.10008134999936556,1796.5333333333335,13.194106428418882,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.512759889,1.867518765773624E-8,10000.0,0.5299265072247135,0.015703445029042584,0.32,0.025184641497316432,0.5060451416241395,0.1210762331838565,0.4635438972671008,0.8333333333333334,-5.627680311890836,10000.0,140784.0,15.0,0.8574848733371102,0.14251512666288982,2014.9999999999998,14.203956524587817,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
